dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,ia_infect_hyper,SASB-matched,matched,20260513,0,early,19--35,222,2f5c51dd9ae772fe9b6e0dc8eef585b6c40eb44c0b601fc351a8edd60aa2279a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""43"", ""107"", ""54"", ""17"", ""35"", ""96"", ""91"", ""85"", ""42"", ""19"", ""59"", ""22"", ""57"", ""104"", ""11"", ""102"", ""58"", ""55"", ""66"", ""1"", ""73"", ""72"", ""51"", ""30"", ""100"", ""63"", ""105"", ""13"", ""41"", ""97"", ""67"", ""92""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 6, ""2"": 6, ""3"": 7, ""4"": 2, ""5"": 4}",1.0,1.0,0.0,1,1,0,1,27,98,2646,22,0.8461538461538461,48.2952677271395,0.0,0.0004553734061930783
realworld_completed,ia_infect_hyper,SASB-matched,matched,20260513,1,early,35--90,222,d4529b485e1824e056504a762552e43bc2f83cbce6c73a879e653abf88d0a250,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""2"", ""19"", ""16"", ""60"", ""63"", ""28"", ""42"", ""75"", ""87"", ""89"", ""88"", ""65"", ""80"", ""55"", ""26"", ""8"", ""64"", ""94"", ""29"", ""61"", ""98"", ""82"", ""110"", ""45"", ""95"", ""67"", ""66"", ""91"", ""79"", ""20"", ""92"", ""90""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 6, ""1"": 7, ""2"": 4, ""3"": 8, ""4"": 2, ""5"": 5}",1.0,1.0,0.0,1,1,0,1,97,16,1552,15,1.0,66.59165424277498,0.0004553734061930783,0.0009107468123861566
realworld_completed,ia_infect_hyper,SASB-matched,matched,20260513,2,early,12--35,222,7a428c124c564e67f57b1e282b4eb13a3575d8776d65d144685c640e7cd6bbb7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""61"", ""67"", ""42"", ""39"", ""49"", ""12"", ""34"", ""66"", ""37"", ""90"", ""88"", ""6"", ""22"", ""58"", ""43"", ""14"", ""36"", ""23"", ""112"", ""10"", ""59"", ""62"", ""13"", ""33"", ""50"", ""63"", ""83"", ""101"", ""79"", ""32"", ""107"", ""54""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 8, ""2"": 6, ""3"": 5, ""4"": 3, ""5"": 3}",1.0,1.0,0.0,1,1,0,1,22,96,2112,19,0.9047619047619048,56.761781491078324,0.0009107468123861566,0.001366120218579235
realworld_completed,ia_infect_hyper,SASB-matched,matched,20260513,3,early,35--68,222,336c9ffb280f574eeb6b6618766c71f4687e49a61397f83824865a5792215763,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""63"", ""110"", ""91"", ""39"", ""61"", ""96"", ""76"", ""112"", ""0"", ""89"", ""53"", ""85"", ""51"", ""23"", ""24"", ""102"", ""4"", ""36"", ""21"", ""26"", ""82"", ""5"", ""14"", ""101"", ""83"", ""35"", ""34"", ""105"", ""68"", ""92"", ""100"", ""59""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 7, ""2"": 6, ""3"": 7, ""4"": 2, ""5"": 3}",1.0,1.0,0.0,1,1,0,1,95,22,2090,20,0.9523809523809523,51.18112717296999,0.001366120218579235,0.0018214936247723133
realworld_completed,ia_infect_hyper,SASB-matched,matched,20260513,4,early,3--35,222,bb8d796e6d3cf2e350b986e449f4861d926455e10e5b8df31b2f0c2b878d82d1,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""25"", ""67"", ""27"", ""43"", ""78"", ""81"", ""54"", ""45"", ""87"", ""44"", ""30"", ""22"", ""20"", ""58"", ""49"", ""14"", ""4"", ""64"", ""21"", ""83"", ""59"", ""46"", ""19"", ""71"", ""61"", ""76"", ""69"", ""39"", ""94"", ""41"", ""82"", ""3""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 8, ""1"": 9, ""2"": 5, ""3"": 4, ""4"": 2, ""5"": 4}",1.0,1.0,0.0,1,1,0,1,12,94,1128,10,0.9090909090909091,76.29722619759625,0.0018214936247723133,0.002276867030965392
realworld_completed,ia_infect_hyper,SASB-matched,matched,20260513,5,early,37--44,222,ff4dc8d9ca9f81f3e1a11c7ad5404f5a7b14b0ecb7634aa08c0d854533d8edcc,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""90"", ""41"", ""55"", ""43"", ""26"", ""68"", ""37"", ""66"", ""70"", ""3"", ""98"", ""57"", ""85"", ""58"", ""17"", ""8"", ""4"", ""94"", ""77"", ""1"", ""33"", ""82"", ""49"", ""40"", ""53"", ""52"", ""83"", ""75"", ""13"", ""59"", ""56"", ""5""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 6, ""2"": 8, ""3"": 6, ""4"": 3, ""5"": 2}",1.0,1.0,0.0,1,1,0,1,17,82,1394,12,0.75,51.24339695714962,0.002276867030965392,0.00273224043715847
realworld_completed,ia_infect_hyper,SASB-matched,matched,20260513,6,early,59--90,222,e73238de6d0519a5212aac3c759e3c0e15497b23500fda4fd251ea9b6d2ce0f5,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""63"", ""7"", ""64"", ""60"", ""11"", ""56"", ""36"", ""65"", ""69"", ""90"", ""106"", ""86"", ""111"", ""58"", ""17"", ""9"", ""4"", ""76"", ""80"", ""41"", ""97"", ""53"", ""46"", ""107"", ""93"", ""78"", ""29"", ""24"", ""34"", ""101"", ""74"", ""40""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 8, ""1"": 7, ""2"": 5, ""3"": 7, ""4"": 2, ""5"": 3}",1.0,1.0,0.0,1,1,0,1,61,15,915,8,0.5714285714285714,44.4457180657742,0.00273224043715847,0.0031876138433515485
realworld_completed,ia_infect_hyper,SASB-matched,matched,20260513,7,early,13--38,222,bb2f98cb7807c25f55c21f3d9b8b772aa5f8326615ef81f8c220342a31ea4504,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""15"", ""7"", ""55"", ""17"", ""2"", ""81"", ""34"", ""65"", ""69"", ""38"", ""108"", ""18"", ""77"", ""70"", ""26"", ""82"", ""23"", ""87"", ""112"", ""61"", ""109"", ""46"", ""68"", ""88"", ""110"", ""8"", ""16"", ""39"", ""53"", ""73"", ""72"", ""64""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 6, ""1"": 8, ""2"": 9, ""3"": 4, ""4"": 2, ""5"": 3}",1.0,1.0,0.0,1,1,0,0,69,13,897,8,0.6666666666666666,52.212563131313104,0.0031876138433515485,0.0036429872495446266
realworld_completed,ia_infect_hyper,SASB-matched,matched,20260513,8,early,35--52,222,584b51ea7ec1248ae97c364e07f3ac4ca68901c8a1ec8ea4654f2bfcb5e05d2b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""60"", ""38"", ""104"", ""41"", ""11"", ""71"", ""34"", ""85"", ""23"", ""7"", ""53"", ""75"", ""77"", ""32"", ""95"", ""52"", ""70"", ""91"", ""57"", ""43"", ""59"", ""62"", ""103"", ""80"", ""22"", ""56"", ""50"", ""13"", ""98"", ""37"", ""24"", ""26""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 7, ""2"": 6, ""3"": 7, ""4"": 3, ""5"": 2}",1.0,1.0,0.0,1,1,0,1,93,36,3348,32,0.9142857142857143,29.269518757136808,0.0036429872495446266,0.004098360655737705
realworld_completed,ia_infect_hyper,SASB-matched,matched,20260513,9,early,35--79,222,f6af7393f3713169589431f9434391ea48050b40829ea090b65b1a6dcfa2ff2c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""67"", ""39"", ""87"", ""1"", ""2"", ""96"", ""37"", ""101"", ""36"", ""38"", ""102"", ""92"", ""112"", ""0"", ""35"", ""72"", ""23"", ""32"", ""75"", ""15"", ""62"", ""106"", ""55"", ""10"", ""59"", ""69"", ""16"", ""50"", ""25"", ""9"", ""40"", ""42""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 7, ""1"": 10, ""2"": 7, ""3"": 5, ""4"": 1, ""5"": 2}",1.0,1.0,0.0,1,1,0,0,92,11,1012,8,0.8,31.042986156106267,0.004098360655737705,0.004553734061930784
realworld_completed,ia_infect_hyper,SASB-matched,matched,20260513,10,early,19--49,222,dc5964742a4e37c2dab37f0978cf54f70606063ce21f0d1473b46aa63992501c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""3"", ""28"", ""100"", ""40"", ""43"", ""7"", ""80"", ""94"", ""19"", ""33"", ""58"", ""10"", ""77"", ""26"", ""109"", ""61"", ""11"", ""93"", ""73"", ""104"", ""78"", ""98"", ""9"", ""13"", ""39"", ""31"", ""89"", ""5"", ""51"", ""88"", ""0"", ""62""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 9, ""1"": 6, ""2"": 7, ""3"": 6, ""4"": 4}",1.0,1.0,0.0,1,1,0,1,26,82,2132,19,0.76,35.131449311571956,0.004553734061930784,0.005009107468123861
realworld_completed,ia_infect_hyper,SASB-matched,matched,20260513,11,early,29--44,221,0f6e0baa866e7b91f47571616d2fd2128c67403ee78374ded9e5e764eee61ba6,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""76"", ""46"", ""32"", ""75"", ""43"", ""19"", ""73"", ""87"", ""3"", ""98"", ""56"", ""37"", ""21"", ""41"", ""57"", ""104"", ""25"", ""71"", ""26"", ""64"", ""28"", ""62"", ""93"", ""18"", ""108"", ""70"", ""29"", ""10"", ""100"", ""40"", ""4"", ""78""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_9_plus"": 32}","{""0"": 10, ""1"": 8, ""2"": 5, ""3"": 6, ""4"": 3}",1.0,1.0,0.0,1,1,0,0,28,81,2268,20,0.7407407407407407,32.36406833931773,0.005009107468123861,0.00546448087431694
