dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,soc_wiki_vote,SASB-matched,matched,20260513,0,early,113--193,367,f8f07c7ece00ed91a39f493016584d82059dba3c0455230b952578e9a7215bf2,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""468"", ""329"", ""709"", ""264"", ""381"", ""552"", ""452"", ""117"", ""542"", ""126"", ""502"", ""783"", ""387"", ""407"", ""781"", ""803"", ""597"", ""822"", ""471"", ""388"", ""353"", ""425"", ""101"", ""700"", ""673"", ""504"", ""681"", ""234"", ""92"", ""714"", ""316"", ""672""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 23}","{""0"": 2, ""1"": 1, ""2"": 2, ""3"": 12, ""4"": 3, ""5"": 1, ""7"": 11}",1.0,1.0,0.0,1,1,0,1,5,92,460,0,0.0,39559.45346292904,0.0,0.00034317089910775565
realworld_completed,soc_wiki_vote,SASB-matched,matched,20260513,1,early,117--392,367,312f6f63d9e9ad2d65730de269c3d111838727fbc68f4bc4613c0b7af04fb269,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""392"", ""514"", ""821"", ""264"", ""326"", ""458"", ""248"", ""329"", ""542"", ""139"", ""502"", ""657"", ""352"", ""443"", ""826"", ""709"", ""642"", ""677"", ""485"", ""493"", ""291"", ""143"", ""11"", ""355"", ""547"", ""504"", ""2"", ""106"", ""515"", ""871"", ""374"", ""509""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 23}","{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 14, ""4"": 3, ""5"": 1, ""7"": 8}",1.0,1.0,0.0,1,1,0,1,55,19,1045,1,0.05555555555555555,26131.16802550307,0.00034317089910775565,0.0006863417982155113
realworld_completed,soc_wiki_vote,SASB-matched,matched,20260513,2,early,369--761,367,9e075dcb24145fec8ba08946d38b9c493e0e355cf0e1cfa14f08720190d53e9e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""542"", ""331"", ""575"", ""54"", ""300"", ""485"", ""528"", ""493"", ""496"", ""185"", ""628"", ""677"", ""403"", ""313"", ""761"", ""516"", ""658"", ""840"", ""405"", ""430"", ""332"", ""362"", ""71"", ""355"", ""108"", ""504"", ""827"", ""480"", ""520"", ""873"", ""606"", ""358""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 3, ""1"": 1, ""2"": 1, ""3"": 14, ""4"": 3, ""5"": 1, ""7"": 9}",1.0,1.0,0.0,1,1,0,1,102,10,1020,2,0.2222222222222222,24328.446456914684,0.0006863417982155113,0.001029512697323267
realworld_completed,soc_wiki_vote,SASB-matched,matched,20260513,3,early,369--392,367,3c37f5484338e6fc3963db27bb84623fa2b4b7da741da95d14a1db9af7848fc7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""657"", ""474"", ""575"", ""242"", ""331"", ""339"", ""298"", ""358"", ""502"", ""211"", ""496"", ""761"", ""433"", ""520"", ""392"", ""781"", ""799"", ""427"", ""343"", ""371"", ""458"", ""353"", ""124"", ""700"", ""616"", ""504"", ""128"", ""58"", ""620"", ""270"", ""666"", ""829""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 23}","{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 11, ""4"": 3, ""5"": 1, ""7"": 11}",1.0,1.0,0.0,1,1,0,0,101,18,1818,2,0.11764705882352941,28867.502058510505,0.001029512697323267,0.0013726835964310226
realworld_completed,soc_wiki_vote,SASB-matched,matched,20260513,4,early,369--736,367,5d224de1f976c89fb87bdbd191645dd2977443bf31ebd6c179f6433e6647d5d4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""520"", ""449"", ""614"", ""54"", ""332"", ""460"", ""450"", ""514"", ""542"", ""280"", ""495"", ""622"", ""365"", ""471"", ""597"", ""500"", ""736"", ""658"", ""398"", ""528"", ""440"", ""433"", ""112"", ""700"", ""360"", ""504"", ""139"", ""760"", ""6"", ""191"", ""761"", ""358""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_2"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 28}","{""0"": 2, ""1"": 1, ""2"": 2, ""3"": 13, ""4"": 4, ""5"": 1, ""7"": 9}",1.0,1.0,0.0,1,1,0,1,100,43,4300,13,0.30952380952380953,28187.621712565364,0.0013726835964310226,0.0017158544955387784
realworld_completed,soc_wiki_vote,SASB-matched,matched,20260513,5,early,193--700,367,ca29a7445a480e6f2276569da9aa3befbd88e18396782efb2b258e4e8352aacf,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""318"", ""477"", ""657"", ""175"", ""317"", ""313"", ""440"", ""450"", ""502"", ""210"", ""628"", ""781"", ""331"", ""430"", ""799"", ""622"", ""655"", ""739"", ""485"", ""404"", ""449"", ""388"", ""534"", ""700"", ""694"", ""504"", ""593"", ""102"", ""339"", ""511"", ""332"", ""32""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""2"": 1, ""3"": 16, ""4"": 4, ""5"": 1, ""7"": 7}",1.0,1.0,0.0,1,1,0,1,91,5,455,0,0.0,24878.669392957858,0.0017158544955387784,0.002059025394646534
realworld_completed,soc_wiki_vote,SASB-matched,matched,20260513,6,early,124--575,367,ab54d7343c31309468303c0bc960ac64afa070e74a085510ac4b9584c850fad6,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""454"", ""566"", ""786"", ""230"", ""528"", ""474"", ""477"", ""391"", ""542"", ""54"", ""628"", ""16"", ""522"", ""406"", ""595"", ""675"", ""508"", ""678"", ""248"", ""37"", ""552"", ""339"", ""7"", ""355"", ""239"", ""504"", ""598"", ""864"", ""653"", ""358"", ""594"", ""882""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 24}","{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 13, ""4"": 3, ""5"": 1, ""7"": 9}",1.0,1.0,0.0,1,1,0,1,15,32,480,0,0.0,23822.220662081018,0.002059025394646534,0.0024021962937542897
realworld_completed,soc_wiki_vote,SASB-matched,matched,20260513,7,early,124--485,367,62434cb3a4eafb49954cfa74584865799430114e4eece0061c5e15202a7bc3cd,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""621"", ""303"", ""760"", ""54"", ""413"", ""399"", ""404"", ""332"", ""496"", ""264"", ""502"", ""477"", ""424"", ""405"", ""821"", ""516"", ""500"", ""709"", ""396"", ""493"", ""391"", ""407"", ""21"", ""355"", ""641"", ""504"", ""27"", ""9"", ""879"", ""371"", ""780"", ""433""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 2, ""1"": 1, ""2"": 4, ""3"": 14, ""4"": 2, ""5"": 1, ""7"": 8}",1.0,1.0,0.0,1,1,0,1,14,60,840,1,0.07692307692307693,32557.446927442892,0.0024021962937542897,0.002745367192862045
realworld_completed,soc_wiki_vote,SASB-matched,matched,20260513,8,early,193--707,367,95df9372b35bd6043d314e8562bb83ec425b9ea8d3c9bd576f0429788c09245f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""211"", ""480"", ""655"", ""285"", ""325"", ""399"", ""372"", ""375"", ""542"", ""138"", ""502"", ""487"", ""363"", ""72"", ""16"", ""707"", ""489"", ""739"", ""552"", ""563"", ""488"", ""331"", ""778"", ""355"", ""586"", ""504"", ""152"", ""115"", ""244"", ""124"", ""429"", ""842""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 24}","{""0"": 2, ""1"": 1, ""2"": 2, ""3"": 14, ""4"": 6, ""5"": 1, ""7"": 6}",1.0,1.0,0.0,1,1,0,1,90,43,3870,4,0.09523809523809523,26237.654470514535,0.002745367192862045,0.0030885380919698007
realworld_completed,soc_wiki_vote,SASB-matched,matched,20260513,9,early,369--782,366,778cde222a2cb9015fe11041f5d0e475839ea4e12a42a1609d3dcfe746561522,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""514"", ""143"", ""614"", ""104"", ""371"", ""391"", ""452"", ""398"", ""496"", ""280"", ""502"", ""326"", ""325"", ""424"", ""709"", ""597"", ""796"", ""782"", ""396"", ""443"", ""440"", ""363"", ""101"", ""355"", ""29"", ""504"", ""335"", ""310"", ""664"", ""524"", ""718"", ""37""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 24}","{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 15, ""4"": 2, ""5"": 1, ""7"": 8}",1.0,1.0,0.0,1,1,0,1,99,18,1782,6,0.35294117647058826,21913.80492666484,0.0030885380919698007,0.0034317089910775567
