dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,inf_power,SASB-matched,matched,20260513,0,early,1700--1717,512,0634f8a7776597a5fd8e3a9e686a0bf45f144c8f03a7f01b0f3090288ee3a076,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""565"", ""4780"", ""2178"", ""2367"", ""1596"", ""2590"", ""246"", ""1728"", ""3155"", ""3218"", ""998"", ""4063"", ""2133"", ""2615"", ""3762"", ""3844"", ""1752"", ""2003"", ""2153"", ""1910"", ""3556"", ""1719"", ""1737"", ""192"", ""1624"", ""374"", ""3471"", ""4494"", ""1731"", ""3249"", ""857"", ""2332""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 5, ""degree_9_plus"": 23}","{""12"": 2, ""13"": 1, ""14"": 1, ""15"": 1, ""16"": 2, ""18"": 1, ""21"": 3, ""25"": 2, ""28"": 1, ""29"": 4, ""3"": 2, ""30"": 1, ""31"": 2, ""37"": 1, ""38"": 1, ""4"": 4, ""5"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,6,6,36,1,0.2,7951183.138872444,0.0,0.00015165301789505612
realworld_completed,inf_power,SASB-matched,matched,20260513,1,early,1653--1700,512,de77d0d88effb0d90c61e9fa20ef2a86ba132d4fd8ede8d0e815cf9a4479772d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""374"", ""4755"", ""2178"", ""2059"", ""1596"", ""2615"", ""215"", ""37"", ""1390"", ""3155"", ""70"", ""4063"", ""2367"", ""2572"", ""3783"", ""3844"", ""192"", ""4335"", ""1719"", ""1764"", ""3556"", ""1799"", ""2744"", ""514"", ""1580"", ""565"", ""3516"", ""4494"", ""4594"", ""1840"", ""3798"", ""4338""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_3_4"": 3, ""degree_5_8"": 6, ""degree_9_plus"": 23}","{""10"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""15"": 2, ""16"": 2, ""18"": 1, ""21"": 2, ""23"": 1, ""25"": 1, ""28"": 2, ""29"": 2, ""3"": 3, ""30"": 1, ""31"": 2, ""37"": 1, ""38"": 1, ""4"": 3, ""7"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,4,5,20,0,0.0,6696977.5579598965,0.00015165301789505612,0.00030330603579011223
realworld_completed,inf_power,SASB-matched,matched,20260513,2,early,273--299,512,d00c9a217e608e8ea8620e15056b43bf19eaffd9e7e122369c67b566f49d9543,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""374"", ""4771"", ""1789"", ""1711"", ""1849"", ""2744"", ""299"", ""3709"", ""3770"", ""3155"", ""765"", ""4060"", ""2059"", ""2619"", ""3771"", ""4780"", ""3716"", ""2094"", ""2153"", ""1764"", ""3556"", ""1799"", ""3844"", ""592"", ""2913"", ""565"", ""3550"", ""4494"", ""3833"", ""878"", ""2409"", ""2676""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 23}","{""12"": 1, ""13"": 1, ""14"": 4, ""15"": 1, ""16"": 2, ""18"": 2, ""21"": 2, ""25"": 1, ""28"": 1, ""29"": 2, ""3"": 3, ""30"": 1, ""31"": 2, ""37"": 1, ""38"": 1, ""4"": 3, ""5"": 1, ""9"": 3}",1.0,1.0,0.0,1,1,0,0,6,6,36,0,0.0,6448470.144662104,0.00030330603579011223,0.00045495905368516835
realworld_completed,inf_power,SASB-matched,matched,20260513,3,early,1652--1737,512,4d70c5351673567ca76b11249e22d2bf282a70eaf63f2f22cd85ab1498f054ef,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""252"", ""4755"", ""2178"", ""2133"", ""1596"", ""2590"", ""246"", ""592"", ""1764"", ""3155"", ""70"", ""4063"", ""2059"", ""2572"", ""3727"", ""4780"", ""59"", ""1737"", ""1799"", ""1910"", ""3556"", ""2153"", ""1728"", ""192"", ""1990"", ""187"", ""3436"", ""4494"", ""3373"", ""3913"", ""3308"", ""2514""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 23}","{""0"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""15"": 2, ""16"": 2, ""18"": 1, ""19"": 1, ""21"": 3, ""25"": 1, ""28"": 1, ""29"": 2, ""3"": 2, ""30"": 1, ""31"": 2, ""37"": 3, ""38"": 1, ""39"": 1, ""4"": 2, ""7"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,0,8,9,72,0,0.0,4831851.088667546,0.00045495905368516835,0.0006066120715802245
realworld_completed,inf_power,SASB-matched,matched,20260513,4,early,1362--3257,512,d5875f88400050aff0ba1d47b48a6f702fb2afa4ed181db03a483422bf08b04f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""565"", ""4755"", ""2178"", ""2133"", ""1849"", ""2615"", ""273"", ""1360"", ""3783"", ""3155"", ""70"", ""3929"", ""2059"", ""2619"", ""3771"", ""3844"", ""2003"", ""1706"", ""2153"", ""1910"", ""3556"", ""1752"", ""3759"", ""192"", ""1935"", ""374"", ""3585"", ""4494"", ""3227"", ""3059"", ""690"", ""1750""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 23}","{""1"": 1, ""12"": 1, ""13"": 1, ""14"": 3, ""15"": 1, ""16"": 2, ""18"": 1, ""21"": 2, ""25"": 2, ""28"": 1, ""29"": 4, ""3"": 2, ""30"": 1, ""31"": 2, ""32"": 1, ""37"": 1, ""38"": 1, ""4"": 3, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,6,5,30,0,0.0,5490201.214380156,0.0006066120715802245,0.0007582650894752805
realworld_completed,inf_power,SASB-matched,matched,20260513,5,early,3518--3579,512,dc1ad446f2c6f20d51250fda39cdec65f1afddbd50bac64a520992de6ec97b23,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""374"", ""4755"", ""2178"", ""2059"", ""1849"", ""2590"", ""273"", ""2572"", ""1799"", ""3155"", ""403"", ""3973"", ""2133"", ""2615"", ""3727"", ""4780"", ""3770"", ""4335"", ""1601"", ""1910"", ""3556"", ""1719"", ""1711"", ""192"", ""2247"", ""565"", ""3582"", ""4494"", ""1281"", ""653"", ""4342"", ""663""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 5, ""degree_9_plus"": 23}","{""10"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""15"": 2, ""16"": 2, ""18"": 1, ""21"": 3, ""25"": 1, ""28"": 1, ""29"": 2, ""3"": 3, ""30"": 2, ""31"": 2, ""33"": 1, ""37"": 1, ""38"": 1, ""4"": 3, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,7,3,21,0,0.0,5027023.017433161,0.0007582650894752805,0.0009099181073703367
realworld_completed,inf_power,SASB-matched,matched,20260513,6,early,3578--3579,512,710f46a1590579f635cf64e5da63b44a1c595de3d735d20a725f7c49d0845bb0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""374"", ""4771"", ""2178"", ""2367"", ""1596"", ""2744"", ""89"", ""1910"", ""59"", ""3218"", ""998"", ""3929"", ""2133"", ""2615"", ""3716"", ""4780"", ""1722"", ""4335"", ""1799"", ""1764"", ""3556"", ""1752"", ""1774"", ""192"", ""2212"", ""565"", ""3507"", ""4494"", ""963"", ""2140"", ""3579"", ""1165""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 5, ""degree_9_plus"": 23}","{""0"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""15"": 2, ""16"": 2, ""18"": 1, ""21"": 3, ""25"": 4, ""28"": 1, ""29"": 2, ""3"": 2, ""30"": 1, ""31"": 2, ""37"": 2, ""38"": 1, ""4"": 2, ""7"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,7,2,14,0,0.0,4528015.774008543,0.0009099181073703367,0.0010615711252653928
realworld_completed,inf_power,SASB-matched,matched,20260513,7,early,1471--1550,512,38e53b798b88024a206d194a1fc7abbd3673fdd311664fd7d10104a93459a4d2,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""374"", ""4755"", ""1789"", ""2367"", ""2178"", ""2744"", ""246"", ""4310"", ""37"", ""3155"", ""998"", ""4060"", ""1711"", ""2572"", ""3734"", ""4780"", ""3770"", ""1722"", ""2053"", ""1764"", ""3556"", ""1719"", ""1622"", ""514"", ""2212"", ""187"", ""3436"", ""4494"", ""3470"", ""4461"", ""2337"", ""2716""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 23}","{""10"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""15"": 1, ""16"": 2, ""18"": 1, ""21"": 2, ""25"": 2, ""28"": 1, ""29"": 2, ""3"": 3, ""30"": 1, ""31"": 2, ""37"": 1, ""38"": 1, ""4"": 3, ""6"": 1, ""7"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,0,9,4,36,0,0.0,7312402.250816826,0.0010615711252653928,0.001213224143160449
realworld_completed,inf_power,SASB-matched,matched,20260513,8,early,3624--3635,512,76b72b3cdf2edfc716dd2a0be4064660c2e067f13b79e26050e2465877e6cca7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""565"", ""4780"", ""2178"", ""2133"", ""1596"", ""2619"", ""472"", ""4771"", ""1774"", ""3155"", ""998"", ""3973"", ""1729"", ""2590"", ""3759"", ""3844"", ""3783"", ""1706"", ""2153"", ""1910"", ""3556"", ""1719"", ""2053"", ""514"", ""2813"", ""374"", ""3582"", ""4494"", ""2343"", ""3101"", ""1506"", ""627""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 23}","{""12"": 1, ""13"": 2, ""14"": 2, ""15"": 1, ""16"": 2, ""18"": 2, ""21"": 2, ""22"": 1, ""25"": 3, ""28"": 1, ""29"": 2, ""3"": 2, ""30"": 1, ""31"": 2, ""37"": 1, ""38"": 1, ""4"": 3, ""9"": 3}",1.0,1.0,0.0,1,1,0,1,6,2,12,0,0.0,6904516.767828194,0.001213224143160449,0.001364877161055505
realworld_completed,inf_power,SASB-matched,matched,20260513,9,early,4597--4609,512,9beecbc4270d1ef0777e0e132430fa79b7b06d90271ad8e4b171960fd3b2aa94,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""252"", ""4780"", ""1849"", ""2059"", ""2178"", ""2615"", ""512"", ""3218"", ""1722"", ""3155"", ""765"", ""4059"", ""1729"", ""2590"", ""3716"", ""3844"", ""365"", ""2094"", ""1799"", ""1764"", ""3556"", ""2053"", ""1427"", ""192"", ""1935"", ""187"", ""3520"", ""4494"", ""2591"", ""1021"", ""202"", ""2906""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 23}","{""0"": 1, ""1"": 1, ""12"": 1, ""13"": 2, ""14"": 1, ""15"": 1, ""16"": 2, ""18"": 1, ""21"": 2, ""25"": 2, ""28"": 1, ""29"": 3, ""3"": 3, ""30"": 1, ""31"": 3, ""37"": 1, ""38"": 1, ""4"": 2, ""6"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,7,3,21,0,0.0,5156903.81475804,0.001364877161055505,0.001516530178950561
