dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,rt_retweet,SASB-structured,structured,20260513,0,early,60--87,64,0a5ac2e45c5ade101a7bccbbda86b38fefebff33f7af1cb9286b60e6b209914f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""69"", ""39"", ""87"", ""67"", ""92"", ""51"", ""45"", ""46"", ""57"", ""21"", ""20"", ""0"", ""34"", ""48"", ""35"", ""6"", ""60"", ""71"", ""72"", ""14"", ""2"", ""22"", ""44"", ""94"", ""5"", ""43"", ""15"", ""17"", ""62"", ""23"", ""7""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 6, ""degree_2"": 2, ""degree_3_4"": 11, ""degree_5_8"": 9, ""degree_9_plus"": 4}","{""0"": 5, ""1"": 3, ""2"": 3, ""3"": 5, ""4"": 5, ""5"": 4, ""6"": 6, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,4,9,36,0,0.0,1664.65,0.0,0.008547008547008548
realworld_completed,rt_retweet,SASB-structured,structured,20260513,1,early,39--45,64,183671edd0d8af5e7d3edd4cf79842f1a1e5c05ca2e23366c96d82e0d50a8682,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""69"", ""39"", ""67"", ""92"", ""51"", ""87"", ""45"", ""46"", ""57"", ""21"", ""20"", ""0"", ""34"", ""48"", ""35"", ""6"", ""71"", ""72"", ""14"", ""2"", ""24"", ""43"", ""64"", ""40"", ""27"", ""82"", ""65"", ""32"", ""73"", ""16"", ""11""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 7, ""degree_2"": 3, ""degree_3_4"": 9, ""degree_5_8"": 10, ""degree_9_plus"": 3}","{""0"": 5, ""1"": 4, ""2"": 4, ""3"": 5, ""4"": 4, ""5"": 4, ""6"": 5, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,11,5,55,0,0.0,1479.6642857142858,0.008547008547008548,0.017094017094017096
realworld_completed,rt_retweet,SASB-structured,structured,20260513,2,early,51--69,64,6283dfd8650f0a1c1969097bad8259b474568e647831a6cef5bdf782930e1620,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""69"", ""67"", ""92"", ""39"", ""51"", ""87"", ""46"", ""57"", ""21"", ""20"", ""35"", ""0"", ""34"", ""48"", ""45"", ""6"", ""71"", ""72"", ""14"", ""2"", ""24"", ""47"", ""73"", ""94"", ""83"", ""32"", ""3"", ""85"", ""9"", ""86"", ""26""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 8, ""degree_2"": 1, ""degree_3_4"": 11, ""degree_5_8"": 9, ""degree_9_plus"": 3}","{""0"": 6, ""1"": 4, ""2"": 4, ""3"": 4, ""4"": 4, ""5"": 4, ""6"": 3, ""7"": 3}",1.0,1.0,0.0,1,1,0,0,8,9,72,1,0.14285714285714285,1799.5285714285715,0.017094017094017096,0.02564102564102564
realworld_completed,rt_retweet,SASB-structured,structured,20260513,3,early,46--49,64,f63cb0a8b1b9461c790ee6681082da8f4698a5eb0e7a5e9e8622647783866d93,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""69"", ""67"", ""92"", ""39"", ""87"", ""51"", ""46"", ""57"", ""21"", ""20"", ""35"", ""0"", ""34"", ""48"", ""45"", ""6"", ""71"", ""72"", ""14"", ""2"", ""24"", ""12"", ""68"", ""7"", ""28"", ""84"", ""70"", ""32"", ""18"", ""86"", ""9""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 9, ""degree_2"": 1, ""degree_3_4"": 10, ""degree_5_8"": 10, ""degree_9_plus"": 2}","{""0"": 4, ""1"": 6, ""2"": 5, ""3"": 5, ""4"": 5, ""5"": 3, ""6"": 3, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,5,17,85,0,0.0,2134.8,0.02564102564102564,0.03418803418803419
realworld_completed,rt_retweet,SASB-structured,structured,20260513,4,early,46--69,64,5dbdd37cdc930d2d9b5ece03f1e5e8d06c685da179788040aa2d8728f4574dec,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""69"", ""67"", ""92"", ""39"", ""87"", ""51"", ""57"", ""21"", ""20"", ""35"", ""45"", ""0"", ""34"", ""48"", ""46"", ""6"", ""71"", ""72"", ""14"", ""2"", ""24"", ""64"", ""73"", ""91"", ""60"", ""85"", ""27"", ""76"", ""18"", ""26"", ""47""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 7, ""degree_2"": 2, ""degree_3_4"": 12, ""degree_5_8"": 9, ""degree_9_plus"": 2}","{""0"": 6, ""1"": 5, ""2"": 3, ""3"": 5, ""4"": 2, ""5"": 4, ""6"": 5, ""7"": 2}",1.0,1.0,0.0,1,1,0,0,4,8,32,0,0.0,3150.0,0.03418803418803419,0.042735042735042736
realworld_completed,rt_retweet,SASB-structured,structured,20260513,5,early,35--62,64,8218daac1ee9c0d91093a95eba0e340da77b4530513b074e6f8c456226803140,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""69"", ""67"", ""92"", ""39"", ""87"", ""51"", ""57"", ""21"", ""20"", ""35"", ""45"", ""0"", ""34"", ""48"", ""6"", ""71"", ""72"", ""14"", ""2"", ""24"", ""33"", ""32"", ""5"", ""22"", ""62"", ""94"", ""90"", ""80"", ""9"", ""30"", ""12""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 6, ""degree_2"": 3, ""degree_3_4"": 12, ""degree_5_8"": 9, ""degree_9_plus"": 2}","{""0"": 5, ""1"": 4, ""2"": 5, ""3"": 4, ""4"": 6, ""5"": 2, ""6"": 5, ""7"": 1}",1.0,0.7395833333333334,0.26041666666666663,1,2,1,0,4,2,8,0,0.0,3504.0,0.042735042735042736,0.05128205128205128
realworld_completed,rt_retweet,SASB-structured,structured,20260513,6,early,21--64,64,708c1957687ece8fe00c46cd630c8ccc79c289533da3c9b5fb76a28f434050e4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""92"", ""67"", ""87"", ""69"", ""20"", ""57"", ""78"", ""48"", ""45"", ""6"", ""14"", ""0"", ""34"", ""21"", ""33"", ""35"", ""42"", ""44"", ""60"", ""94"", ""10"", ""52"", ""9"", ""84"", ""32"", ""64"", ""83"", ""82"", ""75"", ""8"", ""65""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 7, ""degree_2"": 4, ""degree_3_4"": 12, ""degree_5_8"": 8, ""degree_9_plus"": 1}","{""0"": 4, ""1"": 6, ""2"": 3, ""3"": 2, ""4"": 5, ""5"": 4, ""6"": 4, ""7"": 1, ""8"": 3}",0.7395833333333334,0.7395833333333334,0.0,2,2,0,0,3,2,6,0,0.0,1226.8947916666664,0.05128205128205128,0.05982905982905983
realworld_completed,rt_retweet,SASB-structured,structured,20260513,7,early,32--67,64,adf156c87b8e5542d5cc6a2ddd0737f66ff12066562543cd18abf43987b316a8,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""92"", ""67"", ""87"", ""69"", ""20"", ""57"", ""78"", ""48"", ""45"", ""6"", ""14"", ""0"", ""34"", ""33"", ""35"", ""42"", ""44"", ""60"", ""94"", ""10"", ""13"", ""25"", ""79"", ""3"", ""73"", ""95"", ""86"", ""82"", ""19"", ""41"", ""58""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 8, ""degree_2"": 4, ""degree_3_4"": 11, ""degree_5_8"": 8, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 7, ""2"": 3, ""3"": 2, ""4"": 4, ""5"": 5, ""6"": 2, ""7"": 4, ""8"": 3}",0.7395833333333334,0.5520833333333334,0.1875,2,3,1,1,2,8,16,0,0.0,1899.25,0.05982905982905983,0.06837606837606838
realworld_completed,rt_retweet,SASB-structured,structured,20260513,8,early,49--92,64,92c257776bb05a5a58ac8a6057f81f15383bf3827ce1af828799a28dcf3f0ce1,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""92"", ""87"", ""67"", ""69"", ""20"", ""45"", ""57"", ""78"", ""0"", ""6"", ""21"", ""34"", ""33"", ""42"", ""94"", ""10"", ""13"", ""31"", ""82"", ""11"", ""17"", ""26"", ""56"", ""65"", ""40"", ""75"", ""70"", ""59"", ""23"", ""84"", ""54""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 12, ""degree_2"": 5, ""degree_3_4"": 7, ""degree_5_8"": 7, ""degree_9_plus"": 1}","{""0"": 4, ""1"": 3, ""2"": 7, ""3"": 4, ""4"": 3, ""5"": 3, ""6"": 5, ""7"": 3}",0.5520833333333334,0.5520833333333334,0.0,3,3,0,1,16,8,128,0,0.0,897.0526041666667,0.06837606837606838,0.07692307692307693
realworld_completed,rt_retweet,SASB-structured,structured,20260513,9,early,69--92,63,c2d6a5d5a1ab05665cfaea6e7ee593f9ba9f83db5f0f9c6a9c657e1bf39b9978,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""87"", ""67"", ""69"", ""92"", ""20"", ""45"", ""57"", ""78"", ""0"", ""6"", ""21"", ""34"", ""33"", ""42"", ""94"", ""10"", ""13"", ""31"", ""82"", ""11"", ""17"", ""29"", ""40"", ""84"", ""41"", ""89"", ""36"", ""7"", ""8"", ""27"", ""95""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 12, ""degree_2"": 5, ""degree_3_4"": 7, ""degree_5_8"": 7, ""degree_9_plus"": 1}","{""0"": 5, ""1"": 2, ""2"": 8, ""3"": 4, ""4"": 3, ""5"": 2, ""6"": 3, ""7"": 5}",0.5520833333333334,0.5520833333333334,0.0,3,3,0,1,7,7,49,0,0.0,834.7776041666671,0.07692307692307693,0.08547008547008547
