dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,soc_dolphins,SASB-structured,structured,20260513,0,early,1--30,64,479f0682428f5c0dca0ad143569aead2b55041c99ee1acdc9d22c65165d1b5a8,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""13"", ""30"", ""40"", ""1"", ""35"", ""60"", ""6"", ""22"", ""9"", ""46"", ""50"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""44"", ""39"", ""14"", ""41"", ""49"", ""36"", ""3"", ""58"", ""57""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 16, ""degree_9_plus"": 9}","{""0"": 4, ""1"": 7, ""2"": 11, ""3"": 2, ""4"": 7, ""5"": 1}",1.0,1.0,0.0,1,1,0,1,8,7,56,0,0.0,614.8488209474797,0.0,0.006289308176100629
realworld_completed,soc_dolphins,SASB-structured,structured,20260513,1,early,35--59,64,b50834394bb85b0e57f739f30dbefd727bf38c9f51e113ec0e83333f935d4682,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""13"", ""40"", ""35"", ""30"", ""60"", ""6"", ""22"", ""9"", ""1"", ""46"", ""50"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""19"", ""43"", ""2"", ""18"", ""17"", ""33"", ""54"", ""25"", ""58""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 16, ""degree_9_plus"": 9}","{""0"": 4, ""1"": 6, ""2"": 9, ""3"": 3, ""4"": 7, ""5"": 3}",1.0,1.0,0.0,1,1,0,1,8,5,40,0,0.0,578.8603570445889,0.006289308176100629,0.012578616352201259
realworld_completed,soc_dolphins,SASB-structured,structured,20260513,2,early,1--21,64,ed02eb55c075122b26b710a55ffe436e0f247ed20294b21216811780d37bf0cf,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""13"", ""40"", ""30"", ""60"", ""6"", ""22"", ""9"", ""1"", ""35"", ""46"", ""50"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""7"", ""0"", ""42"", ""20"", ""21"", ""39"", ""34"", ""8"", ""44"", ""3"", ""41"", ""28""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 18, ""degree_9_plus"": 9}","{""0"": 2, ""1"": 7, ""2"": 13, ""3"": 2, ""4"": 5, ""5"": 3}",1.0,1.0,0.0,1,1,0,0,7,5,35,0,0.0,751.6825260601415,0.012578616352201259,0.018867924528301886
realworld_completed,soc_dolphins,SASB-structured,structured,20260513,3,early,33--53,64,12ae14489bc4607cb6f06a22ef4222f16e8fb3872ea1d248c799d63701aa7515,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""13"", ""40"", ""30"", ""60"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""27"", ""47"", ""53"", ""32"", ""5"", ""10"", ""38"", ""61"", ""0"", ""1"", ""42"", ""55"", ""11"", ""16"", ""15"", ""21"", ""43"", ""18"", ""14"", ""26""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 5, ""degree_5_8"": 16, ""degree_9_plus"": 9}","{""0"": 2, ""1"": 7, ""2"": 8, ""3"": 3, ""4"": 8, ""5"": 4}",1.0,1.0,0.0,1,1,0,0,2,9,18,0,0.0,1079.5758939128502,0.018867924528301886,0.025157232704402517
realworld_completed,soc_dolphins,SASB-structured,structured,20260513,4,early,24--37,64,788c6fe2042f531d7d7ceeb663421607ed02b3c88b516b794327a1ca7cbff9f2,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""13"", ""40"", ""30"", ""60"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""0"", ""1"", ""42"", ""59"", ""8"", ""45"", ""23"", ""12"", ""57"", ""11"", ""54"", ""58""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 6, ""degree_5_8"": 16, ""degree_9_plus"": 8}","{""0"": 4, ""1"": 5, ""2"": 10, ""3"": 3, ""4"": 7, ""5"": 3}",1.0,1.0,0.0,1,1,0,0,5,6,30,1,0.25,736.3684027777779,0.025157232704402517,0.031446540880503145
realworld_completed,soc_dolphins,SASB-structured,structured,20260513,5,early,24--42,64,766b096dee602f2ff3480814514ab7a028e48c7fa8864380610dddce555a04d0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""13"", ""40"", ""30"", ""60"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""0"", ""1"", ""42"", ""48"", ""36"", ""54"", ""20"", ""12"", ""26"", ""45"", ""49"", ""44""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 4, ""degree_5_8"": 17, ""degree_9_plus"": 8}","{""0"": 4, ""1"": 5, ""2"": 11, ""3"": 2, ""4"": 8, ""5"": 2}",1.0,1.0,0.0,1,1,0,0,4,6,24,1,0.3333333333333333,1034.3366815476193,0.031446540880503145,0.03773584905660377
realworld_completed,soc_dolphins,SASB-structured,structured,20260513,6,early,13--21,64,5d5eaa27289f0ef7222dc6cf4690f01bb5a9756720b67b973e4c44b5ccc37b00,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""13"", ""40"", ""30"", ""60"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""0"", ""1"", ""59"", ""34"", ""26"", ""14"", ""16"", ""24"", ""8"", ""17"", ""42"", ""21""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 1, ""degree_3_4"": 5, ""degree_5_8"": 18, ""degree_9_plus"": 8}","{""0"": 2, ""1"": 9, ""2"": 9, ""3"": 2, ""4"": 6, ""5"": 4}",1.0,1.0,0.0,1,1,0,1,9,4,36,2,0.6666666666666666,864.3556547619049,0.03773584905660377,0.0440251572327044
realworld_completed,soc_dolphins,SASB-structured,structured,20260513,7,early,21--60,64,4697750d45e869b5c7f1a0ca489f2cce8c9ebc3c96032ad505bc8c7838698483,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""40"", ""13"", ""30"", ""60"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""0"", ""1"", ""17"", ""41"", ""58"", ""2"", ""11"", ""51"", ""26"", ""25"", ""14"", ""16""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 4, ""degree_5_8"": 18, ""degree_9_plus"": 7}","{""0"": 3, ""1"": 9, ""2"": 9, ""3"": 2, ""4"": 7, ""5"": 2}",1.0,1.0,0.0,1,1,0,0,3,6,18,0,0.0,1225.0074404761904,0.0440251572327044,0.050314465408805034
realworld_completed,soc_dolphins,SASB-structured,structured,20260513,8,early,21--42,64,1448191ae2dcddaaa406d373208fe977bcd62615529965a351584db0cbc2da28,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""40"", ""13"", ""30"", ""6"", ""22"", ""9"", ""35"", ""46"", ""50"", ""7"", ""0"", ""27"", ""47"", ""32"", ""5"", ""53"", ""10"", ""38"", ""61"", ""1"", ""14"", ""49"", ""36"", ""15"", ""4"", ""60"", ""48"", ""8"", ""45"", ""20"", ""3""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 19, ""degree_9_plus"": 7}","{""0"": 2, ""1"": 7, ""2"": 11, ""3"": 2, ""4"": 8, ""5"": 2}",1.0,0.6451612903225806,0.3548387096774194,1,2,1,1,2,5,10,0,0.0,1712.75,0.050314465408805034,0.05660377358490566
realworld_completed,soc_dolphins,SASB-structured,structured,20260513,9,early,31--58,64,218967fac465a6e1d19495f9d8835907b45779c9b12869537042bc4efadfbd8f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""6"", ""40"", ""13"", ""35"", ""38"", ""27"", ""22"", ""46"", ""7"", ""0"", ""30"", ""47"", ""32"", ""10"", ""14"", ""17"", ""8"", ""2"", ""28"", ""37"", ""55"", ""12"", ""41"", ""23"", ""16"", ""3"", ""44"", ""48"", ""42"", ""58"", ""4""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 6, ""degree_5_8"": 16, ""degree_9_plus"": 6}","{""0"": 5, ""1"": 8, ""2"": 10, ""3"": 5, ""4"": 4}",0.6451612903225806,0.6451612903225806,0.0,2,2,0,0,11,3,33,0,0.0,85.62161796536796,0.05660377358490566,0.06289308176100629
realworld_completed,soc_dolphins,SASB-structured,structured,20260513,10,early,22--38,64,7450c2270eea91335ddc174f2589f60e48cb028b3585d7c09fe1c39f1f2db228,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""6"", ""40"", ""13"", ""35"", ""38"", ""27"", ""22"", ""46"", ""7"", ""0"", ""30"", ""47"", ""32"", ""10"", ""14"", ""17"", ""8"", ""2"", ""28"", ""37"", ""55"", ""29"", ""41"", ""51"", ""60"", ""48"", ""58"", ""49"", ""33"", ""54"", ""34""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 4, ""degree_2"": 4, ""degree_3_4"": 1, ""degree_5_8"": 17, ""degree_9_plus"": 6}","{""0"": 3, ""1"": 10, ""2"": 10, ""3"": 5, ""4"": 4}",0.6451612903225806,0.6451612903225806,0.0,2,2,0,1,9,7,63,0,0.0,111.22200715950717,0.06289308176100629,0.06918238993710692
realworld_completed,soc_dolphins,SASB-structured,structured,20260513,11,early,46--47,64,cef92d6fb3d7c225d78288b08e1e8fcd1e359f2ba30f3e4b4ef95043efa59cd3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""6"", ""40"", ""13"", ""35"", ""27"", ""46"", ""7"", ""0"", ""30"", ""38"", ""60"", ""47"", ""22"", ""32"", ""10"", ""14"", ""17"", ""8"", ""2"", ""28"", ""37"", ""29"", ""54"", ""4"", ""23"", ""48"", ""55"", ""44"", ""33"", ""34"", ""3""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 6, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 18, ""degree_9_plus"": 5}","{""0"": 3, ""1"": 10, ""2"": 11, ""3"": 3, ""4"": 5}",0.6451612903225806,0.6451612903225806,0.0,2,2,0,1,7,10,70,1,0.16666666666666666,82.51388888888889,0.06918238993710692,0.07547169811320754
