dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_celegans,SASB-matched,matched,20260513,0,early,55--96,276,11ac1ecfc9b0488c3a43741d799a7f0a422dbf0a1f4a2dbd2a938abe610bedb3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""131"", ""369"", ""217"", ""94"", ""104"", ""31"", ""373"", ""125"", ""121"", ""83"", ""51"", ""300"", ""321"", ""192"", ""363"", ""230"", ""359"", ""220"", ""62"", ""302"", ""52"", ""53"", ""55"", ""281"", ""66"", ""282"", ""110"", ""199"", ""96"", ""291"", ""279"", ""169""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 4, ""1"": 8, ""10"": 4, ""2"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 7, ""7"": 2, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,10,237,2370,5,0.5555555555555556,9730.034444215242,0.0,0.0004938271604938272
realworld_completed,bio_celegans,SASB-matched,matched,20260513,1,early,92--96,276,22e704453674d76f4350361a871dd32fd61498bd8dbee41ba563aafaced972bf,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""131"", ""369"", ""270"", ""72"", ""439"", ""121"", ""373"", ""215"", ""163"", ""220"", ""98"", ""344"", ""203"", ""144"", ""49"", ""60"", ""120"", ""350"", ""82"", ""314"", ""411"", ""363"", ""409"", ""92"", ""10"", ""201"", ""224"", ""198"", ""426"", ""105"", ""390"", ""12""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 4, ""degree_9_plus"": 25}","{""0"": 3, ""1"": 8, ""10"": 5, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 1, ""6"": 7, ""7"": 1, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,9,236,2124,2,0.25,6278.684297377238,0.0004938271604938272,0.0009876543209876543
realworld_completed,bio_celegans,SASB-matched,matched,20260513,2,early,51--96,276,4af1f0a204fc51fc8abd9c1ac0211dad616ad45930ed8d1aca427df730f94982,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""131"", ""222"", ""93"", ""40"", ""271"", ""72"", ""349"", ""192"", ""49"", ""220"", ""51"", ""344"", ""215"", ""417"", ""411"", ""134"", ""374"", ""300"", ""82"", ""302"", ""109"", ""94"", ""161"", ""281"", ""64"", ""50"", ""81"", ""439"", ""39"", ""65"", ""367"", ""111""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_3_4"": 2, ""degree_5_8"": 4, ""degree_9_plus"": 26}","{""0"": 1, ""1"": 10, ""10"": 5, ""2"": 1, ""3"": 3, ""4"": 3, ""5"": 2, ""6"": 5, ""7"": 1, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,104,235,24440,44,0.42718446601941745,4455.101089100461,0.0009876543209876543,0.0014814814814814814
realworld_completed,bio_celegans,SASB-matched,matched,20260513,3,early,64--96,276,1e5b1f1f7522227b589f71d6e3f507a80d796482dfdfa5b5b49cacaa71ed64c0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""131"", ""353"", ""61"", ""72"", ""115"", ""109"", ""349"", ""142"", ""31"", ""82"", ""98"", ""300"", ""359"", ""125"", ""270"", ""439"", ""144"", ""62"", ""220"", ""97"", ""206"", ""94"", ""161"", ""281"", ""64"", ""395"", ""25"", ""392"", ""117"", ""234"", ""316"", ""398""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 2, ""1"": 9, ""10"": 5, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 6, ""7"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,11,234,2574,6,0.6,4173.3358804333075,0.0014814814814814814,0.0019753086419753087
realworld_completed,bio_celegans,SASB-matched,matched,20260513,4,early,19--96,275,175003092cde58db9d11ede6dc722d4fa07f58819c080863e91a5238277f3b7f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""131"", ""221"", ""270"", ""262"", ""364"", ""109"", ""321"", ""374"", ""363"", ""220"", ""52"", ""300"", ""373"", ""192"", ""93"", ""439"", ""215"", ""344"", ""350"", ""97"", ""49"", ""32"", ""160"", ""281"", ""66"", ""19"", ""194"", ""25"", ""41"", ""334"", ""98"", ""383""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 10, ""10"": 4, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 7, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,7,233,1631,5,0.8333333333333334,3857.2125246327155,0.0019753086419753087,0.0024691358024691358
realworld_completed,bio_celegans,SASB-matched,matched,20260513,5,early,33--96,275,e8a63db9d170b267454121f6cdbee67fe31453dc77c30ffad9ae6f82b332ccbf,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""131"", ""222"", ""363"", ""109"", ""241"", ""29"", ""349"", ""215"", ""72"", ""350"", ""236"", ""300"", ""120"", ""417"", ""94"", ""325"", ""144"", ""62"", ""220"", ""314"", ""118"", ""51"", ""55"", ""281"", ""10"", ""433"", ""33"", ""58"", ""287"", ""124"", ""53"", ""375""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 1, ""1"": 11, ""10"": 4, ""2"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 7, ""7"": 2, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,5,232,1160,3,0.75,5125.3299502793625,0.0024691358024691358,0.002962962962962963
realworld_completed,bio_celegans,SASB-matched,matched,20260513,6,early,53--96,275,51889b4506085a252699d9d997aa2dfd055778359024842811deeb0cb70627b2,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""131"", ""221"", ""262"", ""411"", ""328"", ""53"", ""305"", ""321"", ""109"", ""300"", ""118"", ""82"", ""143"", ""142"", ""162"", ""104"", ""125"", ""62"", ""220"", ""97"", ""206"", ""32"", ""55"", ""281"", ""64"", ""304"", ""451"", ""301"", ""378"", ""258"", ""420"", ""238""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 4, ""1"": 8, ""10"": 4, ""2"": 2, ""3"": 1, ""4"": 4, ""5"": 1, ""6"": 5, ""7"": 2, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,123,231,28413,56,0.45901639344262296,4016.163652849575,0.002962962962962963,0.0034567901234567903
realworld_completed,bio_celegans,SASB-matched,matched,20260513,7,early,1--96,275,a5087007a82405318735f9417f45660b44a41b7186a612789fde00fb58b4cb7a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""131"", ""221"", ""322"", ""53"", ""241"", ""147"", ""125"", ""215"", ""206"", ""220"", ""162"", ""350"", ""192"", ""143"", ""295"", ""134"", ""321"", ""62"", ""82"", ""95"", ""262"", ""121"", ""261"", ""281"", ""66"", ""179"", ""1"", ""312"", ""12"", ""113"", ""44"", ""323""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 4, ""degree_9_plus"": 25}","{""0"": 1, ""1"": 8, ""10"": 5, ""2"": 2, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 8, ""7"": 2, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,3,230,690,2,1.0,4199.622721289125,0.0034567901234567903,0.003950617283950617
realworld_completed,bio_celegans,SASB-matched,matched,20260513,8,early,62--96,275,f19aff5fc0c768dacbff481f3623179e207077fc2423b0a4426f73ab0c7ff382,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""131"", ""391"", ""61"", ""94"", ""271"", ""236"", ""192"", ""417"", ""29"", ""300"", ""93"", ""82"", ""125"", ""144"", ""49"", ""439"", ""215"", ""344"", ""350"", ""307"", ""118"", ""163"", ""348"", ""281"", ""64"", ""156"", ""62"", ""44"", ""198"", ""365"", ""72"", ""436""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 9, ""10"": 5, ""2"": 2, ""3"": 1, ""4"": 3, ""5"": 2, ""6"": 7, ""7"": 1, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,57,229,13053,24,0.42857142857142855,3535.7813145421305,0.003950617283950617,0.0044444444444444444
realworld_completed,bio_celegans,SASB-matched,matched,20260513,9,early,31--96,275,b8a68029d37a7c0aef24b461505b93c3e7ed158599a59594abf60c4cd29433b3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""131"", ""369"", ""411"", ""49"", ""134"", ""41"", ""215"", ""145"", ""363"", ""344"", ""236"", ""83"", ""125"", ""321"", ""206"", ""230"", ""143"", ""350"", ""220"", ""95"", ""147"", ""53"", ""160"", ""281"", ""66"", ""14"", ""413"", ""283"", ""221"", ""2"", ""46"", ""31""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_3_4"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 9, ""10"": 4, ""2"": 1, ""3"": 3, ""4"": 3, ""5"": 1, ""6"": 6, ""7"": 3, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,10,228,2280,5,0.5555555555555556,4129.8369178267385,0.0044444444444444444,0.0049382716049382715
