dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,rt_twitter_copen,SASB-matched,matched,20260513,0,early,143--309,213,c627a296af3045ec8d4bcc9ffffabe685a0dab8796c6020dfc8211fa5ec7c271,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""330"", ""287"", ""619"", ""749"", ""428"", ""261"", ""735"", ""144"", ""698"", ""485"", ""613"", ""706"", ""326"", ""599"", ""65"", ""459"", ""624"", ""77"", ""309"", ""143"", ""157"", ""344"", ""402"", ""675"", ""162"", ""66"", ""373"", ""80"", ""522"", ""531"", ""335"", ""4""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""10"": 6, ""12"": 1, ""13"": 5, ""15"": 1, ""16"": 1, ""19"": 2, ""2"": 4, ""3"": 1, ""5"": 1, ""6"": 3, ""7"": 3, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,17,15,255,0,0.0,40956.56844925908,0.0,0.0009718172983479105
realworld_completed,rt_twitter_copen,SASB-matched,matched,20260513,1,early,44--65,213,3991d1b05a5f910d3223ecbe57a0344918c0db79825a057c7fbd1d62c5b8716a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""624"", ""77"", ""124"", ""749"", ""330"", ""261"", ""735"", ""541"", ""65"", ""619"", ""613"", ""467"", ""326"", ""722"", ""698"", ""437"", ""459"", ""706"", ""309"", ""750"", ""157"", ""280"", ""94"", ""485"", ""162"", ""44"", ""146"", ""42"", ""254"", ""231"", ""615"", ""759""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 2, ""10"": 4, ""13"": 6, ""14"": 1, ""15"": 2, ""18"": 1, ""19"": 4, ""2"": 2, ""3"": 1, ""5"": 2, ""6"": 1, ""7"": 3, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,14,35,490,1,0.07692307692307693,31409.617607137607,0.0009718172983479105,0.001943634596695821
realworld_completed,rt_twitter_copen,SASB-matched,matched,20260513,2,early,330--428,213,57074fd50e87d0fd42ad7c8dae5e2d4f187a020bd5d58fa3a6cdd97392efdc29,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""124"", ""287"", ""485"", ""461"", ""330"", ""402"", ""735"", ""541"", ""280"", ""428"", ""143"", ""698"", ""624"", ""722"", ""77"", ""437"", ""459"", ""706"", ""309"", ""613"", ""157"", ""734"", ""582"", ""144"", ""162"", ""749"", ""308"", ""42"", ""464"", ""307"", ""357"", ""581""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 4, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 8, ""13"": 6, ""14"": 1, ""19"": 2, ""2"": 3, ""3"": 2, ""5"": 1, ""6"": 2, ""7"": 4, ""8"": 1}",1.0,1.0,0.0,1,1,0,0,25,9,225,1,0.125,32714.207883231436,0.001943634596695821,0.0029154518950437317
realworld_completed,rt_twitter_copen,SASB-matched,matched,20260513,3,early,437--599,213,57c33140cafca997e9b2db9567b63eb4b7f8c36fc17d83107bfe2ba8f0404373,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""280"", ""77"", ""124"", ""749"", ""485"", ""261"", ""735"", ""722"", ""706"", ""651"", ""459"", ""734"", ""624"", ""541"", ""698"", ""437"", ""613"", ""287"", ""309"", ""750"", ""157"", ""467"", ""143"", ""154"", ""162"", ""675"", ""540"", ""42"", ""125"", ""725"", ""443"", ""700""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 3, ""12"": 2, ""13"": 7, ""14"": 2, ""19"": 2, ""2"": 2, ""3"": 2, ""5"": 1, ""6"": 3, ""7"": 5, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,20,15,300,0,0.0,25715.225668964275,0.0029154518950437317,0.003887269193391642
realworld_completed,rt_twitter_copen,SASB-matched,matched,20260513,4,early,398--722,213,02726fd58a358469d0d54fbe71eb2e6141b01e925bc73df5db089421302794bb,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""722"", ""698"", ""124"", ""749"", ""651"", ""154"", ""735"", ""280"", ""485"", ""143"", ""144"", ""467"", ""624"", ""599"", ""77"", ""437"", ""613"", ""65"", ""309"", ""750"", ""157"", ""287"", ""94"", ""66"", ""162"", ""541"", ""207"", ""459"", ""608"", ""45"", ""81"", ""182""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""10"": 4, ""11"": 1, ""13"": 6, ""14"": 1, ""19"": 2, ""2"": 5, ""3"": 1, ""5"": 2, ""6"": 2, ""7"": 4, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,8,9,72,0,0.0,35708.797435244494,0.003887269193391642,0.004859086491739553
realworld_completed,rt_twitter_copen,SASB-matched,matched,20260513,5,early,546--599,213,4b24de3fd00455a685bdf2a29e9b533a7dcc2e51670e105aa2db0ad4b70b7d60,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""287"", ""467"", ""330"", ""461"", ""124"", ""154"", ""735"", ""706"", ""651"", ""143"", ""144"", ""698"", ""624"", ""599"", ""280"", ""437"", ""459"", ""77"", ""309"", ""750"", ""157"", ""734"", ""675"", ""619"", ""162"", ""659"", ""672"", ""47"", ""306"", ""391"", ""355"", ""76""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 6, ""11"": 2, ""12"": 1, ""13"": 7, ""19"": 3, ""2"": 2, ""3"": 2, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,4,14,56,0,0.0,28733.623509208937,0.004859086491739553,0.0058309037900874635
realworld_completed,rt_twitter_copen,SASB-matched,matched,20260513,6,early,157--437,213,b0d3b23f6358c8801c09f00a9c5b582bbb9139aeac6df9f9bbec927d47b349d7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""734"", ""698"", ""124"", ""461"", ""330"", ""154"", ""735"", ""287"", ""651"", ""613"", ""706"", ""143"", ""624"", ""541"", ""467"", ""437"", ""459"", ""77"", ""309"", ""157"", ""280"", ""344"", ""750"", ""62"", ""162"", ""261"", ""689"", ""80"", ""293"", ""224"", ""144"", ""676""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 28}","{""0"": 2, ""1"": 1, ""10"": 4, ""13"": 7, ""15"": 1, ""16"": 1, ""17"": 1, ""19"": 2, ""2"": 3, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 4, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,9,19,171,0,0.0,25549.934611354744,0.0058309037900874635,0.006802721088435374
realworld_completed,rt_twitter_copen,SASB-matched,matched,20260513,7,early,428--619,213,a25b325e3e1559dfcaadc51fd84f0f4ec1c2f3b8a6f70738cdcbc60ccdc3c5d3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""675"", ""287"", ""485"", ""461"", ""330"", ""154"", ""735"", ""280"", ""124"", ""143"", ""65"", ""750"", ""599"", ""624"", ""77"", ""437"", ""613"", ""706"", ""309"", ""326"", ""698"", ""344"", ""651"", ""162"", ""541"", ""42"", ""428"", ""62"", ""331"", ""73"", ""441"", ""540""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""10"": 7, ""12"": 1, ""13"": 6, ""14"": 3, ""16"": 1, ""19"": 3, ""2"": 2, ""3"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,8,18,144,0,0.0,25166.81396625897,0.006802721088435374,0.007774538386783284
realworld_completed,rt_twitter_copen,SASB-matched,matched,20260513,8,early,291--344,212,d836ced7ee46102683fcd690e4a13c9ceb8669baac331297e1d9591152e46089,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""659"", ""287"", ""485"", ""461"", ""402"", ""124"", ""735"", ""706"", ""619"", ""613"", ""467"", ""143"", ""541"", ""326"", ""698"", ""624"", ""459"", ""65"", ""309"", ""162"", ""280"", ""344"", ""651"", ""66"", ""94"", ""144"", ""540"", ""749"", ""78"", ""464"", ""73"", ""438""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 2, ""10"": 6, ""13"": 6, ""14"": 1, ""18"": 1, ""19"": 2, ""2"": 2, ""3"": 3, ""5"": 1, ""6"": 2, ""7"": 3, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,2,16,32,0,0.0,24707.817345315525,0.007774538386783284,0.008746355685131196
realworld_completed,rt_twitter_copen,SASB-matched,matched,20260513,9,early,41--42,212,7758f43860ed5480e5b0a79348fa7c2c87f8cd8131cbe6938bb5c52b2d443f58,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""62"", ""467"", ""124"", ""749"", ""66"", ""651"", ""735"", ""734"", ""619"", ""613"", ""65"", ""143"", ""599"", ""326"", ""77"", ""624"", ""750"", ""287"", ""541"", ""309"", ""698"", ""344"", ""154"", ""47"", ""162"", ""144"", ""487"", ""44"", ""546"", ""192"", ""694"", ""708""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_3_4"": 4, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 3, ""10"": 3, ""11"": 2, ""13"": 6, ""16"": 1, ""19"": 2, ""2"": 3, ""3"": 2, ""4"": 1, ""6"": 2, ""7"": 4, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,2,37,74,0,0.0,28991.623215413056,0.008746355685131196,0.009718172983479106
