dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,football,SASB-matched,matched,20260513,0,early,39--61,118,9c7933bde65b54a308ed6a846a53130d7b85a6a3429fb5052e99b2eddf8f83a0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""109"", ""26"", ""101"", ""7"", ""49"", ""70"", ""52"", ""81"", ""33"", ""79"", ""72"", ""41"", ""10"", ""5"", ""14"", ""61"", ""20"", ""97"", ""93"", ""16"", ""89"", ""46"", ""67"", ""53"", ""68"", ""66"", ""108"", ""28"", ""71"", ""39"", ""42"", ""37""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 3, ""2"": 5, ""3"": 5, ""4"": 5, ""5"": 2, ""6"": 4, ""7"": 2, ""8"": 3, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,11,9,99,0,0.0,263.7291526966142,0.0,0.0016313213703099511
realworld_completed,football,SASB-matched,matched,20260513,1,early,28--29,118,2fb0311c9ba5883903ec3773f0724281444a77efb3b978dcb95cb888445cd499,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""4"", ""44"", ""28"", ""7"", ""49"", ""70"", ""52"", ""105"", ""46"", ""97"", ""76"", ""22"", ""63"", ""10"", ""18"", ""81"", ""9"", ""102"", ""11"", ""54"", ""110"", ""42"", ""17"", ""34"", ""16"", ""83"", ""15"", ""33"", ""114"", ""78"", ""91"", ""13""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 3, ""1"": 3, ""2"": 2, ""3"": 5, ""4"": 5, ""5"": 3, ""6"": 3, ""7"": 2, ""8"": 3, ""9"": 3}",1.0,1.0,0.0,1,1,0,1,11,11,121,0,0.0,274.4987919551459,0.0016313213703099511,0.0032626427406199023
realworld_completed,football,SASB-matched,matched,20260513,2,early,23--47,118,096986b1408c22ff3336bb77e4f217e465a50fdbfaa3bdb9858972e354f598d8,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""26"", ""66"", ""35"", ""51"", ""0"", ""70"", ""52"", ""31"", ""55"", ""18"", ""3"", ""9"", ""50"", ""5"", ""56"", ""36"", ""76"", ""102"", ""93"", ""88"", ""24"", ""12"", ""28"", ""65"", ""58"", ""96"", ""11"", ""15"", ""113"", ""47"", ""110"", ""79""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 3, ""1"": 2, ""2"": 3, ""3"": 5, ""4"": 4, ""5"": 2, ""6"": 3, ""7"": 3, ""8"": 4, ""9"": 3}",1.0,1.0,0.0,1,1,0,1,11,11,121,0,0.0,269.95689445282494,0.0032626427406199023,0.004893964110929853
realworld_completed,football,SASB-matched,matched,20260513,3,early,5--6,118,0e43440ad70ab69b5944e310a5d025eda0a3f55cade02dfb99fcc18709491773,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""4"", ""26"", ""67"", ""36"", ""104"", ""70"", ""52"", ""23"", ""55"", ""86"", ""72"", ""41"", ""2"", ""5"", ""79"", ""81"", ""3"", ""97"", ""15"", ""16"", ""110"", ""6"", ""35"", ""25"", ""107"", ""85"", ""74"", ""71"", ""48"", ""94"", ""59"", ""54""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 2, ""2"": 3, ""3"": 5, ""4"": 4, ""5"": 3, ""6"": 5, ""7"": 3, ""8"": 4, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,10,10,100,0,0.0,300.66311923792904,0.004893964110929853,0.0065252854812398045
realworld_completed,football,SASB-matched,matched,20260513,4,early,36--47,118,d2661bf509ea616b70723d68d8d8fad455b6774e6621c3c50aec0aedb3691e9e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""39"", ""37"", ""101"", ""13"", ""51"", ""70"", ""52"", ""32"", ""8"", ""18"", ""20"", ""71"", ""5"", ""10"", ""59"", ""104"", ""48"", ""97"", ""91"", ""58"", ""35"", ""12"", ""89"", ""65"", ""100"", ""102"", ""41"", ""45"", ""67"", ""0"", ""78"", ""36""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_5_8"": 3, ""degree_9_plus"": 29}","{""0"": 1, ""1"": 2, ""2"": 2, ""3"": 5, ""4"": 6, ""5"": 3, ""6"": 4, ""7"": 2, ""8"": 4, ""9"": 3}",1.0,1.0,0.0,1,1,0,1,9,10,90,0,0.0,290.6654349361357,0.0065252854812398045,0.008156606851549755
realworld_completed,football,SASB-matched,matched,20260513,5,early,0--44,117,07fb5ef81681e25e688a114114aa6a40bbf774a05b2de2feaa345b821f922c86,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""37"", ""66"", ""110"", ""7"", ""49"", ""70"", ""52"", ""105"", ""42"", ""79"", ""9"", ""41"", ""10"", ""113"", ""56"", ""108"", ""22"", ""86"", ""29"", ""68"", ""35"", ""55"", ""74"", ""40"", ""106"", ""17"", ""1"", ""44"", ""57"", ""97"", ""96"", ""58""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 3, ""2"": 4, ""3"": 5, ""4"": 4, ""5"": 3, ""6"": 4, ""7"": 2, ""8"": 4, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,12,11,132,0,0.0,277.400355662326,0.008156606851549755,0.009787928221859706
realworld_completed,football,SASB-matched,matched,20260513,6,early,19--24,117,a7152ed93cc3667cdfa2bed681e41771cd076c46cdd084c5b798444635cf8fca,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""26"", ""89"", ""23"", ""0"", ""70"", ""52"", ""46"", ""56"", ""20"", ""48"", ""95"", ""85"", ""14"", ""51"", ""9"", ""18"", ""91"", ""81"", ""54"", ""77"", ""6"", ""110"", ""114"", ""100"", ""43"", ""111"", ""53"", ""75"", ""19"", ""102"", ""32""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 2, ""2"": 2, ""3"": 6, ""4"": 5, ""5"": 2, ""6"": 3, ""7"": 2, ""8"": 4, ""9"": 5}",1.0,1.0,0.0,1,1,0,1,10,11,110,0,0.0,260.8373190064283,0.009787928221859706,0.011419249592169658
realworld_completed,football,SASB-matched,matched,20260513,7,early,34--38,117,fcf31f489adb345075a9695656eaaf31ac1a2d2f4fad606dc40db9a57b71ba9a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""92"", ""44"", ""24"", ""51"", ""31"", ""70"", ""52"", ""6"", ""59"", ""57"", ""76"", ""87"", ""10"", ""56"", ""13"", ""20"", ""64"", ""80"", ""104"", ""107"", ""111"", ""8"", ""35"", ""84"", ""106"", ""53"", ""26"", ""46"", ""1"", ""11"", ""34"", ""15""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 3, ""1"": 4, ""2"": 3, ""3"": 4, ""4"": 4, ""5"": 2, ""6"": 3, ""7"": 2, ""8"": 3, ""9"": 4}",1.0,1.0,0.0,1,1,0,1,10,12,120,0,0.0,318.20515588025023,0.011419249592169658,0.013050570962479609
realworld_completed,football,SASB-matched,matched,20260513,8,early,23--24,117,368384012b35fb89478932196b791502da1c402fa191f33bcdb286a37e612072,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""44"", ""26"", ""28"", ""0"", ""104"", ""70"", ""52"", ""55"", ""64"", ""9"", ""71"", ""38"", ""56"", ""13"", ""48"", ""97"", ""15"", ""23"", ""78"", ""111"", ""1"", ""7"", ""24"", ""47"", ""68"", ""21"", ""96"", ""72"", ""50"", ""17"", ""92"", ""51""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 2, ""2"": 4, ""3"": 5, ""4"": 6, ""5"": 2, ""6"": 4, ""7"": 2, ""8"": 3, ""9"": 3}",1.0,1.0,0.0,1,1,0,1,10,10,100,0,0.0,279.6991030021798,0.013050570962479609,0.01468189233278956
realworld_completed,football,SASB-matched,matched,20260513,9,early,84--85,117,b5b82400f542a03372c9c932565a551e72faf5ffe7417da125648cc3684e8339,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""26"", ""44"", ""111"", ""32"", ""0"", ""70"", ""52"", ""103"", ""14"", ""27"", ""22"", ""2"", ""86"", ""13"", ""72"", ""64"", ""29"", ""104"", ""58"", ""69"", ""1"", ""51"", ""28"", ""114"", ""107"", ""19"", ""85"", ""7"", ""47"", ""112"", ""96"", ""91""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_5_8"": 3, ""degree_9_plus"": 29}","{""0"": 2, ""1"": 2, ""2"": 3, ""3"": 5, ""4"": 6, ""5"": 2, ""6"": 3, ""7"": 2, ""8"": 3, ""9"": 4}",1.0,1.0,0.0,1,1,0,1,10,11,110,0,0.0,266.4301020471831,0.01468189233278956,0.01631321370309951
