dataset,graph_id,graph_name,graph_type,community_strength,method,candidate_policy,source_policy,seed,step,removed_edges,remove_ratio,gcc_ratio,gcc_size
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,0,0,0.0,1.0,96
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,1,1,0.008547008547008548,1.0,96
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,2,2,0.017094017094017096,1.0,96
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,3,3,0.02564102564102564,1.0,96
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,4,4,0.03418803418803419,1.0,96
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,5,5,0.042735042735042736,1.0,96
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,6,6,0.05128205128205128,1.0,96
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,7,7,0.05982905982905983,0.5520833333333334,53
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,8,8,0.06837606837606838,0.5520833333333334,53
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,9,9,0.07692307692307693,0.5520833333333334,53
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,10,10,0.08547008547008547,0.4479166666666667,43
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,11,11,0.09401709401709402,0.34375,33
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,12,12,0.10256410256410256,0.34375,33
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,13,13,0.1111111111111111,0.34375,33
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,14,14,0.11965811965811966,0.34375,33
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,15,15,0.1282051282051282,0.25,24
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,16,16,0.13675213675213677,0.25,24
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,17,17,0.1452991452991453,0.25,24
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,18,18,0.15384615384615385,0.23958333333333334,23
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,19,19,0.1623931623931624,0.23958333333333334,23
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,20,20,0.17094017094017094,0.23958333333333334,23
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,21,21,0.1794871794871795,0.20833333333333334,20
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,22,22,0.18803418803418803,0.19791666666666666,19
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,23,23,0.19658119658119658,0.16666666666666666,16
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,24,24,0.20512820512820512,0.16666666666666666,16
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,25,25,0.21367521367521367,0.16666666666666666,16
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,26,26,0.2222222222222222,0.16666666666666666,16
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,27,27,0.23076923076923078,0.15625,15
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,28,28,0.23931623931623933,0.15625,15
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,29,29,0.24786324786324787,0.11458333333333333,11
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,30,30,0.2564102564102564,0.11458333333333333,11
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,31,31,0.26495726495726496,0.10416666666666667,10
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,32,32,0.27350427350427353,0.10416666666666667,10
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,33,33,0.28205128205128205,0.09375,9
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,34,34,0.2905982905982906,0.09375,9
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,35,35,0.29914529914529914,0.09375,9
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,36,36,0.3076923076923077,0.09375,9
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,37,37,0.3162393162393162,0.09375,9
realworld_completed,rt_retweet,rt-retweet,social,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,38,38,0.3247863247863248,0.08333333333333333,8
