dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,inf_euroroad,SASB-matched,matched,20260513,0,early,428--429,251,800977fb2c431f5973b6a9c8768cd89863e828efec88b5c469e4c6231adcfdd9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""437"", ""592"", ""711"", ""431"", ""494"", ""427"", ""270"", ""227"", ""237"", ""1028"", ""485"", ""177"", ""206"", ""267"", ""534"", ""490"", ""54"", ""214"", ""730"", ""281"", ""537"", ""934"", ""402"", ""197"", ""380"", ""550"", ""88"", ""351"", ""805"", ""837"", ""998"", ""80""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 5, ""degree_3_4"": 1, ""degree_5_8"": 26}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""16"": 5, ""2"": 2, ""20"": 2, ""21"": 2, ""22"": 2, ""3"": 2, ""4"": 2, ""5"": 3, ""6"": 1, ""7"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,4,4,16,0,0.0,198674.9417291046,0.0,0.0007662835249042146
realworld_completed,inf_euroroad,SASB-matched,matched,20260513,1,early,286--427,251,a3ab7ef292c102f902d0d650489b75af8259b93415d2cb43ddd8f82bcf9e864e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""415"", ""537"", ""722"", ""333"", ""299"", ""174"", ""270"", ""227"", ""237"", ""492"", ""437"", ""83"", ""1028"", ""427"", ""452"", ""214"", ""176"", ""534"", ""178"", ""606"", ""448"", ""934"", ""438"", ""197"", ""380"", ""221"", ""604"", ""343"", ""225"", ""51"", ""370"", ""706""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 26}","{""0"": 2, ""1"": 1, ""11"": 2, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 6, ""17"": 1, ""2"": 2, ""20"": 2, ""21"": 2, ""22"": 2, ""4"": 4, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,5,7,35,0,0.0,253625.82690856967,0.0007662835249042146,0.0015325670498084292
realworld_completed,inf_euroroad,SASB-matched,matched,20260513,2,early,461--462,251,b71b0a163dd01b9c60d7ef2c1626e0deff5db166315c8e01d70bb0866715538c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""485"", ""592"", ""674"", ""9"", ""591"", ""490"", ""494"", ""227"", ""606"", ""83"", ""437"", ""492"", ""206"", ""534"", ""452"", ""176"", ""174"", ""178"", ""281"", ""448"", ""934"", ""267"", ""402"", ""197"", ""380"", ""469"", ""88"", ""336"", ""414"", ""989"", ""541"", ""379""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 27}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 4, ""16"": 5, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 1, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,0,4,4,16,0,0.0,287849.92344000767,0.0015325670498084292,0.0022988505747126436
realworld_completed,inf_euroroad,SASB-matched,matched,20260513,3,early,21--427,251,222030ec0d9da433490c33aa8c35b6cd8c46a244d71d2555039acdb7d042b067,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""484"", ""580"", ""722"", ""287"", ""541"", ""213"", ""591"", ""229"", ""239"", ""174"", ""437"", ""177"", ""206"", ""452"", ""267"", ""492"", ""214"", ""586"", ""606"", ""537"", ""934"", ""490"", ""39"", ""197"", ""380"", ""50"", ""839"", ""355"", ""568"", ""840"", ""373"", ""999""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 28}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 3, ""16"": 6, ""17"": 1, ""2"": 3, ""20"": 2, ""21"": 1, ""22"": 2, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 3, ""9"": 1}",1.0,1.0,0.0,1,1,0,0,3,6,18,0,0.0,337848.6462815114,0.0022988505747126436,0.0030651340996168583
realworld_completed,inf_euroroad,SASB-matched,matched,20260513,4,early,765--766,251,04b161dc3d3b8b9f04fdc39d1fdc505567f8c70c8deecbc3940c2a69229a2386,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""415"", ""253"", ""443"", ""765"", ""541"", ""452"", ""494"", ""227"", ""237"", ""606"", ""485"", ""176"", ""206"", ""213"", ""427"", ""54"", ""267"", ""586"", ""276"", ""840"", ""934"", ""438"", ""197"", ""380"", ""88"", ""839"", ""353"", ""221"", ""637"", ""998"", ""822"", ""508""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 27}","{""0"": 4, ""1"": 2, ""11"": 2, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 4, ""2"": 2, ""20"": 3, ""21"": 1, ""22"": 2, ""4"": 2, ""5"": 2, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,0,3,2,6,0,0.0,256020.01432300097,0.0030651340996168583,0.0038314176245210726
realworld_completed,inf_euroroad,SASB-matched,matched,20260513,5,early,21--461,251,4483aef386c22772ec69b23e2e24ba267e9ea2c85cd285bed15ad43074b1443c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""437"", ""580"", ""722"", ""9"", ""299"", ""427"", ""545"", ""229"", ""239"", ""808"", ""637"", ""176"", ""206"", ""534"", ""490"", ""492"", ""452"", ""178"", ""606"", ""448"", ""934"", ""443"", ""197"", ""380"", ""50"", ""88"", ""343"", ""586"", ""507"", ""546"", ""960"", ""517""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 3, ""degree_5_8"": 26}","{""0"": 2, ""1"": 1, ""11"": 2, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 4, ""18"": 1, ""19"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 4, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,2,3,6,0,0.0,291964.73651499074,0.0038314176245210726,0.004597701149425287
realworld_completed,inf_euroroad,SASB-matched,matched,20260513,6,early,496--497,251,e22577f4b2470fbec9aefa5c5aa80010109da9d1736ede038dba5350f8fe881c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""437"", ""592"", ""443"", ""881"", ""545"", ""267"", ""494"", ""229"", ""281"", ""606"", ""637"", ""83"", ""206"", ""534"", ""174"", ""481"", ""490"", ""586"", ""276"", ""840"", ""934"", ""711"", ""197"", ""380"", ""213"", ""604"", ""356"", ""221"", ""516"", ""853"", ""285"", ""40""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 3, ""degree_5_8"": 26}","{""0"": 2, ""1"": 1, ""11"": 2, ""12"": 2, ""13"": 2, ""14"": 1, ""16"": 5, ""2"": 2, ""20"": 3, ""21"": 1, ""22"": 2, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 3, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,4,4,16,0,0.0,205776.48122717402,0.004597701149425287,0.0053639846743295016
realworld_completed,inf_euroroad,SASB-matched,matched,20260513,7,early,315--317,251,bf1bb6a34a3bf2af685633f212d8cf697853847465c59b5de7e08aa8dba0cc05,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""437"", ""537"", ""711"", ""884"", ""299"", ""427"", ""545"", ""229"", ""281"", ""227"", ""485"", ""177"", ""206"", ""214"", ""534"", ""481"", ""490"", ""730"", ""239"", ""580"", ""934"", ""39"", ""197"", ""380"", ""586"", ""839"", ""355"", ""178"", ""503"", ""562"", ""547"", ""278""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 2, ""degree_3_4"": 4, ""degree_5_8"": 26}","{""0"": 2, ""1"": 1, ""11"": 3, ""12"": 1, ""13"": 1, ""14"": 2, ""16"": 4, ""2"": 2, ""20"": 3, ""21"": 2, ""22"": 2, ""4"": 3, ""5"": 1, ""6"": 2, ""7"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,6,4,24,0,0.0,224583.19271584228,0.0053639846743295016,0.006130268199233717
realworld_completed,inf_euroroad,SASB-matched,matched,20260513,8,early,457--458,251,995cc7a107bcb34aa77740f5450a1b878447d8305c3db3b8836ec598ff5daa31,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""484"", ""253"", ""443"", ""746"", ""545"", ""490"", ""494"", ""227"", ""239"", ""481"", ""437"", ""177"", ""1028"", ""214"", ""174"", ""176"", ""267"", ""586"", ""606"", ""840"", ""438"", ""299"", ""197"", ""934"", ""380"", ""83"", ""604"", ""336"", ""374"", ""835"", ""553"", ""985""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 27}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""16"": 4, ""17"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""4"": 4, ""5"": 1, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,0,4,2,8,0,0.0,254776.84418748395,0.006130268199233717,0.006896551724137931
realworld_completed,inf_euroroad,SASB-matched,matched,20260513,9,early,541--787,251,813153e95597e0da314f45c440c88e4a4ed77330b1f65ef47826b88e25b95bc9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""415"", ""537"", ""39"", ""904"", ""541"", ""267"", ""494"", ""229"", ""239"", ""534"", ""437"", ""83"", ""1028"", ""214"", ""452"", ""54"", ""427"", ""178"", ""606"", ""448"", ""674"", ""270"", ""197"", ""934"", ""380"", ""580"", ""88"", ""351"", ""571"", ""907"", ""620"", ""297""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 1, ""degree_5_8"": 26}","{""0"": 3, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""16"": 5, ""19"": 1, ""2"": 3, ""20"": 2, ""21"": 1, ""22"": 3, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,0,6,3,18,0,0.0,393774.1976773397,0.006896551724137931,0.007662835249042145
