dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,ca_csphd,SASB-matched,matched,20260513,0,early,430--576,224,13974d1edc088668fe4d293298a4d5ead2ae25a50085a2627e2c0c4bdccc5c69,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""461"", ""547"", ""22"", ""675"", ""888"", ""628"", ""62"", ""765"", ""545"", ""482"", ""698"", ""701"", ""732"", ""540"", ""257"", ""617"", ""162"", ""596"", ""383"", ""681"", ""572"", ""61"", ""996"", ""180"", ""586"", ""558"", ""29"", ""430"", ""751"", ""271"", ""335"", ""739""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_5_8"": 4, ""degree_9_plus"": 24}","{""0"": 1, ""1"": 3, ""10"": 2, ""11"": 1, ""13"": 1, ""15"": 2, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 1, ""23"": 1, ""24"": 1, ""25"": 1, ""26"": 1, ""28"": 1, ""29"": 1, ""3"": 2, ""4"": 1, ""5"": 2, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,24,4,96,0,0.0,247689.11458333328,0.0,0.0009587727708533077
realworld_completed,ca_csphd,SASB-matched,matched,20260513,1,early,22--596,224,014ca85f01c23da72483b3e66a402980e4f4ec00e96a7457c6763a55c4373cf4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""29"", ""482"", ""22"", ""767"", ""88"", ""628"", ""608"", ""430"", ""572"", ""461"", ""732"", ""383"", ""996"", ""257"", ""681"", ""617"", ""540"", ""162"", ""701"", ""176"", ""558"", ""61"", ""575"", ""920"", ""547"", ""62"", ""810"", ""596"", ""735"", ""917"", ""988"", ""232""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 24}","{""0"": 1, ""1"": 2, ""13"": 1, ""14"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""19"": 2, ""2"": 1, ""20"": 3, ""21"": 1, ""23"": 1, ""24"": 1, ""26"": 1, ""27"": 1, ""28"": 1, ""29"": 2, ""3"": 2, ""4"": 1, ""5"": 3, ""6"": 1, ""7"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,10,15,150,0,0.0,281952.0275297619,0.0009587727708533077,0.0019175455417066154
realworld_completed,ca_csphd,SASB-matched,matched,20260513,2,early,608--964,224,06e3a55285fc71eae024b321246accbef1cb42fd8063191c2394b976c5391eab,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""545"", ""575"", ""22"", ""474"", ""888"", ""628"", ""810"", ""176"", ""547"", ""461"", ""540"", ""765"", ""608"", ""551"", ""732"", ""698"", ""617"", ""430"", ""162"", ""641"", ""29"", ""572"", ""482"", ""920"", ""558"", ""257"", ""62"", ""681"", ""321"", ""969"", ""339"", ""421""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 24}","{""0"": 1, ""1"": 2, ""10"": 1, ""12"": 1, ""15"": 1, ""16"": 1, ""17"": 2, ""19"": 3, ""2"": 2, ""20"": 1, ""21"": 1, ""23"": 1, ""24"": 1, ""25"": 1, ""26"": 2, ""27"": 1, ""29"": 1, ""3"": 1, ""30"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 2, ""8"": 2}",1.0,0.7697560975609756,0.23024390243902437,1,2,1,1,17,2,34,0,0.0,330466.40625,0.0019175455417066154,0.0028763183125599234
realworld_completed,ca_csphd,SASB-matched,matched,20260513,3,early,575--857,190,d0df1c012a73f74995c98000a4193e172a87ba967b74dfb69e52f13789f3da11,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""617"", ""641"", ""22"", ""585"", ""88"", ""551"", ""62"", ""575"", ""29"", ""765"", ""540"", ""430"", ""545"", ""698"", ""586"", ""706"", ""701"", ""257"", ""810"", ""996"", ""383"", ""176"", ""608"", ""655"", ""920"", ""482"", ""650"", ""572"", ""408"", ""947"", ""158"", ""294""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 23}","{""1"": 2, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 3, ""19"": 1, ""20"": 1, ""21"": 1, ""22"": 1, ""23"": 1, ""24"": 1, ""25"": 1, ""26"": 1, ""27"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 1}",0.7697560975609756,0.7697560975609756,0.0,2,2,0,1,9,3,27,0,0.0,123480.14375,0.0028763183125599234,0.003835091083413231
realworld_completed,ca_csphd,SASB-matched,matched,20260513,4,early,575--607,190,f55b3950095b5b4190e13c3e13b341ac3d935d45dddcacd743b87365c2ef2976,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""732"", ""572"", ""22"", ""740"", ""888"", ""540"", ""430"", ""681"", ""698"", ""706"", ""996"", ""590"", ""257"", ""617"", ""551"", ""701"", ""62"", ""383"", ""810"", ""608"", ""545"", ""176"", ""586"", ""610"", ""920"", ""897"", ""765"", ""650"", ""746"", ""562"", ""147"", ""344""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 3, ""1"": 2, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 1, ""21"": 2, ""22"": 1, ""23"": 1, ""24"": 1, ""25"": 1, ""26"": 1, ""3"": 2, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 1}",0.7697560975609756,0.7697560975609756,0.0,2,2,0,1,8,3,24,0,0.0,145510.0921875,0.003835091083413231,0.004793863854266539
realworld_completed,ca_csphd,SASB-matched,matched,20260513,5,early,545--617,189,38fe2d38a4245e79ce4392e0097570143c6369aa3ab23173b552bf31411ff137,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""996"", ""765"", ""22"", ""897"", ""88"", ""681"", ""62"", ""29"", ""641"", ""176"", ""732"", ""180"", ""810"", ""617"", ""698"", ""540"", ""572"", ""545"", ""551"", ""586"", ""608"", ""706"", ""482"", ""655"", ""920"", ""308"", ""383"", ""947"", ""796"", ""330"", ""637"", ""549""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 8, ""degree_9_plus"": 21}","{""0"": 2, ""1"": 3, ""11"": 2, ""12"": 1, ""13"": 1, ""14"": 1, ""18"": 1, ""19"": 1, ""2"": 2, ""20"": 1, ""21"": 1, ""22"": 1, ""23"": 1, ""24"": 2, ""25"": 1, ""26"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 1}",0.7697560975609756,0.7697560975609756,0.0,2,2,0,1,19,10,190,0,0.0,173345.76562500003,0.004793863854266539,0.005752636625119847
realworld_completed,ca_csphd,SASB-matched,matched,20260513,6,early,414--430,189,cf12baa920efd7e7595595752c2e53a6935d28b3b7166b198bba824c8959aafe,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""29"", ""545"", ""22"", ""775"", ""888"", ""608"", ""996"", ""176"", ""540"", ""706"", ""617"", ""762"", ""482"", ""698"", ""62"", ""586"", ""810"", ""765"", ""681"", ""430"", ""701"", ""383"", ""551"", ""655"", ""920"", ""897"", ""641"", ""947"", ""81"", ""774"", ""669"", ""76""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 1, ""1"": 3, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""20"": 1, ""21"": 2, ""22"": 3, ""23"": 1, ""24"": 1, ""25"": 1, ""26"": 1, ""4"": 1, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 1, ""9"": 1}",0.7697560975609756,0.7697560975609756,0.0,2,2,0,1,4,23,92,0,0.0,214261.16874999998,0.005752636625119847,0.006711409395973154
realworld_completed,ca_csphd,SASB-matched,matched,20260513,7,early,545--762,189,2162e9745fb3706f48b5c0a08ab7758ffc908e832ada6f144e27bebe87519da9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""732"", ""586"", ""22"", ""270"", ""888"", ""698"", ""62"", ""545"", ""482"", ""706"", ""996"", ""688"", ""701"", ""617"", ""257"", ""641"", ""551"", ""810"", ""681"", ""430"", ""765"", ""572"", ""540"", ""610"", ""920"", ""897"", ""383"", ""947"", ""689"", ""292"", ""126"", ""75""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 4, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 1, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 2, ""20"": 3, ""22"": 1, ""24"": 1, ""25"": 2, ""26"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 2, ""9"": 2}",0.7697560975609756,0.7697560975609756,0.0,2,2,0,0,18,5,90,0,0.0,280378.546875,0.006711409395973154,0.007670182166826462
realworld_completed,ca_csphd,SASB-matched,matched,20260513,8,early,390--545,189,b87099bacc4f6f85980362e8b0d06bbefe7dd2c5c2ad9d8e005f18dde05c906e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""482"", ""608"", ""22"", ""767"", ""88"", ""572"", ""257"", ""176"", ""545"", ""540"", ""586"", ""474"", ""701"", ""617"", ""641"", ""810"", ""765"", ""681"", ""996"", ""62"", ""551"", ""430"", ""29"", ""655"", ""920"", ""897"", ""706"", ""947"", ""105"", ""649"", ""980"", ""308""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 3, ""degree_5_8"": 8, ""degree_9_plus"": 21}","{""0"": 1, ""1"": 2, ""10"": 1, ""11"": 2, ""12"": 2, ""14"": 1, ""15"": 1, ""16"": 2, ""17"": 1, ""18"": 2, ""19"": 1, ""20"": 1, ""21"": 1, ""22"": 1, ""23"": 2, ""24"": 1, ""26"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 1}",0.7697560975609756,0.39707317073170734,0.3726829268292683,2,3,1,1,2,17,34,0,0.0,310644.09375,0.007670182166826462,0.00862895493767977
realworld_completed,ca_csphd,SASB-matched,matched,20260513,9,early,383--586,122,88ce0b09af038350e6780d5a282abec2ed3316c3ddef945a558915f604b3f49c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""765"", ""383"", ""88"", ""430"", ""62"", ""545"", ""740"", ""701"", ""810"", ""257"", ""542"", ""653"", ""586"", ""641"", ""180"", ""632"", ""897"", ""948"", ""920"", ""846"", ""610"", ""431"", ""655"", ""725"", ""851"", ""15"", ""751"", ""578"", ""876"", ""438"", ""589"", ""927""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_0_1"": 3, ""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 15, ""degree_9_plus"": 10}","{""0"": 2, ""1"": 2, ""10"": 3, ""11"": 2, ""12"": 2, ""13"": 3, ""14"": 1, ""15"": 1, ""16"": 3, ""18"": 2, ""2"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 4, ""8"": 1, ""9"": 1}",0.39707317073170734,0.39707317073170734,0.0,3,3,0,1,10,14,140,0,0.0,52146.874999999985,0.00862895493767977,0.009587727708533078
