dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,web_polblogs,SASB-random,random,20260513,0,early,243--522,309,aa087b7a3f6fecbdfe3bd4b98e7f1183f7f2fc756cac22a1bace1737e924d9ca,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""179"", ""522"", ""447"", ""317"", ""438"", ""589"", ""225"", ""419"", ""497"", ""66"", ""237"", ""414"", ""384"", ""59"", ""489"", ""300"", ""621"", ""585"", ""23"", ""17"", ""222"", ""353"", ""82"", ""515"", ""394"", ""285"", ""509"", ""280"", ""296"", ""241"", ""518"", ""327""]","{""uniform_random"": 32}","{""degree_0_1"": 7, ""degree_2"": 3, ""degree_3_4"": 5, ""degree_5_8"": 7, ""degree_9_plus"": 10}","{""0"": 4, ""1"": 3, ""2"": 16, ""3"": 7, ""6"": 2}",1.0,1.0,0.0,1,1,0,1,165,14,2310,4,0.3076923076923077,22458.511231525645,0.0,0.0004385964912280702
realworld_completed,web_polblogs,SASB-random,random,20260513,1,early,125--199,309,aeb454c1bb3e118669f82c00617c37fbd55741e9dc49a3a7a92cf1cfed6b9ad6,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""591"", ""378"", ""522"", ""278"", ""274"", ""478"", ""358"", ""269"", ""610"", ""177"", ""393"", ""340"", ""611"", ""551"", ""458"", ""437"", ""423"", ""487"", ""3"", ""535"", ""138"", ""568"", ""93"", ""444"", ""558"", ""216"", ""402"", ""259"", ""0"", ""513"", ""104"", ""433""]","{""uniform_random"": 32}","{""degree_0_1"": 13, ""degree_2"": 5, ""degree_3_4"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 9}","{""0"": 7, ""1"": 1, ""2"": 15, ""3"": 8, ""6"": 1}",1.0,1.0,0.0,1,1,0,1,32,14,448,1,0.07692307692307693,29549.31975176432,0.0004385964912280702,0.0008771929824561404
realworld_completed,web_polblogs,SASB-random,random,20260513,2,early,107--478,309,ee82664f54f82735b9ae2be2a3adfe2083180864f92737bacd596d355875283a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""293"", ""323"", ""11"", ""145"", ""577"", ""183"", ""200"", ""24"", ""565"", ""28"", ""119"", ""416"", ""166"", ""337"", ""294"", ""395"", ""330"", ""95"", ""8"", ""295"", ""222"", ""489"", ""149"", ""581"", ""509"", ""637"", ""502"", ""569"", ""82"", ""478"", ""516"", ""586""]","{""uniform_random"": 32}","{""degree_0_1"": 7, ""degree_2"": 6, ""degree_3_4"": 7, ""degree_5_8"": 5, ""degree_9_plus"": 7}","{""0"": 8, ""1"": 4, ""2"": 12, ""3"": 4, ""5"": 1, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,33,6,198,0,0.0,17497.24513541715,0.0008771929824561404,0.0013157894736842105
realworld_completed,web_polblogs,SASB-random,random,20260513,3,early,182--351,309,b5b6427198065049e04439630b910e1fbffc8cf31d4290097a1676413ec43ea9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""102"", ""143"", ""124"", ""109"", ""290"", ""467"", ""379"", ""386"", ""217"", ""136"", ""16"", ""591"", ""247"", ""12"", ""138"", ""296"", ""367"", ""193"", ""270"", ""92"", ""206"", ""552"", ""192"", ""1"", ""389"", ""22"", ""380"", ""235"", ""579"", ""268"", ""189"", ""191""]","{""uniform_random"": 32}","{""degree_0_1"": 11, ""degree_2"": 4, ""degree_3_4"": 6, ""degree_5_8"": 3, ""degree_9_plus"": 8}","{""0"": 8, ""1"": 6, ""2"": 11, ""3"": 5, ""5"": 1, ""6"": 1}",1.0,1.0,0.0,1,1,0,1,40,56,2240,3,0.07692307692307693,31370.800365586543,0.0013157894736842105,0.0017543859649122807
realworld_completed,web_polblogs,SASB-random,random,20260513,4,early,182--588,309,e4be9657e56a87297874bac63cc5a3243aeebec5be1e51afa94594ec0e3c6296,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""428"", ""483"", ""539"", ""35"", ""572"", ""17"", ""435"", ""30"", ""23"", ""219"", ""122"", ""316"", ""455"", ""228"", ""241"", ""436"", ""285"", ""529"", ""335"", ""582"", ""304"", ""215"", ""12"", ""640"", ""614"", ""29"", ""252"", ""618"", ""530"", ""146"", ""575"", ""387""]","{""uniform_random"": 32}","{""degree_0_1"": 5, ""degree_2"": 6, ""degree_3_4"": 10, ""degree_5_8"": 5, ""degree_9_plus"": 6}","{""0"": 5, ""1"": 6, ""2"": 13, ""3"": 7, ""6"": 1}",1.0,1.0,0.0,1,1,0,1,39,33,1287,0,0.0,26707.972840094244,0.0017543859649122807,0.0021929824561403508
realworld_completed,web_polblogs,SASB-random,random,20260513,5,early,125--351,309,8cbb6bbc7c52fccd16acc5276c7a6a18ebeabeefb782ec480cb164623839b6e3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""106"", ""113"", ""152"", ""24"", ""191"", ""631"", ""296"", ""259"", ""257"", ""548"", ""423"", ""275"", ""182"", ""299"", ""592"", ""446"", ""551"", ""316"", ""21"", ""0"", ""291"", ""301"", ""44"", ""618"", ""260"", ""327"", ""240"", ""235"", ""626"", ""317"", ""195"", ""614""]","{""uniform_random"": 32}","{""degree_0_1"": 7, ""degree_2"": 3, ""degree_3_4"": 7, ""degree_5_8"": 7, ""degree_9_plus"": 8}","{""0"": 12, ""1"": 5, ""2"": 10, ""3"": 5}",1.0,1.0,0.0,1,1,0,1,31,55,1705,3,0.1,14625.196609541581,0.0021929824561403508,0.002631578947368421
realworld_completed,web_polblogs,SASB-random,random,20260513,6,early,107--620,309,7303abbde73c8dfc211f0cb9e05eab85de6ad9540d34fba82f80eb2e30c71390,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""359"", ""445"", ""245"", ""116"", ""642"", ""630"", ""24"", ""592"", ""18"", ""415"", ""626"", ""472"", ""35"", ""94"", ""256"", ""614"", ""83"", ""90"", ""444"", ""95"", ""477"", ""334"", ""320"", ""262"", ""79"", ""324"", ""328"", ""139"", ""351"", ""16"", ""391"", ""9""]","{""uniform_random"": 32}","{""degree_0_1"": 5, ""degree_2"": 3, ""degree_3_4"": 5, ""degree_5_8"": 6, ""degree_9_plus"": 13}","{""0"": 11, ""1"": 7, ""2"": 7, ""3"": 6, ""6"": 1}",1.0,1.0,0.0,1,1,0,1,32,8,256,1,0.14285714285714285,15408.673528149797,0.002631578947368421,0.0030701754385964912
realworld_completed,web_polblogs,SASB-random,random,20260513,7,early,479--522,309,581acc9be28e3a00b546427b53b7adc3d4a8b951308e760e56f14d1671090d45,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""384"", ""474"", ""371"", ""59"", ""500"", ""606"", ""32"", ""112"", ""612"", ""197"", ""416"", ""43"", ""590"", ""209"", ""194"", ""306"", ""562"", ""599"", ""95"", ""23"", ""570"", ""291"", ""642"", ""229"", ""616"", ""280"", ""330"", ""127"", ""608"", ""145"", ""604"", ""355""]","{""uniform_random"": 32}","{""degree_0_1"": 4, ""degree_2"": 3, ""degree_3_4"": 4, ""degree_5_8"": 10, ""degree_9_plus"": 11}","{""0"": 7, ""1"": 6, ""2"": 10, ""3"": 6, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,22,13,286,0,0.0,14517.288528918325,0.0030701754385964912,0.0035087719298245615
realworld_completed,web_polblogs,SASB-random,random,20260513,8,early,125--232,309,57ced4a2e0f3c76eab9a867814960c45f99ddd2e164fc987797b27a185f3cd7e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""11"", ""543"", ""525"", ""490"", ""250"", ""356"", ""325"", ""555"", ""507"", ""330"", ""633"", ""578"", ""455"", ""361"", ""128"", ""612"", ""305"", ""25"", ""552"", ""181"", ""484"", ""482"", ""562"", ""630"", ""47"", ""603"", ""55"", ""112"", ""197"", ""417"", ""306"", ""440""]","{""uniform_random"": 32}","{""degree_0_1"": 6, ""degree_2"": 5, ""degree_3_4"": 9, ""degree_5_8"": 8, ""degree_9_plus"": 4}","{""0"": 6, ""1"": 5, ""2"": 13, ""3"": 5, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,30,14,420,1,0.07692307692307693,19296.768449840205,0.0035087719298245615,0.003947368421052632
realworld_completed,web_polblogs,SASB-random,random,20260513,9,early,28--351,309,7e240f05a31a60e42be23d2e77708465db6911a16edb7ad085d9d8c8ed4be02d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""349"", ""188"", ""319"", ""399"", ""136"", ""457"", ""506"", ""569"", ""438"", ""163"", ""444"", ""16"", ""532"", ""200"", ""578"", ""202"", ""412"", ""523"", ""90"", ""30"", ""340"", ""67"", ""451"", ""357"", ""206"", ""625"", ""235"", ""63"", ""390"", ""515"", ""180"", ""79""]","{""uniform_random"": 32}","{""degree_0_1"": 7, ""degree_2"": 6, ""degree_3_4"": 8, ""degree_5_8"": 3, ""degree_9_plus"": 8}","{""0"": 8, ""1"": 7, ""2"": 11, ""3"": 4, ""6"": 2}",1.0,1.0,0.0,1,1,0,1,25,54,1350,6,0.25,15480.080053564267,0.003947368421052632,0.0043859649122807015
realworld_completed,web_polblogs,SASB-random,random,20260513,10,early,173--433,309,d787f1835f8b7c345945ce07c56945bba73ef6823600d32992c79f45b596f4a4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""157"", ""353"", ""388"", ""73"", ""299"", ""330"", ""200"", ""495"", ""187"", ""221"", ""334"", ""543"", ""42"", ""613"", ""0"", ""175"", ""295"", ""526"", ""366"", ""638"", ""215"", ""574"", ""394"", ""222"", ""6"", ""354"", ""194"", ""46"", ""235"", ""180"", ""48"", ""583""]","{""uniform_random"": 32}","{""degree_0_1"": 11, ""degree_2"": 2, ""degree_3_4"": 6, ""degree_5_8"": 7, ""degree_9_plus"": 6}","{""0"": 7, ""1"": 5, ""3"": 6, ""4"": 5, ""7"": 9}",1.0,1.0,0.0,1,1,0,1,38,30,1140,6,0.20689655172413793,13679.680855046594,0.0043859649122807015,0.004824561403508772
realworld_completed,web_polblogs,SASB-random,random,20260513,11,early,228--243,309,3821496120ec3520d28835089e791832ffb5ea199ab1ad6bc57c62d25805a988,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""62"", ""542"", ""466"", ""392"", ""446"", ""635"", ""294"", ""153"", ""536"", ""148"", ""83"", ""441"", ""636"", ""108"", ""376"", ""145"", ""584"", ""569"", ""490"", ""396"", ""158"", ""70"", ""443"", ""323"", ""96"", ""362"", ""99"", ""554"", ""226"", ""278"", ""57"", ""235""]","{""uniform_random"": 32}","{""degree_0_1"": 6, ""degree_2"": 5, ""degree_3_4"": 5, ""degree_5_8"": 6, ""degree_9_plus"": 10}","{""0"": 14, ""1"": 5, ""3"": 3, ""4"": 2, ""6"": 1, ""7"": 7}",1.0,1.0,0.0,1,1,0,0,3,164,492,1,0.5,13498.898812845688,0.004824561403508772,0.005263157894736842
realworld_completed,web_polblogs,SASB-random,random,20260513,12,early,173--351,308,ce71d8119a9f01478d1f5c6e1d81c87696cc96ea0be46346061393337fd77cb5,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""631"", ""115"", ""65"", ""128"", ""73"", ""387"", ""371"", ""433"", ""395"", ""480"", ""636"", ""241"", ""467"", ""343"", ""249"", ""29"", ""581"", ""105"", ""491"", ""364"", ""397"", ""455"", ""355"", ""226"", ""91"", ""298"", ""376"", ""28"", ""162"", ""166"", ""532"", ""329""]","{""uniform_random"": 32}","{""degree_0_1"": 13, ""degree_2"": 4, ""degree_3_4"": 4, ""degree_5_8"": 6, ""degree_9_plus"": 5}","{""0"": 7, ""1"": 5, ""3"": 4, ""4"": 4, ""5"": 1, ""6"": 1, ""7"": 10}",1.0,1.0,0.0,1,1,0,1,37,53,1961,10,0.2777777777777778,18947.014508136785,0.005263157894736842,0.005701754385964913
realworld_completed,web_polblogs,SASB-random,random,20260513,13,early,351--445,308,85cb4bd4a6e9f7809b7421ad8c9616064b6d1b835346dcadc41c9f799f22bf67,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""594"", ""210"", ""616"", ""89"", ""383"", ""489"", ""571"", ""235"", ""315"", ""427"", ""370"", ""418"", ""305"", ""451"", ""45"", ""460"", ""232"", ""224"", ""71"", ""36"", ""257"", ""452"", ""321"", ""468"", ""75"", ""341"", ""518"", ""238"", ""523"", ""274"", ""343"", ""188""]","{""uniform_random"": 32}","{""degree_0_1"": 4, ""degree_2"": 5, ""degree_3_4"": 10, ""degree_5_8"": 5, ""degree_9_plus"": 8}","{""0"": 8, ""1"": 6, ""3"": 4, ""4"": 3, ""7"": 11}",1.0,1.0,0.0,1,1,0,1,52,21,1092,6,0.3,16142.760503069958,0.005701754385964913,0.0061403508771929825
realworld_completed,web_polblogs,SASB-random,random,20260513,14,early,351--401,308,840a1c20886c2f0548ab31595a7da7583aad0cf13fc0b3d01336821c132360ee,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""370"", ""123"", ""167"", ""279"", ""39"", ""232"", ""40"", ""504"", ""512"", ""192"", ""115"", ""551"", ""59"", ""522"", ""574"", ""121"", ""94"", ""533"", ""404"", ""368"", ""206"", ""401"", ""461"", ""355"", ""333"", ""93"", ""430"", ""142"", ""484"", ""207"", ""173"", ""41""]","{""uniform_random"": 32}","{""degree_0_1"": 6, ""degree_2"": 4, ""degree_3_4"": 2, ""degree_5_8"": 8, ""degree_9_plus"": 12}","{""0"": 7, ""1"": 5, ""3"": 7, ""4"": 8, ""7"": 5}",1.0,1.0,0.0,1,1,0,1,51,30,1530,6,0.20689655172413793,12947.509477202399,0.0061403508771929825,0.006578947368421052
