dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,ia_radoslaw_email,SASB-random,random,20260513,0,early,1--73,292,eab6aadc5588be9359b6b9e547285d0cd265f86919a5697667679dcbfd76957c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""67"", ""144"", ""148"", ""98"", ""28"", ""136"", ""37"", ""94"", ""119"", ""11"", ""118"", ""52"", ""34"", ""58"", ""102"", ""38"", ""147"", ""146"", ""122"", ""120"", ""166"", ""162"", ""83"", ""125"", ""35"", ""40"", ""99"", ""47"", ""57"", ""92"", ""78"", ""106""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 2, ""degree_9_plus"": 27}","{""0"": 11, ""1"": 5, ""2"": 10, ""3"": 6}",1.0,1.0,0.0,1,1,0,1,69,2,138,0,0.0,108.32117774611983,0.0,0.0003076923076923077
realworld_completed,ia_radoslaw_email,SASB-random,random,20260513,1,early,106--162,292,b9fe6c3e20b18b0d9a5bfb85767b8e4b140493e9e2a3d527c759177f2b4b4061,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""115"", ""5"", ""48"", ""165"", ""133"", ""132"", ""6"", ""162"", ""91"", ""131"", ""124"", ""67"", ""125"", ""11"", ""149"", ""85"", ""154"", ""114"", ""118"", ""98"", ""33"", ""120"", ""107"", ""150"", ""105"", ""15"", ""14"", ""94"", ""143"", ""109"", ""76"", ""31""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_9_plus"": 29}","{""0"": 7, ""1"": 11, ""2"": 9, ""3"": 5}",1.0,1.0,0.0,1,1,0,1,136,23,3128,22,1.0,81.68655760871748,0.0003076923076923077,0.0006153846153846154
realworld_completed,ia_radoslaw_email,SASB-random,random,20260513,2,early,106--158,292,7363a6e753df2edf4dcf1b27f96d9022fe10d4c9eab3438bb2d1bcd90405723a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""97"", ""63"", ""23"", ""109"", ""110"", ""158"", ""80"", ""8"", ""55"", ""119"", ""88"", ""144"", ""143"", ""28"", ""58"", ""120"", ""12"", ""44"", ""108"", ""0"", ""164"", ""133"", ""159"", ""60"", ""112"", ""114"", ""111"", ""165"", ""155"", ""134"", ""4"", ""61""]","{""uniform_random"": 32}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_9_plus"": 28}","{""0"": 12, ""1"": 12, ""2"": 5, ""3"": 3}",1.0,1.0,0.0,1,1,0,1,135,14,1890,13,1.0,158.2724385857198,0.0006153846153846154,0.0009230769230769231
realworld_completed,ia_radoslaw_email,SASB-random,random,20260513,3,early,46--98,292,abcabf5d7fceb22b8f6214267f7b9e4854cb9b4e6bcea8d63dba7162e7f10b2d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""154"", ""116"", ""48"", ""92"", ""150"", ""123"", ""71"", ""29"", ""105"", ""143"", ""80"", ""38"", ""96"", ""59"", ""46"", ""157"", ""156"", ""109"", ""50"", ""98"", ""88"", ""106"", ""5"", ""145"", ""36"", ""103"", ""90"", ""127"", ""54"", ""108"", ""9"", ""10""]","{""uniform_random"": 32}","{""degree_0_1"": 5, ""degree_3_4"": 1, ""degree_9_plus"": 26}","{""0"": 8, ""1"": 14, ""2"": 6, ""3"": 4}",1.0,1.0,0.0,1,1,0,1,64,139,8896,62,0.9841269841269841,79.35964521132324,0.0009230769230769231,0.0012307692307692308
realworld_completed,ia_radoslaw_email,SASB-random,random,20260513,4,early,25--98,292,e8416b52ad678bae0f89eddc1be77484c36d36a17653db8f61d31bd8bf4c2955,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""91"", ""123"", ""104"", ""28"", ""60"", ""9"", ""27"", ""151"", ""71"", ""124"", ""92"", ""111"", ""117"", ""17"", ""10"", ""96"", ""157"", ""62"", ""113"", ""47"", ""161"", ""98"", ""89"", ""25"", ""122"", ""99"", ""54"", ""81"", ""128"", ""130"", ""19"", ""121""]","{""uniform_random"": 32}","{""degree_0_1"": 5, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 25}","{""0"": 9, ""1"": 11, ""2"": 9, ""3"": 3}",1.0,1.0,0.0,1,1,0,1,20,138,2760,19,1.0,117.86423533703137,0.0012307692307692308,0.0015384615384615385
realworld_completed,ia_radoslaw_email,SASB-random,random,20260513,5,early,46--97,292,1b76cd2601d0c3464464441e7c4dd86ffda10732bbbe877c9a193306837fa3f4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""40"", ""54"", ""128"", ""159"", ""140"", ""80"", ""46"", ""124"", ""149"", ""99"", ""0"", ""143"", ""62"", ""75"", ""30"", ""56"", ""154"", ""146"", ""91"", ""27"", ""166"", ""121"", ""47"", ""85"", ""88"", ""21"", ""59"", ""42"", ""23"", ""163"", ""14"", ""39""]","{""uniform_random"": 32}","{""degree_0_1"": 7, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 22}","{""0"": 11, ""1"": 11, ""2"": 7, ""3"": 3}",1.0,1.0,0.0,1,1,0,1,63,136,8568,61,0.9838709677419355,72.60210570763688,0.0015384615384615385,0.0018461538461538461
realworld_completed,ia_radoslaw_email,SASB-random,random,20260513,6,early,25--97,292,9e07490d91f44e4b130c716448006a4d6816e5996112d4bd478378bd749a307b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""41"", ""82"", ""125"", ""119"", ""136"", ""153"", ""62"", ""15"", ""29"", ""94"", ""156"", ""76"", ""46"", ""56"", ""104"", ""2"", ""81"", ""144"", ""166"", ""53"", ""25"", ""143"", ""17"", ""40"", ""159"", ""95"", ""37"", ""48"", ""113"", ""14"", ""19"", ""138""]","{""uniform_random"": 32}","{""degree_0_1"": 4, ""degree_3_4"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 24}","{""0"": 12, ""1"": 9, ""2"": 6, ""3"": 5}",1.0,1.0,0.0,1,1,0,1,19,135,2565,18,1.0,130.5684329540302,0.0018461538461538461,0.0021538461538461538
realworld_completed,ia_radoslaw_email,SASB-random,random,20260513,7,early,43--98,292,88b94d6b0a723530d5abc250b586208af56d27bef79eb720528b2b453c563bb5,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""11"", ""43"", ""109"", ""128"", ""159"", ""54"", ""119"", ""59"", ""127"", ""15"", ""124"", ""5"", ""158"", ""137"", ""70"", ""108"", ""97"", ""99"", ""81"", ""41"", ""35"", ""0"", ""14"", ""45"", ""153"", ""7"", ""93"", ""148"", ""129"", ""68"", ""106"", ""64""]","{""uniform_random"": 32}","{""degree_0_1"": 5, ""degree_3_4"": 1, ""degree_9_plus"": 26}","{""0"": 10, ""1"": 6, ""2"": 9, ""3"": 7}",1.0,1.0,0.0,1,1,0,0,4,137,548,3,1.0,391.0707589285715,0.0021538461538461538,0.0024615384615384616
realworld_completed,ia_radoslaw_email,SASB-random,random,20260513,8,early,0--25,292,bdbd04220605a12452a658ccbfe430ce42654e613f4dbbb8186dfffa9c44e0f3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""15"", ""56"", ""141"", ""7"", ""10"", ""45"", ""129"", ""146"", ""91"", ""145"", ""3"", ""113"", ""55"", ""2"", ""25"", ""151"", ""74"", ""119"", ""126"", ""157"", ""80"", ""44"", ""111"", ""155"", ""50"", ""59"", ""62"", ""114"", ""29"", ""148"", ""65"", ""5""]","{""uniform_random"": 32}","{""degree_0_1"": 7, ""degree_2"": 1, ""degree_9_plus"": 24}","{""0"": 9, ""1"": 7, ""2"": 13, ""3"": 3}",1.0,1.0,0.0,1,1,0,1,130,18,2340,17,1.0,117.92820778333189,0.0024615384615384616,0.002769230769230769
realworld_completed,ia_radoslaw_email,SASB-random,random,20260513,9,early,0--162,292,919a6be089970ae5d4cb255f3942f0d1a9db4c5421f36ccd891353e0f7968b41,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""143"", ""137"", ""5"", ""51"", ""47"", ""68"", ""99"", ""93"", ""144"", ""88"", ""65"", ""46"", ""13"", ""101"", ""73"", ""142"", ""42"", ""109"", ""123"", ""75"", ""25"", ""135"", ""23"", ""15"", ""162"", ""156"", ""29"", ""91"", ""80"", ""27"", ""71"", ""95""]","{""uniform_random"": 32}","{""degree_0_1"": 7, ""degree_9_plus"": 25}","{""0"": 5, ""1"": 11, ""2"": 7, ""3"": 9}",1.0,1.0,0.0,1,1,0,1,129,22,2838,20,0.9523809523809523,74.72600280514035,0.002769230769230769,0.003076923076923077
