dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,ca_netscience,SASB-matched,matched,20260513,0,early,168--373,180,15b4dcb2f7181514e3886d4b3a59e4d8c5aa6b2ac0ea455c9029106fae93837d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""318"", ""312"", ""24"", ""326"", ""363"", ""46"", ""57"", ""325"", ""126"", ""246"", ""212"", ""365"", ""223"", ""22"", ""147"", ""36"", ""77"", ""68"", ""135"", ""342"", ""128"", ""340"", ""8"", ""362"", ""189"", ""30"", ""370"", ""67"", ""280"", ""305"", ""188"", ""42""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_3_4"": 3, ""degree_5_8"": 5, ""degree_9_plus"": 24}","{""0"": 6, ""1"": 2, ""10"": 2, ""12"": 4, ""13"": 2, ""15"": 5, ""16"": 1, ""17"": 6, ""2"": 1, ""3"": 1, ""4"": 2}",1.0,1.0,0.0,1,1,0,1,27,17,459,0,0.0,33961.26569055944,0.0,0.0010940919037199124
realworld_completed,ca_netscience,SASB-matched,matched,20260513,1,early,147--168,180,5a98b4b4413e93d1617c2b0e0c3796fdeb1dcc6c1ccfc2087ca053e8dc193cfe,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""24"", ""152"", ""212"", ""363"", ""318"", ""223"", ""0"", ""77"", ""128"", ""235"", ""325"", ""312"", ""313"", ""126"", ""340"", ""40"", ""246"", ""68"", ""146"", ""22"", ""345"", ""378"", ""346"", ""360"", ""189"", ""31"", ""26"", ""79"", ""333"", ""240"", ""329"", ""368""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 24}","{""0"": 5, ""1"": 1, ""10"": 2, ""12"": 2, ""13"": 1, ""15"": 6, ""16"": 3, ""17"": 5, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 1, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,14,26,364,2,0.15384615384615385,36245.792243629905,0.0010940919037199124,0.002188183807439825
realworld_completed,ca_netscience,SASB-matched,matched,20260513,2,early,317--341,180,2cb87db115af99fdbd10a58cdb982d6c8324617eca3a5c7a9c71a14cd955c7cf,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""46"", ""235"", ""152"", ""363"", ""24"", ""0"", ""77"", ""326"", ""227"", ""325"", ""212"", ""113"", ""313"", ""344"", ""135"", ""36"", ""246"", ""68"", ""146"", ""22"", ""126"", ""340"", ""362"", ""360"", ""189"", ""31"", ""3"", ""10"", ""328"", ""292"", ""271"", ""324""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 24}","{""0"": 4, ""1"": 1, ""10"": 3, ""11"": 1, ""12"": 3, ""13"": 1, ""15"": 4, ""16"": 1, ""17"": 6, ""2"": 1, ""3"": 4, ""4"": 1, ""5"": 1, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,4,6,24,0,0.0,31560.23368246337,0.002188183807439825,0.0032822757111597373
realworld_completed,ca_netscience,SASB-matched,matched,20260513,3,early,147--313,180,91668fd1951809c6e48ba569dfe52abf249ac47d9cbf5ce84c857972f7b5b25f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""57"", ""212"", ""312"", ""362"", ""0"", ""24"", ""235"", ""36"", ""345"", ""325"", ""246"", ""318"", ""313"", ""128"", ""227"", ""40"", ""77"", ""68"", ""146"", ""126"", ""342"", ""340"", ""113"", ""8"", ""189"", ""30"", ""343"", ""372"", ""83"", ""16"", ""106"", ""79""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_3_4"": 2, ""degree_5_8"": 5, ""degree_9_plus"": 25}","{""0"": 5, ""1"": 3, ""10"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""15"": 6, ""16"": 2, ""17"": 5, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 1}",1.0,1.0,0.0,1,1,0,1,13,27,351,4,0.3333333333333333,52406.352802115165,0.0032822757111597373,0.00437636761487965
realworld_completed,ca_netscience,SASB-matched,matched,20260513,4,early,147--148,180,82f7908fdfbb57bd160a05f08baad9a4ae3724b58e913c3a8001c51a04731e74,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""223"", ""78"", ""360"", ""57"", ""313"", ""312"", ""326"", ""235"", ""22"", ""212"", ""246"", ""340"", ""0"", ""342"", ""315"", ""36"", ""77"", ""68"", ""135"", ""344"", ""126"", ""147"", ""146"", ""363"", ""189"", ""30"", ""125"", ""4"", ""361"", ""127"", ""110"", ""318""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_5_8"": 7, ""degree_9_plus"": 25}","{""0"": 5, ""1"": 1, ""10"": 1, ""12"": 3, ""13"": 1, ""15"": 6, ""16"": 2, ""17"": 6, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 1, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,12,5,60,1,0.25,36034.60937499999,0.00437636761487965,0.005470459518599562
realworld_completed,ca_netscience,SASB-matched,matched,20260513,5,early,147--149,180,458a34de058a97b45dcd900393ac85dfdb46d34e5328592a851680491a59f265,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""223"", ""78"", ""360"", ""313"", ""0"", ""325"", ""326"", ""227"", ""235"", ""212"", ""345"", ""113"", ""24"", ""128"", ""46"", ""40"", ""77"", ""68"", ""135"", ""342"", ""344"", ""340"", ""346"", ""152"", ""363"", ""189"", ""30"", ""17"", ""292"", ""372"", ""57"", ""145""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 26}","{""0"": 6, ""1"": 2, ""10"": 2, ""11"": 2, ""12"": 2, ""13"": 1, ""15"": 5, ""16"": 1, ""17"": 6, ""2"": 1, ""3"": 3, ""4"": 1}",1.0,0.5277044854881267,0.47229551451187335,1,2,1,1,11,5,55,0,0.0,72069.21874999999,0.005470459518599562,0.006564551422319475
realworld_completed,ca_netscience,SASB-matched,matched,20260513,6,early,168--346,118,28f2a5708ea643a92775758887fda2bef591534f0b342b7d28c29aef302d903b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""24"", ""318"", ""57"", ""346"", ""313"", ""40"", ""16"", ""46"", ""79"", ""152"", ""312"", ""68"", ""223"", ""340"", ""8"", ""360"", ""362"", ""0"", ""363"", ""147"", ""365"", ""114"", ""228"", ""31"", ""163"", ""96"", ""301"", ""284"", ""367"", ""275"", ""234"", ""286""]","{""matched_boundary"": 12, ""matched_community_rep"": 5, ""matched_degree_core"": 10, ""matched_random_fill"": 5}","{""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 6, ""degree_9_plus"": 21}","{""0"": 7, ""1"": 2, ""10"": 1, ""11"": 1, ""12"": 4, ""13"": 5, ""2"": 3, ""3"": 1, ""5"": 1, ""7"": 3, ""9"": 4}",0.5277044854881267,0.5277044854881267,0.0,2,2,0,1,25,12,300,0,0.0,6230.041511394306,0.006564551422319475,0.007658643326039387
realworld_completed,ca_netscience,SASB-matched,matched,20260513,7,early,0--313,118,64e1671ca8b34d3e5631a202c1bcbbcd6b80030c54b245d5b09063c27292ebd7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""46"", ""57"", ""36"", ""360"", ""24"", ""40"", ""318"", ""176"", ""313"", ""152"", ""147"", ""68"", ""0"", ""16"", ""363"", ""362"", ""8"", ""223"", ""168"", ""346"", ""365"", ""312"", ""228"", ""30"", ""94"", ""96"", ""154"", ""102"", ""54"", ""319"", ""172"", ""81""]","{""matched_boundary"": 12, ""matched_community_rep"": 5, ""matched_degree_core"": 10, ""matched_random_fill"": 5}","{""degree_2"": 3, ""degree_3_4"": 1, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 8, ""1"": 2, ""11"": 2, ""12"": 4, ""13"": 5, ""2"": 1, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1, ""9"": 3}",0.5277044854881267,0.5277044854881267,0.0,2,2,0,0,10,26,260,4,0.4444444444444444,8214.119024091848,0.007658643326039387,0.0087527352297593
realworld_completed,ca_netscience,SASB-matched,matched,20260513,8,early,152--313,118,40cdc85e8b4b201fcf485dbf03d916f9eefe9ba6b8343d84679c6aff9dfac595,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""46"", ""24"", ""362"", ""152"", ""318"", ""40"", ""223"", ""79"", ""114"", ""312"", ""147"", ""57"", ""0"", ""68"", ""363"", ""360"", ""8"", ""313"", ""16"", ""346"", ""365"", ""36"", ""228"", ""30"", ""18"", ""94"", ""90"", ""220"", ""39"", ""156"", ""239"", ""59""]","{""matched_boundary"": 12, ""matched_community_rep"": 5, ""matched_degree_core"": 10, ""matched_random_fill"": 5}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 8, ""degree_9_plus"": 21}","{""0"": 10, ""1"": 1, ""11"": 1, ""12"": 4, ""13"": 5, ""2"": 1, ""3"": 2, ""5"": 1, ""7"": 4, ""9"": 3}",0.5277044854881267,0.5277044854881267,0.0,2,2,0,1,10,25,250,2,0.2222222222222222,8011.955288863183,0.0087527352297593,0.009846827133479213
realworld_completed,ca_netscience,SASB-matched,matched,20260513,9,early,0--16,118,40ad513b6cc12eb16f33c507dd6be602b3400f1de3decae0e5d460ece7d888a5,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""24"", ""318"", ""40"", ""168"", ""57"", ""346"", ""313"", ""117"", ""0"", ""152"", ""360"", ""46"", ""223"", ""68"", ""8"", ""362"", ""363"", ""36"", ""312"", ""147"", ""365"", ""16"", ""228"", ""31"", ""181"", ""94"", ""103"", ""219"", ""334"", ""218"", ""317"", ""155""]","{""matched_boundary"": 12, ""matched_community_rep"": 5, ""matched_degree_core"": 10, ""matched_random_fill"": 5}","{""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 8, ""1"": 1, ""11"": 2, ""12"": 4, ""13"": 6, ""2"": 2, ""3"": 1, ""5"": 1, ""7"": 2, ""8"": 3, ""9"": 2}",0.5277044854881267,0.5277044854881267,0.0,2,2,0,1,9,15,135,2,0.25,8158.7972485031305,0.009846827133479213,0.010940919037199124
realworld_completed,ca_netscience,SASB-matched,matched,20260513,10,early,0--36,118,b507374214a73a7ea37966bac06501755cf510d2d3fcfe56ce6cc166abb5e786,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""57"", ""318"", ""362"", ""16"", ""223"", ""117"", ""40"", ""114"", ""312"", ""168"", ""46"", ""152"", ""24"", ""68"", ""8"", ""360"", ""363"", ""313"", ""147"", ""346"", ""365"", ""340"", ""228"", ""30"", ""162"", ""96"", ""220"", ""181"", ""283"", ""72"", ""63"", ""1""]","{""matched_boundary"": 12, ""matched_community_rep"": 5, ""matched_degree_core"": 10, ""matched_random_fill"": 5}","{""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 8, ""1"": 1, ""10"": 1, ""11"": 1, ""12"": 3, ""13"": 6, ""2"": 1, ""5"": 1, ""7"": 5, ""8"": 2, ""9"": 3}",0.5277044854881267,0.5277044854881267,0.0,2,2,0,0,8,12,96,1,0.14285714285714285,7663.925070580209,0.010940919037199124,0.012035010940919038
