dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,rt_retweet,SASB-matched,matched,20260513,0,early,49--92,64,0a5ac2e45c5ade101a7bccbbda86b38fefebff33f7af1cb9286b60e6b209914f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""39"", ""49"", ""69"", ""59"", ""0"", ""34"", ""46"", ""67"", ""51"", ""78"", ""14"", ""92"", ""45"", ""20"", ""22"", ""72"", ""60"", ""21"", ""24"", ""35"", ""42"", ""71"", ""90"", ""6"", ""57"", ""4"", ""19"", ""47"", ""70"", ""32"", ""89"", ""17""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 8, ""degree_2"": 2, ""degree_3_4"": 11, ""degree_5_8"": 8, ""degree_9_plus"": 3}","{""0"": 5, ""1"": 3, ""2"": 3, ""3"": 6, ""4"": 4, ""5"": 4, ""6"": 6, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,17,8,136,0,0.0,1606.5,0.0,0.008547008547008548
realworld_completed,rt_retweet,SASB-matched,matched,20260513,1,early,69--92,64,781bc8ab5fed973e8cb5dcc961ddc3dafdf4848ae1cbf7ac18725e44a624314e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""87"", ""49"", ""69"", ""39"", ""0"", ""46"", ""20"", ""67"", ""51"", ""78"", ""60"", ""92"", ""45"", ""48"", ""34"", ""72"", ""24"", ""14"", ""2"", ""35"", ""21"", ""71"", ""90"", ""66"", ""9"", ""70"", ""37"", ""88"", ""4"", ""91"", ""74"", ""54""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 7, ""degree_2"": 3, ""degree_3_4"": 9, ""degree_5_8"": 9, ""degree_9_plus"": 4}","{""0"": 5, ""1"": 5, ""2"": 3, ""3"": 5, ""4"": 4, ""5"": 4, ""6"": 6}",1.0,1.0,0.0,1,1,0,1,9,7,63,0,0.0,1964.2714285714283,0.008547008547008548,0.017094017094017096
realworld_completed,rt_retweet,SASB-matched,matched,20260513,2,early,20--67,64,49be207d62f896de50bcd698c9823043fe65fe1756f45ffeea5083094cab8f90,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""87"", ""49"", ""39"", ""0"", ""46"", ""69"", ""67"", ""51"", ""78"", ""60"", ""20"", ""34"", ""45"", ""92"", ""21"", ""72"", ""24"", ""14"", ""2"", ""35"", ""44"", ""71"", ""1"", ""83"", ""57"", ""23"", ""4"", ""26"", ""17"", ""18"", ""12"", ""95""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 8, ""degree_2"": 1, ""degree_3_4"": 11, ""degree_5_8"": 9, ""degree_9_plus"": 3}","{""0"": 6, ""1"": 4, ""2"": 4, ""3"": 4, ""4"": 5, ""5"": 4, ""6"": 3, ""7"": 2}",1.0,0.7916666666666666,0.20833333333333337,1,2,1,1,5,8,40,0,0.0,2928.0,0.017094017094017096,0.02564102564102564
realworld_completed,rt_retweet,SASB-matched,matched,20260513,3,early,39--45,64,f67538133e4d371b0007722ae7cf45bb847bef241746cc08f4d59999b7ac35d0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""39"", ""49"", ""87"", ""46"", ""69"", ""45"", ""67"", ""51"", ""94"", ""60"", ""57"", ""44"", ""48"", ""0"", ""14"", ""2"", ""35"", ""21"", ""71"", ""72"", ""78"", ""24"", ""23"", ""81"", ""9"", ""52"", ""66"", ""18"", ""68"", ""43"", ""65"", ""56""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 9, ""degree_2"": 1, ""degree_3_4"": 12, ""degree_5_8"": 7, ""degree_9_plus"": 3}","{""0"": 5, ""1"": 6, ""2"": 3, ""3"": 3, ""4"": 4, ""5"": 4, ""6"": 7}",0.7916666666666666,0.7916666666666666,0.0,2,2,0,1,11,5,55,0,0.0,1255.8095238095239,0.02564102564102564,0.03418803418803419
realworld_completed,rt_retweet,SASB-matched,matched,20260513,4,early,46--49,64,169b4436174c6381da602bdda501e25d14a836e83889d66371627bd954aa912e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""87"", ""49"", ""46"", ""37"", ""69"", ""0"", ""51"", ""94"", ""60"", ""57"", ""72"", ""44"", ""67"", ""64"", ""14"", ""2"", ""35"", ""21"", ""24"", ""71"", ""78"", ""45"", ""22"", ""23"", ""41"", ""28"", ""38"", ""36"", ""50"", ""18"", ""19"", ""52""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 10, ""degree_2"": 2, ""degree_3_4"": 13, ""degree_5_8"": 5, ""degree_9_plus"": 2}","{""0"": 7, ""1"": 6, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 3, ""6"": 7}",0.7916666666666666,0.7916666666666666,0.0,2,2,0,1,5,16,80,0,0.0,1236.1479166666668,0.03418803418803419,0.042735042735042736
realworld_completed,rt_retweet,SASB-matched,matched,20260513,5,early,51--69,64,d35d7bf3a5433298c38905b24d249d84f32c7b2caa48ada68a9353cc68dbb588,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""39"", ""49"", ""51"", ""87"", ""69"", ""0"", ""94"", ""14"", ""57"", ""44"", ""24"", ""35"", ""67"", ""64"", ""21"", ""2"", ""71"", ""60"", ""72"", ""45"", ""46"", ""78"", ""28"", ""74"", ""79"", ""23"", ""55"", ""58"", ""22"", ""19"", ""84"", ""50""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 9, ""degree_2"": 2, ""degree_3_4"": 14, ""degree_5_8"": 4, ""degree_9_plus"": 3}","{""0"": 5, ""1"": 7, ""2"": 2, ""3"": 4, ""4"": 4, ""5"": 3, ""6"": 7}",0.7916666666666666,0.7916666666666666,0.0,2,2,0,0,8,8,64,1,0.14285714285714285,1490.4312500000005,0.042735042735042736,0.05128205128205128
realworld_completed,rt_retweet,SASB-matched,matched,20260513,6,early,46--69,64,e238ffb629f7a2b456ce1adbc0b5985fc2bd7480e6b67b7a6dccce0c320fd6f1,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""39"", ""49"", ""51"", ""87"", ""69"", ""0"", ""94"", ""60"", ""57"", ""44"", ""71"", ""24"", ""67"", ""52"", ""14"", ""2"", ""35"", ""21"", ""72"", ""46"", ""78"", ""45"", ""58"", ""5"", ""55"", ""47"", ""15"", ""40"", ""86"", ""84"", ""65"", ""89""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 10, ""degree_2"": 1, ""degree_3_4"": 14, ""degree_5_8"": 4, ""degree_9_plus"": 3}","{""0"": 5, ""1"": 5, ""2"": 3, ""3"": 5, ""4"": 7, ""5"": 3, ""6"": 4}",0.7916666666666666,0.7916666666666666,0.0,2,2,0,1,4,7,28,0,0.0,1942.3918650793648,0.05128205128205128,0.05982905982905983
realworld_completed,rt_retweet,SASB-matched,matched,20260513,7,early,35--62,64,4133fcc8b7da483792865e3c2d521cd34ff3d23d0dafd83068f4000030d023d9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""87"", ""39"", ""51"", ""49"", ""69"", ""0"", ""94"", ""14"", ""57"", ""44"", ""71"", ""21"", ""67"", ""64"", ""24"", ""35"", ""60"", ""78"", ""2"", ""72"", ""45"", ""46"", ""43"", ""84"", ""5"", ""36"", ""93"", ""18"", ""66"", ""89"", ""16"", ""40""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 8, ""degree_2"": 3, ""degree_3_4"": 14, ""degree_5_8"": 4, ""degree_9_plus"": 3}","{""0"": 6, ""1"": 5, ""2"": 4, ""3"": 5, ""4"": 3, ""5"": 3, ""6"": 6}",0.7916666666666666,0.53125,0.26041666666666663,2,3,1,0,4,2,8,0,0.0,2455.75,0.05982905982905983,0.06837606837606838
realworld_completed,rt_retweet,SASB-matched,matched,20260513,8,early,60--87,61,616b7926afe4e3a71db28f739c7c4d85b25fb4b94e74c40441c3d2f6d87bd31a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""87"", ""49"", ""0"", ""67"", ""35"", ""94"", ""57"", ""69"", ""60"", ""44"", ""21"", ""14"", ""78"", ""45"", ""56"", ""5"", ""32"", ""64"", ""61"", ""79"", ""66"", ""31"", ""90"", ""86"", ""59"", ""22"", ""19"", ""38"", ""9"", ""41"", ""30"", ""82""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 10, ""degree_2"": 8, ""degree_3_4"": 9, ""degree_5_8"": 3, ""degree_9_plus"": 2}","{""0"": 7, ""1"": 4, ""2"": 5, ""3"": 3, ""4"": 5, ""5"": 3, ""6"": 5}",0.53125,0.53125,0.0,3,3,0,1,4,9,36,0,0.0,677.875,0.06837606837606838,0.07692307692307693
realworld_completed,rt_retweet,SASB-matched,matched,20260513,9,early,21--64,60,be3b4fbba18f0b452f64888bb80a0bd37bb09acc85279c8c4791891b229e1e19,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""89"", ""48"", ""0"", ""87"", ""94"", ""78"", ""57"", ""67"", ""69"", ""21"", ""14"", ""44"", ""35"", ""45"", ""60"", ""61"", ""66"", ""5"", ""32"", ""64"", ""10"", ""79"", ""40"", ""23"", ""38"", ""41"", ""59"", ""30"", ""91"", ""83"", ""80"", ""65""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 11, ""degree_2"": 7, ""degree_3_4"": 9, ""degree_5_8"": 5}","{""0"": 7, ""1"": 4, ""2"": 4, ""3"": 3, ""4"": 4, ""5"": 6, ""6"": 4}",0.53125,0.53125,0.0,3,3,0,0,3,2,6,0,0.0,749.3281249999999,0.07692307692307693,0.08547008547008547
