dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,football,SASB-structured,structured,20260513,0,early,102--103,118,9c7933bde65b54a308ed6a846a53130d7b85a6a3429fb5052e99b2eddf8f83a0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""94"", ""96"", ""69"", ""81"", ""32"", ""112"", ""45"", ""0"", ""1"", ""102"", ""22"", ""27"", ""38"", ""60"", ""64"", ""7"", ""71"", ""79"", ""82"", ""100"", ""101"", ""103"", ""83"", ""73"", ""78"", ""92"", ""104"", ""35"", ""20"", ""66"", ""12"", ""39""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 3, ""2"": 5, ""3"": 5, ""4"": 5, ""5"": 2, ""6"": 4, ""7"": 2, ""8"": 3, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,12,11,132,0,0.0,299.1161346407431,0.0,0.0016313213703099511
realworld_completed,football,SASB-structured,structured,20260513,1,early,28--29,118,ea70504bfa3ee8993202b085742aa9be2543356647b1f0cd4693a7f87085009e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""94"", ""96"", ""69"", ""81"", ""32"", ""112"", ""45"", ""0"", ""1"", ""22"", ""27"", ""38"", ""60"", ""64"", ""7"", ""71"", ""79"", ""82"", ""100"", ""101"", ""102"", ""104"", ""83"", ""73"", ""78"", ""35"", ""90"", ""46"", ""21"", ""58"", ""62"", ""53""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 3, ""1"": 2, ""2"": 2, ""3"": 5, ""4"": 5, ""5"": 3, ""6"": 3, ""7"": 2, ""8"": 3, ""9"": 4}",1.0,1.0,0.0,1,1,0,1,11,11,121,0,0.0,244.1843133409459,0.0016313213703099511,0.0032626427406199023
realworld_completed,football,SASB-structured,structured,20260513,2,early,4--69,118,199711c04c7fe40023275b5a3a019ac055c12d3bc10c3dd7d7d972d5ad81ad4c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""94"", ""96"", ""69"", ""81"", ""32"", ""112"", ""45"", ""0"", ""1"", ""22"", ""27"", ""38"", ""60"", ""64"", ""7"", ""71"", ""79"", ""82"", ""100"", ""101"", ""102"", ""104"", ""83"", ""73"", ""78"", ""4"", ""93"", ""62"", ""95"", ""65"", ""24"", ""59""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 3, ""1"": 1, ""2"": 3, ""3"": 5, ""4"": 5, ""5"": 2, ""6"": 3, ""7"": 3, ""8"": 4, ""9"": 3}",1.0,1.0,0.0,1,1,0,1,10,10,100,0,0.0,310.82007976709144,0.0032626427406199023,0.004893964110929853
realworld_completed,football,SASB-structured,structured,20260513,3,early,69--71,118,11e26bd85da9dc15a62ef285e41eef9f9c3a29a6564d0e86a2a1177b69078bea,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""94"", ""96"", ""81"", ""32"", ""69"", ""112"", ""45"", ""0"", ""1"", ""22"", ""27"", ""38"", ""60"", ""64"", ""7"", ""71"", ""79"", ""82"", ""100"", ""101"", ""102"", ""104"", ""83"", ""73"", ""78"", ""50"", ""28"", ""76"", ""20"", ""4"", ""56"", ""58""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 1, ""2"": 3, ""3"": 5, ""4"": 5, ""5"": 3, ""6"": 5, ""7"": 3, ""8"": 4, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,9,12,108,0,0.0,270.6397043628001,0.004893964110929853,0.0065252854812398045
realworld_completed,football,SASB-structured,structured,20260513,4,early,81--83,118,c526d9286e59830df33839494c18a720222f77a454b8da5f20a27c1a37b007ed,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""94"", ""96"", ""81"", ""32"", ""112"", ""45"", ""0"", ""1"", ""22"", ""27"", ""38"", ""60"", ""64"", ""7"", ""79"", ""82"", ""100"", ""101"", ""102"", ""104"", ""106"", ""107"", ""83"", ""73"", ""78"", ""56"", ""76"", ""52"", ""110"", ""23"", ""68"", ""31""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_5_8"": 3, ""degree_9_plus"": 29}","{""0"": 1, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 7, ""5"": 5, ""6"": 3, ""7"": 2, ""8"": 4, ""9"": 3}",1.0,1.0,0.0,1,1,0,1,11,11,121,1,0.1,237.07556969004892,0.0065252854812398045,0.008156606851549755
realworld_completed,football,SASB-structured,structured,20260513,5,early,33--64,117,c887ef3169890a00787cfa1f819bded5a65302e323c62b2e4759ae7c538d50a4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""94"", ""96"", ""32"", ""112"", ""45"", ""0"", ""1"", ""22"", ""27"", ""38"", ""60"", ""64"", ""7"", ""79"", ""82"", ""100"", ""101"", ""102"", ""104"", ""106"", ""107"", ""113"", ""74"", ""73"", ""78"", ""6"", ""26"", ""9"", ""18"", ""109"", ""88"", ""81""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 2, ""2"": 4, ""3"": 3, ""4"": 5, ""5"": 5, ""6"": 3, ""7"": 3, ""8"": 4, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,11,12,132,0,0.0,229.76626498071286,0.008156606851549755,0.009787928221859706
realworld_completed,football,SASB-structured,structured,20260513,6,early,34--38,117,de248f725a7e79d84227c91b307a8494115850ffa921be2bdb1861631d11c732,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""94"", ""96"", ""32"", ""112"", ""45"", ""0"", ""1"", ""22"", ""27"", ""38"", ""60"", ""7"", ""79"", ""82"", ""100"", ""101"", ""102"", ""104"", ""106"", ""107"", ""113"", ""12"", ""74"", ""73"", ""78"", ""21"", ""35"", ""99"", ""17"", ""43"", ""59"", ""62""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 4, ""6"": 2, ""7"": 3, ""8"": 3, ""9"": 5}",1.0,1.0,0.0,1,1,0,1,10,12,120,0,0.0,261.33257647437097,0.009787928221859706,0.011419249592169658
realworld_completed,football,SASB-structured,structured,20260513,7,early,14--94,117,3a8257634418558c6338c0f1f49e1d45c419a9a7ac374943a30f05b6ad25f61f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""94"", ""96"", ""32"", ""112"", ""45"", ""0"", ""1"", ""22"", ""27"", ""60"", ""7"", ""79"", ""82"", ""100"", ""101"", ""102"", ""104"", ""106"", ""107"", ""113"", ""12"", ""14"", ""74"", ""73"", ""78"", ""84"", ""92"", ""55"", ""42"", ""80"", ""65"", ""62""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 3, ""1"": 4, ""2"": 3, ""3"": 3, ""4"": 4, ""5"": 4, ""6"": 2, ""7"": 2, ""8"": 3, ""9"": 4}",1.0,1.0,0.0,1,1,0,1,11,11,121,0,0.0,289.87873280633204,0.011419249592169658,0.013050570962479609
realworld_completed,football,SASB-structured,structured,20260513,8,early,0--44,117,493de0928fdd632b88ada7d68df50173f6332e0c923f72d31914be49e59c2e5d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""94"", ""32"", ""112"", ""45"", ""0"", ""1"", ""22"", ""27"", ""60"", ""7"", ""79"", ""82"", ""100"", ""101"", ""102"", ""104"", ""106"", ""107"", ""113"", ""12"", ""15"", ""74"", ""73"", ""78"", ""43"", ""66"", ""20"", ""95"", ""75"", ""44"", ""13""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 2, ""1"": 2, ""2"": 4, ""3"": 4, ""4"": 5, ""5"": 4, ""6"": 3, ""7"": 3, ""8"": 2, ""9"": 3}",1.0,1.0,0.0,1,1,0,1,12,11,132,0,0.0,318.30510981809687,0.013050570962479609,0.01468189233278956
realworld_completed,football,SASB-structured,structured,20260513,9,early,23--47,117,427635aa2e6fb96883e9bc2d0c97e0e186e614f2ce3b67d9ce4c53892501767b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""96"", ""94"", ""32"", ""112"", ""45"", ""1"", ""22"", ""27"", ""60"", ""7"", ""79"", ""82"", ""0"", ""100"", ""101"", ""102"", ""104"", ""106"", ""107"", ""113"", ""12"", ""15"", ""74"", ""73"", ""78"", ""65"", ""95"", ""108"", ""21"", ""70"", ""39"", ""53""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_5_8"": 3, ""degree_9_plus"": 29}","{""0"": 2, ""1"": 2, ""2"": 3, ""3"": 4, ""4"": 5, ""5"": 4, ""6"": 2, ""7"": 3, ""8"": 2, ""9"": 5}",1.0,1.0,0.0,1,1,0,1,11,11,121,0,0.0,263.7067406160148,0.01468189233278956,0.01631321370309951
