dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,inf_euroroad,SASB-structured,structured,20260513,0,early,428--429,251,800977fb2c431f5973b6a9c8768cd89863e828efec88b5c469e4c6231adcfdd9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""427"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""309"", ""940"", ""899"", ""78""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 4, ""degree_3_4"": 1, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""16"": 5, ""2"": 2, ""20"": 2, ""21"": 2, ""22"": 2, ""23"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 1, ""7"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,4,4,16,0,0.0,201873.99139343784,0.0,0.0007662835249042146
realworld_completed,inf_euroroad,SASB-structured,structured,20260513,1,early,286--427,251,a3ab7ef292c102f902d0d650489b75af8259b93415d2cb43ddd8f82bcf9e864e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""427"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""228"", ""748"", ""395"", ""528""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 6, ""17"": 1, ""2"": 2, ""20"": 2, ""21"": 2, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,5,7,35,0,0.0,239116.5099461946,0.0007662835249042146,0.0015325670498084292
realworld_completed,inf_euroroad,SASB-structured,structured,20260513,2,early,461--462,251,b71b0a163dd01b9c60d7ef2c1626e0deff5db166315c8e01d70bb0866715538c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""427"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""741"", ""990"", ""494"", ""991""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 27, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 3, ""16"": 5, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 2, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,0,4,4,16,0,0.0,302273.069103258,0.0015325670498084292,0.0022988505747126436
realworld_completed,inf_euroroad,SASB-structured,structured,20260513,3,early,21--427,251,222030ec0d9da433490c33aa8c35b6cd8c46a244d71d2555039acdb7d042b067,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""427"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""567"", ""580"", ""1004"", ""989""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 27, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 3, ""16"": 5, ""17"": 1, ""2"": 3, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,0,3,6,18,0,0.0,350331.9287766278,0.0022988505747126436,0.0030651340996168583
realworld_completed,inf_euroroad,SASB-structured,structured,20260513,4,early,765--766,251,04b161dc3d3b8b9f04fdc39d1fdc505567f8c70c8deecbc3940c2a69229a2386,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""730"", ""484"", ""1018"", ""598"", ""426""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 1, ""degree_5_8"": 27, ""degree_9_plus"": 1}","{""0"": 4, ""1"": 1, ""11"": 2, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 4, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 2, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,0,3,2,6,0,0.0,231801.56079244116,0.0030651340996168583,0.0038314176245210726
realworld_completed,inf_euroroad,SASB-structured,structured,20260513,5,early,21--461,251,4483aef386c22772ec69b23e2e24ba267e9ea2c85cd285bed15ad43074b1443c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""730"", ""339"", ""542"", ""114"", ""682""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 2, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 4, ""18"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 3, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,2,3,6,0,0.0,327507.5533586702,0.0038314176245210726,0.004597701149425287
realworld_completed,inf_euroroad,SASB-structured,structured,20260513,6,early,314--315,251,e22577f4b2470fbec9aefa5c5aa80010109da9d1736ede038dba5350f8fe881c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""315"", ""50"", ""636"", ""469"", ""312"", ""733"", ""342"", ""730"", ""897"", ""681"", ""765"", ""930""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 2, ""12"": 2, ""13"": 2, ""14"": 1, ""16"": 4, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 3, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,3,6,18,0,0.0,205781.15300983284,0.004597701149425287,0.0053639846743295016
realworld_completed,inf_euroroad,SASB-structured,structured,20260513,7,early,315--329,251,7f2fb5217708c5bf335e6e684f11d453887c2738a9ebd1168a31d1c72d999776,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""50"", ""541"", ""636"", ""315"", ""469"", ""312"", ""733"", ""342"", ""64"", ""996"", ""502"", ""196""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""16"": 4, ""2"": 2, ""20"": 3, ""21"": 1, ""22"": 3, ""23"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 2, ""7"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,0,5,4,20,0,0.0,286776.0768362669,0.0053639846743295016,0.006130268199233717
realworld_completed,inf_euroroad,SASB-structured,structured,20260513,8,early,315--323,251,52b0ef4e3e0d36e993bd3e496498eb4f0d4739c2b2b300534fcc46dee4804cc5,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""50"", ""541"", ""636"", ""934"", ""469"", ""312"", ""733"", ""342"", ""476"", ""672"", ""554"", ""982""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 1, ""11"": 1, ""12"": 2, ""13"": 1, ""14"": 1, ""16"": 4, ""17"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,0,4,3,12,0,0.0,278476.99131182337,0.006130268199233717,0.006896551724137931
realworld_completed,inf_euroroad,SASB-structured,structured,20260513,9,early,287--288,251,a0629a4535a484904dc0fad5446d0c7d8cac0ddf99bc0b2e660add695a945c37,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""637"", ""448"", ""438"", ""320"", ""270"", ""534"", ""299"", ""274"", ""276"", ""550"", ""415"", ""54"", ""170"", ""174"", ""214"", ""177"", ""213"", ""221"", ""237"", ""253"", ""50"", ""541"", ""636"", ""934"", ""469"", ""312"", ""733"", ""342"", ""467"", ""29"", ""968"", ""549""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 26, ""degree_9_plus"": 1}","{""0"": 3, ""1"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""16"": 4, ""19"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""22"": 3, ""23"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,5,2,10,0,0.0,209264.2033440255,0.006896551724137931,0.007662835249042145
