dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,ia_infect_dublin,SASB-structured,structured,20260513,0,early,194--228,317,cd79996a3fabfb57c370ea75abc904d5a8ad1370cc414328c09f0169b4aa7ca0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""64"", ""194"", ""260"", ""303"", ""54"", ""228"", ""160"", ""229"", ""0"", ""243"", ""239"", ""56"", ""131"", ""203"", ""207"", ""365"", ""123"", ""19"", ""345"", ""213"", ""388"", ""104"", ""386"", ""272"", ""122"", ""387"", ""4"", ""371"", ""90"", ""334"", ""83"", ""80""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 3, ""1"": 5, ""2"": 4, ""3"": 6, ""4"": 5, ""5"": 5, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,30,47,1410,2,0.06896551724137931,18354.647146062493,0.0,0.0003616636528028933
realworld_completed,ia_infect_dublin,SASB-structured,structured,20260513,1,early,194--260,317,74f2d5064a1c86952feeaf2e2bc6314b53a3dec8b6d89c28191dae0f4528eb03,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""64"", ""260"", ""194"", ""303"", ""54"", ""160"", ""228"", ""229"", ""0"", ""243"", ""239"", ""56"", ""131"", ""203"", ""207"", ""365"", ""123"", ""19"", ""345"", ""213"", ""388"", ""104"", ""386"", ""247"", ""91"", ""293"", ""108"", ""105"", ""338"", ""334"", ""255"", ""221""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 1, ""1"": 5, ""2"": 5, ""3"": 8, ""4"": 6, ""5"": 4, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,29,33,957,2,0.07142857142857142,7756.010975847586,0.0003616636528028933,0.0007233273056057866
realworld_completed,ia_infect_dublin,SASB-structured,structured,20260513,2,early,160--194,317,cea1e2af617de10ce6e0274043b0ab4bbd3941956471a8c86a2f1a43a16bbed4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""64"", ""303"", ""260"", ""194"", ""54"", ""160"", ""228"", ""229"", ""0"", ""243"", ""239"", ""56"", ""131"", ""203"", ""207"", ""365"", ""123"", ""19"", ""345"", ""213"", ""388"", ""104"", ""386"", ""186"", ""208"", ""290"", ""278"", ""25"", ""155"", ""79"", ""337"", ""294""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 29}","{""0"": 2, ""1"": 5, ""2"": 5, ""3"": 8, ""4"": 5, ""5"": 4, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,26,28,728,2,0.08,7250.109180199735,0.0007233273056057866,0.00108499095840868
realworld_completed,ia_infect_dublin,SASB-structured,structured,20260513,3,early,219--228,317,dc0f8083eba68db2818ca037ed8227a03f3a9f0e0f953c184a9a065b4901e2b7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""64"", ""303"", ""260"", ""54"", ""194"", ""228"", ""160"", ""229"", ""0"", ""243"", ""239"", ""56"", ""131"", ""203"", ""207"", ""365"", ""123"", ""19"", ""345"", ""213"", ""388"", ""104"", ""386"", ""42"", ""176"", ""125"", ""251"", ""258"", ""14"", ""78"", ""171"", ""277""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 30}","{""0"": 2, ""1"": 4, ""2"": 4, ""3"": 7, ""4"": 6, ""5"": 4, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,17,46,782,4,0.25,8211.703348558416,0.00108499095840868,0.0014466546112115732
realworld_completed,ia_infect_dublin,SASB-structured,structured,20260513,4,early,160--212,317,a830b7e494edcb0ab7489a9030d9cdb52ed264ed3518933213ef80f996525dc4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""64"", ""303"", ""260"", ""54"", ""194"", ""160"", ""228"", ""229"", ""0"", ""243"", ""239"", ""56"", ""131"", ""203"", ""207"", ""365"", ""123"", ""19"", ""345"", ""213"", ""388"", ""104"", ""386"", ""205"", ""355"", ""21"", ""266"", ""325"", ""18"", ""242"", ""185"", ""278""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 28}","{""0"": 2, ""1"": 4, ""2"": 4, ""3"": 7, ""4"": 7, ""5"": 5, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,25,25,625,1,0.041666666666666664,8019.413256023459,0.0014466546112115732,0.0018083182640144665
realworld_completed,ia_infect_dublin,SASB-structured,structured,20260513,5,early,104--194,317,eedccb9607081df9793aadb756182b5019611abcf6a54746d93b710cef000e20,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""64"", ""303"", ""260"", ""54"", ""194"", ""228"", ""160"", ""229"", ""0"", ""243"", ""239"", ""56"", ""131"", ""203"", ""207"", ""365"", ""123"", ""19"", ""345"", ""213"", ""388"", ""104"", ""386"", ""12"", ""120"", ""5"", ""81"", ""206"", ""400"", ""209"", ""87"", ""246""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_5_8"": 3, ""degree_9_plus"": 29}","{""0"": 1, ""1"": 6, ""2"": 5, ""3"": 6, ""4"": 7, ""5"": 4, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,28,27,756,6,0.23076923076923078,7534.536760568186,0.0018083182640144665,0.00216998191681736
realworld_completed,ia_infect_dublin,SASB-structured,structured,20260513,6,early,194--203,317,fa98d244bc6fbc9de6de9fce8813e66357b754a0442b72fd9312eb1825007c6e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""64"", ""303"", ""260"", ""54"", ""194"", ""228"", ""160"", ""229"", ""0"", ""243"", ""239"", ""56"", ""131"", ""203"", ""207"", ""365"", ""123"", ""19"", ""345"", ""213"", ""388"", ""137"", ""386"", ""109"", ""339"", ""157"", ""100"", ""38"", ""91"", ""276"", ""316"", ""200""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 28}","{""0"": 3, ""1"": 4, ""2"": 3, ""3"": 6, ""4"": 6, ""5"": 5, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,26,34,884,4,0.16,8030.730161179108,0.00216998191681736,0.002531645569620253
realworld_completed,ia_infect_dublin,SASB-structured,structured,20260513,7,early,131--160,316,1b3f8c1e31c42970f61717b8a74a14a708acc6b358a2f6682a3e5c0410e2373d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""64"", ""303"", ""260"", ""54"", ""194"", ""228"", ""160"", ""229"", ""0"", ""243"", ""239"", ""56"", ""131"", ""203"", ""207"", ""365"", ""123"", ""19"", ""345"", ""213"", ""388"", ""137"", ""386"", ""333"", ""328"", ""39"", ""322"", ""291"", ""358"", ""196"", ""3"", ""127""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 5, ""2"": 2, ""3"": 5, ""4"": 8, ""5"": 5, ""6"": 5}",1.0,1.0,0.0,1,1,0,0,34,24,816,4,0.17391304347826086,7418.674663674526,0.002531645569620253,0.0028933092224231465
realworld_completed,ia_infect_dublin,SASB-structured,structured,20260513,8,early,160--228,316,493a85f10af6c86fdeefde1dc66eaf2e30b5a97a4bb038770a15e08e6fc15202,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""64"", ""303"", ""260"", ""54"", ""194"", ""228"", ""229"", ""160"", ""0"", ""243"", ""239"", ""56"", ""131"", ""203"", ""207"", ""365"", ""123"", ""19"", ""345"", ""213"", ""388"", ""137"", ""386"", ""146"", ""326"", ""26"", ""88"", ""61"", ""393"", ""30"", ""127"", ""368""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 1, ""degree_3_4"": 1, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 5, ""2"": 6, ""3"": 5, ""4"": 6, ""5"": 6, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,23,45,1035,2,0.09090909090909091,5140.481426815734,0.0028933092224231465,0.0032549728752260397
realworld_completed,ia_infect_dublin,SASB-structured,structured,20260513,9,early,155--194,316,76b7193ab527f975196b21f1b6bda9809059ba09da45edbb2338de644693fa08,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""64"", ""303"", ""260"", ""54"", ""194"", ""228"", ""229"", ""160"", ""0"", ""243"", ""239"", ""56"", ""131"", ""203"", ""207"", ""365"", ""123"", ""19"", ""345"", ""213"", ""388"", ""137"", ""386"", ""315"", ""61"", ""165"", ""50"", ""4"", ""267"", ""390"", ""293"", ""305""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 28}","{""0"": 1, ""1"": 5, ""2"": 4, ""3"": 5, ""4"": 5, ""5"": 6, ""6"": 6}",1.0,1.0,0.0,1,1,0,1,25,25,625,4,0.16666666666666666,5433.4134664630765,0.0032549728752260397,0.003616636528028933
