dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,web_polblogs,SASB-structured,structured,20260513,0,early,182--351,309,aa087b7a3f6fecbdfe3bd4b98e7f1183f7f2fc756cac22a1bace1737e924d9ca,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""377"", ""598"", ""315"", ""107"", ""23"", ""185"", ""324"", ""415"", ""345"", ""601"", ""56"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""182"", ""173"", ""195"", ""103"", ""615"", ""99"", ""333"", ""82"", ""437"", ""214"", ""391"", ""440"", ""399""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 23}","{""0"": 9, ""1"": 5, ""2"": 7, ""3"": 5, ""4"": 1, ""5"": 1, ""6"": 3, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,40,56,2240,3,0.07692307692307693,25196.2053623025,0.0,0.0004385964912280702
realworld_completed,web_polblogs,SASB-structured,structured,20260513,1,early,182--588,309,71ef4892b3c28d9aa2abd6a651b31529ce03be9bf888dd6687f6091b79dd210c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""377"", ""598"", ""315"", ""107"", ""23"", ""185"", ""324"", ""415"", ""345"", ""601"", ""56"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""182"", ""173"", ""195"", ""103"", ""615"", ""99"", ""117"", ""621"", ""511"", ""36"", ""335"", ""149"", ""288""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 25}","{""0"": 13, ""1"": 3, ""2"": 6, ""3"": 5, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,39,33,1287,0,0.0,26324.76306309404,0.0004385964912280702,0.0008771929824561404
realworld_completed,web_polblogs,SASB-structured,structured,20260513,2,early,125--199,309,d62f7db0491f922829c032d11ac7f7adb414171fee0797680c85bc78ccb6e966,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""377"", ""598"", ""315"", ""107"", ""23"", ""185"", ""324"", ""415"", ""345"", ""601"", ""56"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""173"", ""182"", ""195"", ""103"", ""615"", ""99"", ""220"", ""73"", ""30"", ""538"", ""427"", ""464"", ""87""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 4, ""degree_9_plus"": 24}","{""0"": 10, ""1"": 5, ""2"": 6, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 4, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,32,14,448,1,0.07692307692307693,34022.04888219853,0.0008771929824561404,0.0013157894736842105
realworld_completed,web_polblogs,SASB-structured,structured,20260513,3,early,243--522,309,810b5d4f940ec1ed83d353c8686424f9508b26b8e3dfe405190b1c42593eeb7a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""377"", ""598"", ""315"", ""107"", ""23"", ""185"", ""324"", ""415"", ""345"", ""601"", ""56"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""173"", ""182"", ""195"", ""103"", ""615"", ""99"", ""313"", ""183"", ""140"", ""206"", ""287"", ""201"", ""616""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_0_1"": 1, ""degree_2"": 4, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 25}","{""0"": 10, ""1"": 6, ""2"": 5, ""3"": 6, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,165,14,2310,4,0.3076923076923077,27389.557980063062,0.0013157894736842105,0.0017543859649122807
realworld_completed,web_polblogs,SASB-structured,structured,20260513,4,early,125--351,309,677d9e22821b3c7b3189465ffb78a253a8183c2d8e444566d7f80a441279fbe9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""377"", ""598"", ""315"", ""107"", ""23"", ""185"", ""324"", ""415"", ""345"", ""601"", ""56"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""173"", ""182"", ""195"", ""103"", ""615"", ""99"", ""232"", ""294"", ""620"", ""251"", ""617"", ""404"", ""314""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 24}","{""0"": 9, ""1"": 4, ""2"": 6, ""3"": 7, ""4"": 1, ""5"": 1, ""6"": 3, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,31,55,1705,3,0.1,19648.28215527792,0.0017543859649122807,0.0021929824561403508
realworld_completed,web_polblogs,SASB-structured,structured,20260513,5,early,107--620,309,6881d45b104a02d9373de1df156e5403dec12dd6b680ee28061bb1f05b8a7339,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""377"", ""598"", ""315"", ""107"", ""23"", ""185"", ""324"", ""415"", ""345"", ""601"", ""56"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""173"", ""182"", ""195"", ""103"", ""615"", ""99"", ""586"", ""53"", ""77"", ""244"", ""532"", ""553"", ""116""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_0_1"": 2, ""degree_2"": 4, ""degree_3_4"": 1, ""degree_9_plus"": 25}","{""0"": 11, ""1"": 4, ""2"": 6, ""3"": 6, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,33,8,264,1,0.14285714285714285,16903.827885721053,0.0021929824561403508,0.002631578947368421
realworld_completed,web_polblogs,SASB-structured,structured,20260513,6,early,28--351,309,c796009dfa0b1eef175beae9e9852014b996ff08fbc1d0e184c18c55d62c9662,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""377"", ""598"", ""315"", ""23"", ""185"", ""324"", ""107"", ""415"", ""345"", ""601"", ""56"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""173"", ""182"", ""195"", ""103"", ""615"", ""99"", ""463"", ""635"", ""178"", ""30"", ""483"", ""166"", ""302""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_0_1"": 3, ""degree_2"": 3, ""degree_3_4"": 1, ""degree_9_plus"": 25}","{""0"": 12, ""1"": 4, ""2"": 6, ""3"": 5, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,25,54,1350,6,0.25,16707.57434970314,0.002631578947368421,0.0030701754385964912
realworld_completed,web_polblogs,SASB-structured,structured,20260513,7,early,479--522,309,8670061c33166d6b618401ab75c1eb63c478ad9ae86e97ff594c7c077238d0ff,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""377"", ""598"", ""315"", ""23"", ""185"", ""324"", ""107"", ""415"", ""345"", ""601"", ""56"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""173"", ""182"", ""195"", ""103"", ""615"", ""99"", ""436"", ""594"", ""557"", ""311"", ""163"", ""481"", ""47""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_2"": 5, ""degree_3_4"": 4, ""degree_5_8"": 1, ""degree_9_plus"": 22}","{""0"": 11, ""1"": 4, ""2"": 6, ""3"": 6, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,22,13,286,0,0.0,17388.068509014767,0.0030701754385964912,0.0035087719298245615
realworld_completed,web_polblogs,SASB-structured,structured,20260513,8,early,18--81,309,08309ca113d4df9fa4132d770a427b72b933607708b518a04ee94077b11526e0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""377"", ""598"", ""315"", ""23"", ""185"", ""324"", ""107"", ""415"", ""345"", ""601"", ""56"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""173"", ""182"", ""195"", ""103"", ""615"", ""99"", ""509"", ""422"", ""451"", ""533"", ""108"", ""641"", ""78""]","{""boundary"": 12, ""community_rep"": 3, ""degree_core"": 10, ""random_fill"": 7}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 23}","{""0"": 10, ""1"": 5, ""2"": 7, ""3"": 5, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1}",1.0,0.9922239502332815,0.007776049766718529,1,2,1,1,45,2,90,0,0.0,15934.343749999998,0.0035087719298245615,0.003947368421052632
realworld_completed,web_polblogs,SASB-structured,structured,20260513,9,early,173--351,308,c43696e95bbbd6a8a7290425252b6f7844e83d587910d87dd36856ddcd41692e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""377"", ""598"", ""315"", ""23"", ""185"", ""324"", ""107"", ""415"", ""345"", ""601"", ""56"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""173"", ""182"", ""195"", ""615"", ""99"", ""246"", ""437"", ""546"", ""245"", ""610"", ""354"", ""242"", ""388""]","{""boundary"": 12, ""community_rep"": 2, ""degree_core"": 10, ""random_fill"": 8}","{""degree_0_1"": 3, ""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 22}","{""0"": 10, ""1"": 4, ""2"": 8, ""3"": 6, ""4"": 1, ""6"": 2, ""7"": 1}",0.9922239502332815,0.9922239502332815,0.0,2,2,0,0,38,53,2014,10,0.2702702702702703,14377.144111353533,0.003947368421052632,0.0043859649122807015
realworld_completed,web_polblogs,SASB-structured,structured,20260513,10,early,125--232,308,577fb80cba2f6b7be149fa2769d2916496934d320130a4661c2d1b046b0e949d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""324"", ""377"", ""315"", ""598"", ""107"", ""23"", ""56"", ""345"", ""195"", ""351"", ""601"", ""124"", ""235"", ""139"", ""390"", ""18"", ""534"", ""182"", ""173"", ""579"", ""323"", ""94"", ""408"", ""615"", ""99"", ""496"", ""275"", ""552"", ""322"", ""252"", ""263""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 3, ""degree_2"": 4, ""degree_5_8"": 2, ""degree_9_plus"": 23}","{""0"": 12, ""1"": 4, ""2"": 2, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 6}",0.9922239502332815,0.9922239502332815,0.0,2,2,0,1,30,14,420,1,0.07692307692307693,15618.589005948794,0.0043859649122807015,0.004824561403508772
realworld_completed,web_polblogs,SASB-structured,structured,20260513,11,early,228--243,308,9df0cab4d468aac283f83d8ed6c578973ebd1b5409827f716646319997880604,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""324"", ""377"", ""315"", ""598"", ""107"", ""23"", ""56"", ""345"", ""195"", ""351"", ""601"", ""124"", ""235"", ""139"", ""390"", ""18"", ""534"", ""182"", ""173"", ""579"", ""323"", ""94"", ""408"", ""615"", ""99"", ""576"", ""425"", ""91"", ""333"", ""318"", ""238""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_2"": 4, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 22}","{""0"": 12, ""1"": 4, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 6}",0.9922239502332815,0.9922239502332815,0.0,2,2,0,0,3,164,492,1,0.5,18863.195440367042,0.004824561403508772,0.005263157894736842
realworld_completed,web_polblogs,SASB-structured,structured,20260513,12,early,351--445,308,570d6755283351b1b17d6c1101936004484bd666e57842afcbd45b3988c2b912,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""324"", ""377"", ""315"", ""598"", ""107"", ""23"", ""56"", ""345"", ""195"", ""351"", ""601"", ""124"", ""235"", ""139"", ""390"", ""18"", ""534"", ""182"", ""173"", ""579"", ""323"", ""94"", ""408"", ""615"", ""99"", ""617"", ""222"", ""424"", ""60"", ""382"", ""535""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 22}","{""0"": 13, ""1"": 4, ""2"": 3, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 6}",0.9922239502332815,0.9922239502332815,0.0,2,2,0,1,52,21,1092,6,0.3,18044.386596150154,0.005263157894736842,0.005701754385964913
realworld_completed,web_polblogs,SASB-structured,structured,20260513,13,early,107--478,308,50da0507fad896f66494bfc80ba2ece97530603b6ecc9edc070bf4b81ea921a3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""324"", ""377"", ""315"", ""598"", ""107"", ""23"", ""56"", ""345"", ""195"", ""601"", ""342"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""182"", ""173"", ""579"", ""94"", ""408"", ""615"", ""99"", ""205"", ""573"", ""186"", ""484"", ""117"", ""519""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 22}","{""0"": 12, ""1"": 5, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 6}",0.9922239502332815,0.9922239502332815,0.0,2,2,0,0,32,6,192,0,0.0,17149.28215563465,0.005701754385964913,0.0061403508771929825
realworld_completed,web_polblogs,SASB-structured,structured,20260513,14,early,173--433,308,e6caaeaf27346c473a42915f6a8b00e70f482baa071338edd1c5f6ae0a141e3b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""324"", ""377"", ""315"", ""598"", ""107"", ""23"", ""56"", ""345"", ""195"", ""601"", ""342"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""182"", ""173"", ""579"", ""94"", ""408"", ""615"", ""99"", ""226"", ""488"", ""282"", ""157"", ""512"", ""183""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_5_8"": 4, ""degree_9_plus"": 24}","{""0"": 13, ""1"": 4, ""2"": 3, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 5}",0.9922239502332815,0.9922239502332815,0.0,2,2,0,1,37,30,1110,6,0.20689655172413793,19145.323187857168,0.0061403508771929825,0.006578947368421052
realworld_completed,web_polblogs,SASB-structured,structured,20260513,15,early,445--588,308,8766969707e7951e97c466cfb6f95aa36fbbaf98a9caf87491cc3c47769d86e5,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""324"", ""377"", ""315"", ""598"", ""107"", ""23"", ""56"", ""345"", ""195"", ""601"", ""342"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""182"", ""173"", ""579"", ""94"", ""408"", ""615"", ""99"", ""613"", ""41"", ""499"", ""104"", ""566"", ""556""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_2"": 4, ""degree_5_8"": 3, ""degree_9_plus"": 24}","{""0"": 12, ""1"": 3, ""2"": 5, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 2, ""8"": 4}",0.9922239502332815,0.9922239502332815,0.0,2,2,0,1,20,32,640,5,0.2631578947368421,19622.63490691478,0.006578947368421052,0.007017543859649123
realworld_completed,web_polblogs,SASB-structured,structured,20260513,16,early,243--453,308,38f596aa9232754f9adcb3695642c000db78b2a7c860156521aab764f3732699,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""324"", ""377"", ""315"", ""598"", ""107"", ""23"", ""56"", ""345"", ""195"", ""601"", ""342"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""182"", ""173"", ""579"", ""94"", ""408"", ""615"", ""99"", ""597"", ""424"", ""471"", ""6"", ""196"", ""51""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 23}","{""0"": 13, ""1"": 4, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 6}",0.9922239502332815,0.9922239502332815,0.0,2,2,0,1,163,23,3749,8,0.36363636363636365,17246.919512143584,0.007017543859649123,0.007456140350877193
realworld_completed,web_polblogs,SASB-structured,structured,20260513,17,early,445--497,307,cad87d6c51866f3f9372365c1206688bb968791296ea7d42e9a49b22a54c53ce,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""324"", ""377"", ""315"", ""598"", ""107"", ""23"", ""56"", ""345"", ""195"", ""601"", ""342"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""182"", ""173"", ""579"", ""94"", ""408"", ""615"", ""99"", ""480"", ""580"", ""613"", ""357"", ""496"", ""231""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 2, ""degree_2"": 4, ""degree_5_8"": 3, ""degree_9_plus"": 23}","{""0"": 12, ""1"": 4, ""2"": 3, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 5}",0.9922239502332815,0.9922239502332815,0.0,2,2,0,1,19,16,304,1,0.06666666666666667,13807.404227534513,0.007456140350877193,0.007894736842105263
realworld_completed,web_polblogs,SASB-structured,structured,20260513,18,early,351--401,307,01bdca0290f08edb557b5ec2b64cb2bc254e6c282f838b1fb58277a425ace91a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""324"", ""377"", ""315"", ""598"", ""107"", ""23"", ""56"", ""345"", ""195"", ""601"", ""342"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""182"", ""173"", ""579"", ""94"", ""408"", ""615"", ""99"", ""328"", ""241"", ""473"", ""210"", ""209"", ""295""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 4, ""degree_5_8"": 2, ""degree_9_plus"": 22}","{""0"": 11, ""1"": 3, ""2"": 2, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 8}",0.9922239502332815,0.9922239502332815,0.0,2,2,0,1,51,30,1530,6,0.20689655172413793,13159.30786403702,0.007894736842105263,0.008333333333333333
realworld_completed,web_polblogs,SASB-structured,structured,20260513,19,early,401--433,307,d5c6e93ffb97524ff9599fe4512558710d5b0b7afa2f4238dcc0b90a5886a850,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""324"", ""377"", ""315"", ""598"", ""107"", ""23"", ""56"", ""345"", ""195"", ""601"", ""342"", ""124"", ""351"", ""235"", ""139"", ""390"", ""18"", ""534"", ""182"", ""173"", ""579"", ""94"", ""408"", ""615"", ""99"", ""330"", ""308"", ""248"", ""465"", ""574"", ""113""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 3, ""degree_2"": 2, ""degree_5_8"": 5, ""degree_9_plus"": 22}","{""0"": 12, ""1"": 6, ""2"": 2, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 6}",0.9922239502332815,0.9922239502332815,0.0,2,2,0,1,29,29,841,4,0.14285714285714285,17205.291038742344,0.008333333333333333,0.008771929824561403
realworld_completed,web_polblogs,SASB-structured,structured,20260513,20,early,315--463,307,9800cdfe0baf697ad2c32e377d893a6b83720dc20ff6c925bd7b2621f7fcccc7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""243"", ""324"", ""377"", ""315"", ""598"", ""345"", ""23"", ""107"", ""195"", ""601"", ""56"", ""390"", ""124"", ""351"", ""235"", ""139"", ""18"", ""534"", ""182"", ""173"", ""579"", ""323"", ""94"", ""84"", ""615"", ""99"", ""456"", ""193"", ""614"", ""393"", ""252"", ""304""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 23}","{""0"": 11, ""1"": 1, ""2"": 1, ""3"": 4, ""4"": 3, ""5"": 1, ""6"": 7, ""7"": 1, ""8"": 3}",0.9922239502332815,0.9922239502332815,0.0,2,2,0,1,46,19,874,6,0.3333333333333333,14914.90439335824,0.008771929824561403,0.009210526315789473
