dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,football,SASB-random,random,20260513,0,early,28--29,118,9c7933bde65b54a308ed6a846a53130d7b85a6a3429fb5052e99b2eddf8f83a0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""9"", ""22"", ""86"", ""96"", ""20"", ""32"", ""11"", ""66"", ""39"", ""88"", ""47"", ""70"", ""111"", ""101"", ""44"", ""61"", ""99"", ""102"", ""110"", ""78"", ""71"", ""52"", ""41"", ""25"", ""1"", ""105"", ""109"", ""104"", ""26"", ""40"", ""29"", ""16""]","{""uniform_random"": 32}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 2, ""1"": 1, ""2"": 6, ""3"": 4, ""4"": 4, ""5"": 3, ""6"": 5, ""8"": 2, ""9"": 5}",1.0,1.0,0.0,1,1,0,1,11,11,121,0,0.0,299.1139805356211,0.0,0.0016313213703099511
realworld_completed,football,SASB-random,random,20260513,1,early,84--85,118,7a13b47917205ba459f5e00659ee7aa31cdc38607f19e70e926590d12599ded4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""37"", ""92"", ""50"", ""33"", ""10"", ""102"", ""16"", ""100"", ""23"", ""19"", ""59"", ""38"", ""52"", ""69"", ""105"", ""108"", ""56"", ""89"", ""13"", ""86"", ""67"", ""25"", ""47"", ""113"", ""84"", ""75"", ""85"", ""74"", ""60"", ""5"", ""95"", ""14""]","{""uniform_random"": 32}","{""degree_5_8"": 1, ""degree_9_plus"": 31}","{""1"": 1, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 2, ""7"": 8, ""8"": 5, ""9"": 5}",1.0,1.0,0.0,1,1,0,1,10,11,110,0,0.0,320.7086121967716,0.0016313213703099511,0.0032626427406199023
realworld_completed,football,SASB-random,random,20260513,2,early,4--62,118,0038cf3c53fe7ee3b5916473b03309da3ce63b8eaa2608f0c2b64b7d50bf481b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""110"", ""57"", ""59"", ""56"", ""88"", ""1"", ""92"", ""87"", ""93"", ""19"", ""0"", ""34"", ""77"", ""41"", ""94"", ""70"", ""39"", ""48"", ""76"", ""18"", ""95"", ""96"", ""11"", ""111"", ""28"", ""47"", ""13"", ""64"", ""114"", ""103"", ""62"", ""86""]","{""uniform_random"": 32}","{""degree_5_8"": 1, ""degree_9_plus"": 31}","{""0"": 3, ""1"": 2, ""2"": 4, ""3"": 5, ""4"": 2, ""5"": 1, ""6"": 4, ""7"": 2, ""8"": 5, ""9"": 4}",1.0,1.0,0.0,1,1,0,1,10,11,110,0,0.0,270.79790899079677,0.0032626427406199023,0.004893964110929853
realworld_completed,football,SASB-random,random,20260513,3,early,75--76,118,2d354d0652dfd447b8a79490837a690940107f43f92b653eaa825d4c1bc8e1da,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""34"", ""51"", ""88"", ""104"", ""6"", ""30"", ""36"", ""40"", ""46"", ""31"", ""25"", ""32"", ""67"", ""69"", ""76"", ""82"", ""75"", ""50"", ""23"", ""103"", ""74"", ""93"", ""94"", ""33"", ""102"", ""41"", ""61"", ""11"", ""80"", ""14"", ""100"", ""52""]","{""uniform_random"": 32}","{""degree_5_8"": 1, ""degree_9_plus"": 31}","{""0"": 5, ""1"": 4, ""2"": 1, ""3"": 4, ""4"": 7, ""5"": 2, ""6"": 2, ""7"": 1, ""8"": 2, ""9"": 4}",1.0,1.0,0.0,1,1,0,1,9,11,99,0,0.0,281.40165217476016,0.004893964110929853,0.0065252854812398045
realworld_completed,football,SASB-random,random,20260513,4,early,39--61,118,1dfe57469164e0783f8d7b7fde153fb8d23dac122800260b5eada6edc3558e7a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""113"", ""96"", ""49"", ""22"", ""78"", ""81"", ""74"", ""102"", ""10"", ""61"", ""18"", ""95"", ""25"", ""21"", ""82"", ""55"", ""62"", ""75"", ""11"", ""52"", ""46"", ""9"", ""19"", ""2"", ""70"", ""91"", ""38"", ""66"", ""53"", ""41"", ""39"", ""72""]","{""uniform_random"": 32}","{""degree_5_8"": 3, ""degree_9_plus"": 29}","{""0"": 4, ""1"": 2, ""2"": 3, ""3"": 3, ""4"": 3, ""5"": 1, ""6"": 4, ""7"": 5, ""8"": 2, ""9"": 5}",1.0,1.0,0.0,1,1,0,1,11,9,99,0,0.0,317.2137029607303,0.0065252854812398045,0.008156606851549755
realworld_completed,football,SASB-random,random,20260513,5,early,10--88,117,785c0ebcca5eb4194d87e000283f7c0a3c5ffd72fbb1fe203a61663397472bce,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""85"", ""80"", ""76"", ""8"", ""6"", ""93"", ""103"", ""102"", ""69"", ""20"", ""39"", ""10"", ""28"", ""49"", ""25"", ""90"", ""7"", ""94"", ""106"", ""113"", ""2"", ""70"", ""105"", ""36"", ""89"", ""14"", ""83"", ""26"", ""88"", ""87"", ""30"", ""54""]","{""uniform_random"": 32}","{""degree_5_8"": 1, ""degree_9_plus"": 31}","{""0"": 4, ""1"": 3, ""2"": 3, ""3"": 5, ""4"": 4, ""5"": 3, ""6"": 2, ""7"": 5, ""8"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,10,10,100,0,0.0,338.3482334284724,0.008156606851549755,0.009787928221859706
realworld_completed,football,SASB-random,random,20260513,6,early,16--63,117,fb7393768fe5fafa166269a00e45df7b8041a8fbead3510e7a98aad90b326987,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""111"", ""105"", ""33"", ""45"", ""9"", ""86"", ""16"", ""14"", ""39"", ""70"", ""90"", ""12"", ""98"", ""106"", ""40"", ""97"", ""6"", ""62"", ""61"", ""44"", ""94"", ""63"", ""29"", ""10"", ""82"", ""18"", ""38"", ""23"", ""37"", ""58"", ""78"", ""24""]","{""uniform_random"": 32}","{""degree_5_8"": 3, ""degree_9_plus"": 29}","{""0"": 4, ""1"": 3, ""2"": 4, ""3"": 3, ""4"": 3, ""5"": 4, ""6"": 1, ""7"": 4, ""8"": 4, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,10,10,100,0,0.0,288.66926183327837,0.009787928221859706,0.011419249592169658
realworld_completed,football,SASB-random,random,20260513,7,early,34--38,117,bb0719af82b4a5ed43428fcc9866b1a79fedcd9f4647b6ed7f2c67ba11a21674,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""70"", ""21"", ""5"", ""66"", ""32"", ""3"", ""86"", ""62"", ""40"", ""107"", ""73"", ""13"", ""18"", ""113"", ""20"", ""89"", ""87"", ""25"", ""2"", ""82"", ""83"", ""97"", ""9"", ""88"", ""90"", ""34"", ""75"", ""92"", ""30"", ""64"", ""59"", ""104""]","{""uniform_random"": 32}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 4, ""2"": 2, ""3"": 4, ""4"": 3, ""5"": 2, ""6"": 3, ""7"": 4, ""8"": 5, ""9"": 5}",1.0,1.0,0.0,1,1,0,1,10,12,120,0,0.0,298.3999009103977,0.011419249592169658,0.013050570962479609
realworld_completed,football,SASB-random,random,20260513,8,early,70--72,117,44f903cc5034db07094ea1164a391cbab6842913341eb0708555bc368855ad55,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""103"", ""15"", ""89"", ""13"", ""4"", ""3"", ""31"", ""92"", ""41"", ""45"", ""71"", ""75"", ""85"", ""70"", ""68"", ""17"", ""102"", ""109"", ""84"", ""11"", ""101"", ""72"", ""37"", ""53"", ""95"", ""0"", ""7"", ""40"", ""76"", ""2"", ""86"", ""38""]","{""uniform_random"": 32}","{""degree_5_8"": 3, ""degree_9_plus"": 29}","{""0"": 2, ""1"": 1, ""2"": 4, ""3"": 5, ""4"": 4, ""5"": 1, ""6"": 5, ""7"": 4, ""8"": 2, ""9"": 4}",1.0,1.0,0.0,1,1,0,1,8,11,88,0,0.0,336.6275772131277,0.013050570962479609,0.01468189233278956
realworld_completed,football,SASB-random,random,20260513,9,early,5--6,117,3389f098c800a8bf544aa6f1864f75190dcf6a9ead227a7fc492cac22199257a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""66"", ""0"", ""81"", ""55"", ""10"", ""9"", ""106"", ""68"", ""60"", ""36"", ""1"", ""101"", ""98"", ""5"", ""29"", ""6"", ""88"", ""107"", ""12"", ""108"", ""84"", ""21"", ""61"", ""73"", ""33"", ""41"", ""2"", ""27"", ""40"", ""109"", ""53"", ""49""]","{""uniform_random"": 32}","{""degree_5_8"": 1, ""degree_9_plus"": 31}","{""0"": 1, ""1"": 5, ""2"": 2, ""3"": 1, ""4"": 6, ""5"": 4, ""6"": 3, ""7"": 5, ""9"": 5}",1.0,1.0,0.0,1,1,0,1,10,10,100,0,0.0,350.42945210121104,0.01468189233278956,0.01631321370309951
