dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,rt_twitter_copen,SASB-structured,structured,20260513,0,early,143--309,213,c627a296af3045ec8d4bcc9ffffabe685a0dab8796c6020dfc8211fa5ec7c271,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""42"", ""65"", ""651"", ""659"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""143"", ""326"", ""280"", ""344"", ""459"", ""94"", ""309"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""392"", ""322"", ""240"", ""294""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""10"": 5, ""11"": 1, ""12"": 1, ""13"": 5, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 4, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,17,15,255,0,0.0,43141.36355432762,0.0,0.0009718172983479105
realworld_completed,rt_twitter_copen,SASB-structured,structured,20260513,1,early,44--65,213,3991d1b05a5f910d3223ecbe57a0344918c0db79825a057c7fbd1d62c5b8716a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""42"", ""65"", ""651"", ""659"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""344"", ""459"", ""94"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""419"", ""438"", ""213"", ""358""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 3, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 1, ""15"": 2, ""16"": 1, ""18"": 2, ""19"": 3, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,14,35,490,1,0.07692307692307693,25483.999550901997,0.0009718172983479105,0.001943634596695821
realworld_completed,rt_twitter_copen,SASB-structured,structured,20260513,2,early,291--344,213,57074fd50e87d0fd42ad7c8dae5e2d4f187a020bd5d58fa3a6cdd97392efdc29,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""42"", ""65"", ""651"", ""659"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""344"", ""459"", ""94"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""532"", ""305"", ""98"", ""733""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 4, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 6, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 4, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,2,16,32,0,0.0,24820.28003080618,0.001943634596695821,0.0029154518950437317
realworld_completed,rt_twitter_copen,SASB-structured,structured,20260513,3,early,437--599,213,ea904dd78f708d4d485e7b3cb20bff78cd13e360d8f963d9f76b4fef14e161e6,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""42"", ""65"", ""651"", ""659"", ""619"", ""582"", ""469"", ""599"", ""467"", ""330"", ""750"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""459"", ""94"", ""344"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""606"", ""84"", ""59"", ""189""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 3, ""11"": 1, ""12"": 2, ""13"": 6, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 2, ""3"": 2, ""5"": 1, ""6"": 2, ""7"": 4, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,20,15,300,0,0.0,19943.091441941648,0.0029154518950437317,0.003887269193391642
realworld_completed,rt_twitter_copen,SASB-structured,structured,20260513,4,early,459--619,213,651a028b136d355b514d21dbd1cfcf64b0fd032e7f95be0671e525ea60fceb90,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""42"", ""65"", ""651"", ""659"", ""619"", ""582"", ""469"", ""467"", ""330"", ""750"", ""599"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""459"", ""94"", ""344"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""235"", ""359"", ""554"", ""403""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""10"": 4, ""11"": 2, ""12"": 1, ""13"": 6, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 3, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,16,18,288,1,0.06666666666666667,20022.62302989596,0.003887269193391642,0.004859086491739553
realworld_completed,rt_twitter_copen,SASB-structured,structured,20260513,5,early,326--437,213,c9e56d523bf893a6137c7f1ac4f8a7f0f970363a5d4bfcd7e9698641656af27a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""42"", ""65"", ""651"", ""659"", ""582"", ""469"", ""619"", ""467"", ""330"", ""750"", ""599"", ""287"", ""437"", ""144"", ""734"", ""326"", ""143"", ""280"", ""94"", ""344"", ""459"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""449"", ""141"", ""308"", ""200""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 5, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 3, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 2}",1.0,1.0,0.0,1,1,0,0,17,19,323,1,0.0625,17031.394713385063,0.004859086491739553,0.0058309037900874635
realworld_completed,rt_twitter_copen,SASB-structured,structured,20260513,6,early,224--330,213,d9abfe802e9d0aaca5cd7db62870d7256498cb5fceccc8a689b8321df2b45bd8,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""42"", ""65"", ""651"", ""659"", ""582"", ""469"", ""619"", ""467"", ""330"", ""750"", ""599"", ""287"", ""144"", ""437"", ""734"", ""143"", ""280"", ""326"", ""94"", ""344"", ""459"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""538"", ""426"", ""541"", ""81""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 28}","{""0"": 1, ""1"": 1, ""10"": 4, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 4, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,4,25,100,0,0.0,23394.14598290237,0.0058309037900874635,0.006802721088435374
realworld_completed,rt_twitter_copen,SASB-structured,structured,20260513,7,early,42--462,213,ea41bfe9aaacdf32ec8c59aa9aaa28bec1ab2fdab0a6a5b27f11000a883394b0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""42"", ""65"", ""651"", ""659"", ""582"", ""469"", ""619"", ""467"", ""750"", ""599"", ""287"", ""330"", ""144"", ""437"", ""734"", ""143"", ""280"", ""326"", ""94"", ""344"", ""459"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""633"", ""286"", ""566"", ""509""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 5, ""11"": 1, ""12"": 1, ""13"": 6, ""14"": 3, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 2, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",1.0,0.9908015768725361,0.009198423127463884,1,2,1,0,37,2,74,0,0.0,40856.1875,0.006802721088435374,0.007774538386783284
realworld_completed,rt_twitter_copen,SASB-structured,structured,20260513,8,early,144--465,212,07de4183b49cc0fb3fdbdfc15b0b97b091eba0e2858d4fb83d70b37ab0b2404b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""42"", ""65"", ""651"", ""659"", ""582"", ""469"", ""619"", ""467"", ""750"", ""599"", ""287"", ""330"", ""144"", ""437"", ""734"", ""143"", ""280"", ""326"", ""94"", ""344"", ""459"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""607"", ""421"", ""483"", ""37""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 4, ""11"": 1, ""12"": 1, ""13"": 7, ""14"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 3, ""8"": 1}",0.9908015768725361,0.9750328515111695,0.015768725361366642,2,3,1,1,18,2,36,0,0.0,26248.625,0.007774538386783284,0.008746355685131196
realworld_completed,rt_twitter_copen,SASB-structured,structured,20260513,9,early,398--722,210,931dea280961e4b8e9a69b0f4ddce46aea9082e78f829dd2a5ae685837e1c2c2,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""42"", ""65"", ""651"", ""659"", ""582"", ""469"", ""619"", ""467"", ""750"", ""599"", ""287"", ""330"", ""437"", ""734"", ""144"", ""143"", ""280"", ""326"", ""94"", ""344"", ""459"", ""706"", ""47"", ""80"", ""44"", ""62"", ""425"", ""675"", ""540"", ""171"", ""596"", ""53""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""1"": 1, ""10"": 3, ""11"": 1, ""12"": 1, ""13"": 7, ""14"": 2, ""15"": 2, ""16"": 1, ""18"": 1, ""19"": 2, ""2"": 3, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 1}",0.9750328515111695,0.9750328515111695,0.0,3,3,0,1,8,9,72,0,0.0,19300.02785790598,0.008746355685131196,0.009718172983479106
