dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,rt_twitter_copen,SASB-random,random,20260513,0,early,143--309,213,c627a296af3045ec8d4bcc9ffffabe685a0dab8796c6020dfc8211fa5ec7c271,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""11"", ""37"", ""509"", ""389"", ""607"", ""116"", ""473"", ""449"", ""402"", ""403"", ""747"", ""240"", ""515"", ""385"", ""358"", ""597"", ""8"", ""60"", ""580"", ""760"", ""338"", ""437"", ""662"", ""12"", ""359"", ""336"", ""348"", ""629"", ""253"", ""252"", ""589"", ""418""]","{""uniform_random"": 32}","{""degree_0_1"": 18, ""degree_2"": 7, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 2}","{""0"": 2, ""10"": 4, ""11"": 2, ""12"": 1, ""13"": 2, ""14"": 4, ""17"": 2, ""19"": 3, ""2"": 3, ""4"": 1, ""5"": 1, ""6"": 4, ""7"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,17,15,255,0,0.0,43097.1362763105,0.0,0.0009718172983479105
realworld_completed,rt_twitter_copen,SASB-random,random,20260513,1,early,437--599,213,3991d1b05a5f910d3223ecbe57a0344918c0db79825a057c7fbd1d62c5b8716a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""373"", ""704"", ""379"", ""50"", ""698"", ""22"", ""352"", ""333"", ""150"", ""218"", ""439"", ""539"", ""480"", ""202"", ""671"", ""79"", ""648"", ""233"", ""445"", ""193"", ""725"", ""448"", ""254"", ""142"", ""238"", ""392"", ""189"", ""718"", ""17"", ""66"", ""585"", ""652""]","{""uniform_random"": 32}","{""degree_0_1"": 18, ""degree_2"": 9, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 2}","{""0"": 3, ""10"": 2, ""12"": 3, ""13"": 4, ""15"": 1, ""16"": 1, ""19"": 3, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 6, ""7"": 3, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,20,15,300,0,0.0,23413.560905042654,0.0009718172983479105,0.001943634596695821
realworld_completed,rt_twitter_copen,SASB-random,random,20260513,2,early,44--65,213,77b76b0e047bf447063278e3b62bffcdd22859502da399dded54b079d054a011,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""332"", ""3"", ""588"", ""571"", ""703"", ""254"", ""732"", ""247"", ""90"", ""237"", ""4"", ""180"", ""255"", ""406"", ""228"", ""612"", ""659"", ""122"", ""191"", ""288"", ""46"", ""60"", ""238"", ""369"", ""220"", ""80"", ""18"", ""131"", ""39"", ""77"", ""572"", ""150""]","{""uniform_random"": 32}","{""degree_0_1"": 14, ""degree_2"": 9, ""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 3}","{""0"": 1, ""1"": 2, ""10"": 1, ""11"": 1, ""12"": 1, ""13"": 4, ""14"": 1, ""15"": 2, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 6, ""2"": 4, ""3"": 3, ""5"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,14,35,490,1,0.07692307692307693,31980.279202294416,0.001943634596695821,0.0029154518950437317
realworld_completed,rt_twitter_copen,SASB-random,random,20260513,3,early,546--599,213,fbbd95f0c24cafc78b2676de949799e2d3cae183867ecb3e71993b97a4be722c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""111"", ""117"", ""374"", ""129"", ""357"", ""89"", ""576"", ""604"", ""305"", ""211"", ""558"", ""333"", ""4"", ""280"", ""54"", ""145"", ""649"", ""517"", ""155"", ""472"", ""123"", ""486"", ""757"", ""283"", ""659"", ""166"", ""391"", ""698"", ""216"", ""491"", ""729"", ""733""]","{""uniform_random"": 32}","{""degree_0_1"": 18, ""degree_2"": 4, ""degree_3_4"": 4, ""degree_5_8"": 3, ""degree_9_plus"": 3}","{""0"": 3, ""1"": 1, ""10"": 2, ""11"": 2, ""13"": 5, ""15"": 2, ""16"": 1, ""19"": 1, ""2"": 2, ""3"": 3, ""5"": 1, ""6"": 1, ""7"": 5, ""8"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,4,14,56,0,0.0,26334.398810997496,0.0029154518950437317,0.003887269193391642
realworld_completed,rt_twitter_copen,SASB-random,random,20260513,4,early,291--344,213,8444506184538691bd734cce985f3d713decd5ca5608f3055a07a39c74ff84fb,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""533"", ""39"", ""138"", ""30"", ""288"", ""187"", ""504"", ""115"", ""221"", ""573"", ""641"", ""336"", ""492"", ""347"", ""332"", ""200"", ""407"", ""179"", ""360"", ""649"", ""170"", ""580"", ""257"", ""601"", ""591"", ""608"", ""589"", ""449"", ""498"", ""451"", ""469"", ""748""]","{""uniform_random"": 32}","{""degree_0_1"": 16, ""degree_2"": 8, ""degree_3_4"": 6, ""degree_5_8"": 1, ""degree_9_plus"": 1}","{""0"": 3, ""1"": 1, ""10"": 3, ""11"": 3, ""13"": 5, ""14"": 1, ""15"": 2, ""17"": 1, ""19"": 2, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 2, ""8"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,2,16,32,0,0.0,48825.16153070248,0.003887269193391642,0.004859086491739553
realworld_completed,rt_twitter_copen,SASB-random,random,20260513,5,early,659--749,213,c1ff8f0d813d7180103272ffd9c3927567e10f201d87cc7dc6b45d4e8fd49c1e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""250"", ""537"", ""489"", ""470"", ""114"", ""261"", ""246"", ""395"", ""344"", ""443"", ""40"", ""698"", ""21"", ""139"", ""612"", ""269"", ""182"", ""66"", ""210"", ""308"", ""295"", ""586"", ""553"", ""611"", ""574"", ""617"", ""224"", ""366"", ""161"", ""7"", ""610"", ""301""]","{""uniform_random"": 32}","{""degree_0_1"": 16, ""degree_2"": 6, ""degree_3_4"": 5, ""degree_5_8"": 1, ""degree_9_plus"": 4}","{""0"": 5, ""10"": 4, ""11"": 2, ""13"": 2, ""14"": 3, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 2, ""19"": 1, ""3"": 2, ""4"": 1, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,0,31,9,279,2,0.25,41426.9375,0.004859086491739553,0.0058309037900874635
realworld_completed,rt_twitter_copen,SASB-random,random,20260513,6,early,224--330,213,5787c87fd97e9530f7ca403bf35e3c0bdfbc5bb2ee4ee060e9f5cb94b27e1f11,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""336"", ""711"", ""224"", ""394"", ""462"", ""556"", ""428"", ""118"", ""143"", ""674"", ""374"", ""520"", ""264"", ""399"", ""411"", ""256"", ""87"", ""603"", ""355"", ""48"", ""737"", ""334"", ""412"", ""335"", ""752"", ""531"", ""26"", ""491"", ""319"", ""536"", ""9"", ""99""]","{""uniform_random"": 32}","{""degree_0_1"": 15, ""degree_2"": 4, ""degree_3_4"": 7, ""degree_5_8"": 4, ""degree_9_plus"": 2}","{""0"": 2, ""10"": 7, ""11"": 1, ""13"": 3, ""14"": 2, ""16"": 1, ""19"": 1, ""2"": 4, ""3"": 2, ""4"": 2, ""6"": 2, ""7"": 1, ""8"": 2, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,4,25,100,0,0.0,39266.875406235835,0.0058309037900874635,0.006802721088435374
realworld_completed,rt_twitter_copen,SASB-random,random,20260513,7,early,41--42,213,988e11cd68fb669113ef404588b39adc61ac1b2d40c211bc478bbf37e311e49a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""323"", ""301"", ""492"", ""185"", ""405"", ""567"", ""398"", ""102"", ""108"", ""247"", ""42"", ""629"", ""329"", ""672"", ""411"", ""26"", ""543"", ""385"", ""146"", ""60"", ""759"", ""242"", ""541"", ""505"", ""448"", ""379"", ""103"", ""58"", ""216"", ""265"", ""134"", ""277""]","{""uniform_random"": 32}","{""degree_0_1"": 11, ""degree_2"": 12, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 2}","{""0"": 3, ""1"": 1, ""10"": 2, ""11"": 3, ""13"": 2, ""14"": 3, ""15"": 1, ""19"": 2, ""2"": 4, ""3"": 3, ""6"": 4, ""7"": 3, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,2,37,74,0,0.0,36981.188952020195,0.006802721088435374,0.007774538386783284
realworld_completed,rt_twitter_copen,SASB-random,random,20260513,8,early,640--659,212,2e5d5ccedfb963570903b460e16ecc1fa3afa73e060078101b7fa53c28fc7148,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""341"", ""491"", ""312"", ""642"", ""727"", ""710"", ""383"", ""252"", ""713"", ""82"", ""142"", ""409"", ""605"", ""32"", ""666"", ""286"", ""27"", ""208"", ""675"", ""420"", ""214"", ""709"", ""166"", ""318"", ""472"", ""699"", ""571"", ""198"", ""458"", ""75"", ""564"", ""28""]","{""uniform_random"": 32}","{""degree_0_1"": 20, ""degree_2"": 5, ""degree_3_4"": 2, ""degree_5_8"": 4, ""degree_9_plus"": 1}","{""0"": 1, ""10"": 2, ""11"": 1, ""12"": 2, ""13"": 6, ""14"": 1, ""15"": 2, ""16"": 3, ""18"": 1, ""19"": 6, ""2"": 2, ""3"": 1, ""5"": 1, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,4,30,120,0,0.0,22428.50969442884,0.007774538386783284,0.008746355685131196
realworld_completed,rt_twitter_copen,SASB-random,random,20260513,9,early,237--437,212,83ea3ea8f1aa29dce839d0f1468a4ebd462ee271f521cdcaa4644346e794a521,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""395"", ""455"", ""273"", ""468"", ""285"", ""693"", ""72"", ""263"", ""530"", ""718"", ""694"", ""480"", ""611"", ""86"", ""460"", ""745"", ""593"", ""33"", ""359"", ""170"", ""535"", ""551"", ""110"", ""358"", ""334"", ""83"", ""103"", ""721"", ""758"", ""528"", ""640"", ""229""]","{""uniform_random"": 32}","{""degree_0_1"": 17, ""degree_2"": 8, ""degree_3_4"": 4, ""degree_5_8"": 3}","{""1"": 3, ""10"": 1, ""11"": 1, ""13"": 5, ""14"": 3, ""16"": 1, ""18"": 1, ""19"": 3, ""2"": 2, ""3"": 2, ""5"": 1, ""6"": 3, ""7"": 5, ""8"": 1}",1.0,0.9934296977660972,0.006570302233902758,1,2,1,0,5,19,95,0,0.0,21664.71875,0.008746355685131196,0.009718172983479106
