dataset,graph_id,method,candidate_policy,source_policy,seed,step,attack_phase,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,remove_ratio_before,remove_ratio_after,edge_u,edge_v,selected_edge,degree_u,degree_v,degree_min,degree_max,degree_product,common_neighbors,edge_embeddedness,is_inter_community_edge,community_u,community_v,source_count,source_nodes,source_node_hash,source_strata_counts,source_degree_bins,source_community_counts,adaptive_k,candidate_config,candidate_count,candidate_fraction,candidate_inter_community_ratio,candidate_boundary_ratio,candidate_bridge_ratio,candidate_low_cn_ratio,candidate_degree_product_distribution,candidate_common_neighbor_distribution,candidate_mean_common_neighbors,candidate_mean_degree_product,candidate_backend,candidate_hash,sasb_candidate_count_reference,sasb_candidate_hash_reference,match_mode_counts,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,fallback_reason,matched_feature_difference,matched_feature_difference_detail,candidate_count_equal_to_sasb,source_budget,true_source_traversal_count,sampled_betweenness_score,p2_degree_product_fallback
realworld_completed,rt_retweet,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,0,early,1.0,1.0,0.0,1,1,0,0.0,0.008547008547008548,49,87,49--87,17,9,9,17,153,2,0.25,1,0,2,32,"[""49"", ""69"", ""39"", ""87"", ""67"", ""92"", ""51"", ""45"", ""46"", ""57"", ""21"", ""20"", ""0"", ""34"", ""48"", ""35"", ""6"", ""60"", ""71"", ""72"", ""14"", ""2"", ""22"", ""44"", ""94"", ""5"", ""43"", ""15"", ""17"", ""62"", ""23"", ""7""]",86f974db1223ef053794a0576b6987b0a0b88b47f5f73f565371bf33fca31936,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 6, ""degree_2"": 2, ""degree_3_4"": 11, ""degree_5_8"": 9, ""degree_9_plus"": 4}","{""0"": 5, ""1"": 3, ""2"": 3, ""3"": 5, ""4"": 5, ""5"": 4, ""6"": 6, ""7"": 1}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.5470085470085471,0.21875,0.21875,0.515625,0.9375,"{""dp_0_4"": 0.125, ""dp_17_64"": 0.40625, ""dp_5_16"": 0.375, ""dp_65_256"": 0.09375}","{""cn_0"": 0.734375, ""cn_1"": 0.203125, ""cn_2_3"": 0.0625}",0.34375,25.15625,uniform_random_edges_size_matched_to_sasb,79f6365f71d2d8812d9f98ea82f7172ad157cff421295322ed4a09d89189497d,64,0a5ac2e45c5ade101a7bccbbda86b38fefebff33f7af1cb9286b60e6b209914f,"{""random_size_matched"": 64}",0,0,0,0,{},0.2708333333333333,"{""common_neighbor_bin_l1"": 0.1875, ""degree_product_bin_l1"": 0.53125, ""is_boundary_edge_l1"": 0.21875, ""is_bridge_edge_l1"": 0.375, ""is_inter_community_edge_l1"": 0.21875, ""is_low_common_neighbor_edge_l1"": 0.09375, ""mean_l1"": 0.2708333333333333}",1,32,32,1387.75,0
realworld_completed,rt_retweet,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,1,early,1.0,1.0,0.0,1,1,0,0.008547008547008548,0.017094017094017096,45,87,45--87,5,8,5,8,40,0,0.0,1,0,2,32,"[""49"", ""69"", ""39"", ""67"", ""92"", ""51"", ""87"", ""45"", ""46"", ""57"", ""21"", ""20"", ""0"", ""34"", ""48"", ""35"", ""6"", ""60"", ""71"", ""72"", ""14"", ""2"", ""43"", ""64"", ""40"", ""27"", ""82"", ""65"", ""32"", ""73"", ""16"", ""11""]",5144c0bf013b3e5c357c94fc7e59b349691b979e50ed93b6baefe6ff453d6dc1,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 7, ""degree_2"": 3, ""degree_3_4"": 9, ""degree_5_8"": 10, ""degree_9_plus"": 3}","{""0"": 5, ""1"": 3, ""2"": 4, ""3"": 5, ""4"": 4, ""5"": 4, ""6"": 6, ""7"": 1}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.5517241379310345,0.140625,0.140625,0.546875,0.921875,"{""dp_0_4"": 0.203125, ""dp_17_64"": 0.25, ""dp_5_16"": 0.453125, ""dp_65_256"": 0.09375}","{""cn_0"": 0.8125, ""cn_1"": 0.109375, ""cn_2_3"": 0.078125}",0.265625,21.015625,uniform_random_edges_size_matched_to_sasb,af390f7fe18328aff716774e9bc72e19f8c5862149c8a4c4b0a67e1a7373e8d8,64,fb07dc54a03a0fc844eb6d05d945e60b54b6e53e18467f1088c477bcaaf85ecc,"{""random_size_matched"": 64}",0,0,0,0,{},0.328125,"{""common_neighbor_bin_l1"": 0.21875, ""degree_product_bin_l1"": 0.59375, ""is_boundary_edge_l1"": 0.34375, ""is_bridge_edge_l1"": 0.4375, ""is_inter_community_edge_l1"": 0.34375, ""is_low_common_neighbor_edge_l1"": 0.03125, ""mean_l1"": 0.328125}",1,32,32,1663.3928571428573,0
realworld_completed,rt_retweet,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,2,early,1.0,1.0,0.0,1,1,0,0.017094017094017096,0.02564102564102564,78,87,78--87,3,7,3,7,21,0,0.0,1,0,4,32,"[""49"", ""69"", ""39"", ""67"", ""92"", ""51"", ""46"", ""57"", ""21"", ""87"", ""20"", ""35"", ""0"", ""34"", ""48"", ""45"", ""6"", ""60"", ""71"", ""72"", ""14"", ""2"", ""47"", ""73"", ""94"", ""83"", ""32"", ""3"", ""85"", ""9"", ""86"", ""26""]",1144a5881d3078714028d204757168829d6aa7542b3b3aad214ce65eeb4321ef,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 8, ""degree_2"": 1, ""degree_3_4"": 11, ""degree_5_8"": 9, ""degree_9_plus"": 3}","{""0"": 6, ""1"": 3, ""2"": 4, ""3"": 4, ""4"": 4, ""5"": 4, ""6"": 4, ""7"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.5565217391304348,0.171875,0.171875,0.546875,0.953125,"{""dp_0_4"": 0.15625, ""dp_17_64"": 0.328125, ""dp_5_16"": 0.4375, ""dp_65_256"": 0.078125}","{""cn_0"": 0.75, ""cn_1"": 0.203125, ""cn_2_3"": 0.046875}",0.3125,22.203125,uniform_random_edges_size_matched_to_sasb,76a05045fb41b44d2fc048f865831c35ed7a7a246f8452dddb563d0e5759eba0,64,5699383566f72dd6597cf3df1d6b1dc820cd087702f7989a7fa0f1fe488f4add,"{""random_size_matched"": 64}",0,0,0,0,{},0.25,"{""common_neighbor_bin_l1"": 0.09375, ""degree_product_bin_l1"": 0.40625, ""is_boundary_edge_l1"": 0.25, ""is_bridge_edge_l1"": 0.4375, ""is_inter_community_edge_l1"": 0.25, ""is_low_common_neighbor_edge_l1"": 0.0625, ""mean_l1"": 0.25}",1,32,32,1563.2857142857142,0
realworld_completed,rt_retweet,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,3,early,1.0,1.0,0.0,1,1,0,0.02564102564102564,0.03418803418803419,21,64,21--64,3,2,2,3,6,0,0.0,0,7,7,32,"[""49"", ""69"", ""39"", ""67"", ""92"", ""51"", ""46"", ""57"", ""21"", ""87"", ""20"", ""35"", ""0"", ""34"", ""48"", ""45"", ""6"", ""60"", ""71"", ""72"", ""14"", ""2"", ""12"", ""68"", ""7"", ""28"", ""84"", ""70"", ""32"", ""18"", ""86"", ""9""]",15fb813d40dd02658b2b8ba4afa22a513d3689846f7cc68e7fd65175787b36f8,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 9, ""degree_2"": 1, ""degree_3_4"": 10, ""degree_5_8"": 9, ""degree_9_plus"": 3}","{""0"": 4, ""1"": 5, ""2"": 5, ""3"": 5, ""4"": 5, ""5"": 3, ""6"": 4, ""7"": 1}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.5614035087719298,0.140625,0.140625,0.59375,0.9375,"{""dp_0_4"": 0.203125, ""dp_17_64"": 0.328125, ""dp_5_16"": 0.4375, ""dp_65_256"": 0.03125}","{""cn_0"": 0.796875, ""cn_1"": 0.140625, ""cn_2_3"": 0.0625}",0.28125,18.703125,uniform_random_edges_size_matched_to_sasb,a06f5c63fd6ad92d3b0e1c94858fc602af2f7103b5a8fe8ad361b16032debde3,64,04163af2f26ac91f5c6491796c2adaefea5ade816b933453ea47f827cc893580,"{""random_size_matched"": 64}",0,0,0,0,{},0.2916666666666667,"{""common_neighbor_bin_l1"": 0.1875, ""degree_product_bin_l1"": 0.46875, ""is_boundary_edge_l1"": 0.3125, ""is_bridge_edge_l1"": 0.4375, ""is_inter_community_edge_l1"": 0.3125, ""is_low_common_neighbor_edge_l1"": 0.03125, ""mean_l1"": 0.2916666666666667}",1,32,32,2073.6857142857143,0
realworld_completed,rt_retweet,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,4,early,1.0,0.8020833333333334,0.19791666666666663,1,2,1,0.03418803418803419,0.042735042735042736,35,79,35--79,4,2,2,4,8,0,0.0,1,4,8,32,"[""49"", ""69"", ""39"", ""67"", ""92"", ""51"", ""46"", ""57"", ""21"", ""87"", ""20"", ""35"", ""0"", ""34"", ""48"", ""45"", ""6"", ""60"", ""71"", ""72"", ""14"", ""2"", ""64"", ""73"", ""91"", ""85"", ""27"", ""76"", ""18"", ""26"", ""47"", ""84""]",488a68ff39a0ccb9478aa066d49ff52c8a83ff6b9cb71476b6c985f2189b490e,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 9, ""degree_2"": 2, ""degree_3_4"": 9, ""degree_5_8"": 9, ""degree_9_plus"": 3}","{""0"": 6, ""1"": 4, ""2"": 4, ""3"": 5, ""4"": 2, ""5"": 4, ""6"": 5, ""7"": 2}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.5663716814159292,0.1875,0.1875,0.5625,0.9375,"{""dp_0_4"": 0.171875, ""dp_17_64"": 0.28125, ""dp_5_16"": 0.46875, ""dp_65_256"": 0.078125}","{""cn_0"": 0.78125, ""cn_1"": 0.15625, ""cn_2_3"": 0.0625}",0.28125,21.078125,uniform_random_edges_size_matched_to_sasb,cc7a999d86c330a7f9d4ad93650ba406ab8288fbd2dd956103dc5c67587df5b9,64,04163af2f26ac91f5c6491796c2adaefea5ade816b933453ea47f827cc893580,"{""random_size_matched"": 64}",0,0,0,0,{},0.22916666666666666,"{""common_neighbor_bin_l1"": 0.15625, ""degree_product_bin_l1"": 0.46875, ""is_boundary_edge_l1"": 0.21875, ""is_bridge_edge_l1"": 0.28125, ""is_inter_community_edge_l1"": 0.21875, ""is_low_common_neighbor_edge_l1"": 0.03125, ""mean_l1"": 0.22916666666666666}",1,32,32,3042.0,0
realworld_completed,rt_retweet,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,5,early,0.8020833333333334,0.8020833333333334,0.0,2,2,0,0.042735042735042736,0.05128205128205128,49,92,49--92,16,8,8,16,128,0,0.0,1,0,6,32,"[""49"", ""92"", ""39"", ""69"", ""67"", ""51"", ""20"", ""46"", ""57"", ""45"", ""6"", ""71"", ""0"", ""34"", ""72"", ""2"", ""24"", ""33"", ""35"", ""42"", ""44"", ""94"", ""23"", ""76"", ""25"", ""65"", ""5"", ""1"", ""41"", ""54"", ""15"", ""85""]",01e009cdec6dc25bcfd8215cdfdc3766fbc092467189d5d390dd21e87cfae034,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 8, ""degree_2"": 2, ""degree_3_4"": 12, ""degree_5_8"": 7, ""degree_9_plus"": 3}","{""0"": 6, ""1"": 5, ""2"": 2, ""3"": 1, ""4"": 6, ""5"": 2, ""6"": 6, ""7"": 4}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.6808510638297872,0.140625,0.140625,0.546875,0.9375,"{""dp_0_4"": 0.1875, ""dp_17_64"": 0.28125, ""dp_5_16"": 0.4375, ""dp_65_256"": 0.09375}","{""cn_0"": 0.765625, ""cn_1"": 0.171875, ""cn_2_3"": 0.0625}",0.3125,22.25,uniform_random_edges_size_matched_to_sasb,85941da61ed98bcd5f883bc92cf6a948ada29c83930c83534d0b643613dda620,64,309bb00ff7baa9466611f79fa9718f0a7441089f74479e436dda2df445601f34,"{""random_size_matched"": 64}",0,0,0,0,{},0.2552083333333333,"{""common_neighbor_bin_l1"": 0.1875, ""degree_product_bin_l1"": 0.40625, ""is_boundary_edge_l1"": 0.25, ""is_bridge_edge_l1"": 0.375, ""is_inter_community_edge_l1"": 0.25, ""is_low_common_neighbor_edge_l1"": 0.0625, ""mean_l1"": 0.2552083333333333}",1,32,32,1002.4437499999999,0
realworld_completed,rt_retweet,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,6,early,0.8020833333333334,0.8020833333333334,0.0,2,2,0,0.05128205128205128,0.05982905982905983,69,92,69--92,9,7,7,9,63,0,0.0,1,4,6,32,"[""49"", ""39"", ""69"", ""67"", ""92"", ""51"", ""20"", ""46"", ""57"", ""45"", ""6"", ""71"", ""0"", ""34"", ""72"", ""2"", ""24"", ""33"", ""35"", ""42"", ""44"", ""94"", ""47"", ""4"", ""55"", ""56"", ""53"", ""28"", ""76"", ""83"", ""32"", ""86""]",d3ed12ab390d1795563cba220a2f7a7442aea0a1469f3a867cf1d3a90ffd0aaa,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 6, ""degree_2"": 4, ""degree_3_4"": 12, ""degree_5_8"": 7, ""degree_9_plus"": 3}","{""0"": 5, ""1"": 8, ""2"": 1, ""3"": 1, ""4"": 4, ""5"": 3, ""6"": 4, ""7"": 6}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.6881720430107527,0.1875,0.1875,0.484375,0.9375,"{""dp_0_4"": 0.203125, ""dp_17_64"": 0.34375, ""dp_5_16"": 0.390625, ""dp_65_256"": 0.0625}","{""cn_0"": 0.71875, ""cn_1"": 0.21875, ""cn_2_3"": 0.0625}",0.34375,20.453125,uniform_random_edges_size_matched_to_sasb,b8b83426da5ae232024cd4780b822937602c9bf43ae0a2f0d93ebf91f3d26743,64,6497487a6904859c2f5c46b2be62632740ab3e4d14fabce15b49427c4aaefecb,"{""random_size_matched"": 64}",0,0,0,0,{},0.17708333333333334,"{""common_neighbor_bin_l1"": 0.09375, ""degree_product_bin_l1"": 0.40625, ""is_boundary_edge_l1"": 0.125, ""is_bridge_edge_l1"": 0.25, ""is_inter_community_edge_l1"": 0.125, ""is_low_common_neighbor_edge_l1"": 0.0625, ""mean_l1"": 0.17708333333333334}",1,32,32,1493.3989583333337,0
realworld_completed,rt_retweet,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,7,early,0.8020833333333334,0.59375,0.20833333333333337,2,3,1,0.05982905982905983,0.06837606837606838,20,67,20--67,5,8,5,8,40,0,0.0,1,4,0,32,"[""49"", ""39"", ""67"", ""51"", ""69"", ""92"", ""20"", ""46"", ""57"", ""45"", ""6"", ""71"", ""0"", ""34"", ""72"", ""2"", ""24"", ""33"", ""35"", ""42"", ""44"", ""94"", ""95"", ""13"", ""26"", ""63"", ""7"", ""27"", ""65"", ""41"", ""59"", ""68""]",099daa04296a709d03f16817466d8377230a5a50c315370e4599465051381c61,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 9, ""degree_2"": 1, ""degree_3_4"": 12, ""degree_5_8"": 8, ""degree_9_plus"": 2}","{""0"": 6, ""1"": 5, ""2"": 1, ""3"": 4, ""4"": 4, ""5"": 3, ""6"": 6, ""7"": 3}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.6956521739130435,0.15625,0.15625,0.546875,0.90625,"{""dp_0_4"": 0.1875, ""dp_17_64"": 0.3125, ""dp_5_16"": 0.453125, ""dp_65_256"": 0.046875}","{""cn_0"": 0.734375, ""cn_1"": 0.171875, ""cn_2_3"": 0.09375}",0.375,19.265625,uniform_random_edges_size_matched_to_sasb,aa8ddf0ac10984f48473ecb00e3c9fe36d4a358867078a13170a61586d1b9a54,64,ad77758c78c021ccbc27aa9f0692b41910234493bbef0bac17b3dc68cb6c5581,"{""random_size_matched"": 64}",0,0,0,0,{},0.1875,"{""common_neighbor_bin_l1"": 0.125, ""degree_product_bin_l1"": 0.375, ""is_boundary_edge_l1"": 0.15625, ""is_bridge_edge_l1"": 0.3125, ""is_inter_community_edge_l1"": 0.15625, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.1875}",1,32,32,2519.34375,0
realworld_completed,rt_retweet,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,8,early,0.59375,0.59375,0.0,3,3,0,0.06837606837606838,0.07692307692307693,39,72,39--72,11,4,4,11,44,0,0.0,1,1,2,32,"[""49"", ""39"", ""51"", ""69"", ""46"", ""67"", ""57"", ""45"", ""71"", ""72"", ""2"", ""21"", ""0"", ""24"", ""35"", ""44"", ""94"", ""10"", ""31"", ""32"", ""37"", ""4"", ""5"", ""65"", ""83"", ""91"", ""81"", ""12"", ""16"", ""62"", ""86"", ""56""]",c2241eee42753a01dc51ec0b1fe59442e3d0a1bc3d3041a6bfbdf33ca448d279,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 8, ""degree_2"": 8, ""degree_3_4"": 9, ""degree_5_8"": 5, ""degree_9_plus"": 2}","{""0"": 8, ""1"": 5, ""2"": 10, ""3"": 4, ""4"": 3, ""5"": 2}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.9014084507042254,0.203125,0.203125,0.453125,0.921875,"{""dp_0_4"": 0.15625, ""dp_17_64"": 0.34375, ""dp_5_16"": 0.4375, ""dp_65_256"": 0.0625}","{""cn_0"": 0.71875, ""cn_1"": 0.203125, ""cn_2_3"": 0.078125}",0.375,22.0,uniform_random_edges_size_matched_to_sasb,2e06765ffdb51c1f711d2e76371b19fb902a0d3623523f378c8715bcbdb5e333,64,145a927da8027fbb89fbd73baaa4d73dbc8c0b42c679ebdb8b50022e7c2a1c3c,"{""random_size_matched"": 64}",0,0,0,0,{},0.057291666666666664,"{""common_neighbor_bin_l1"": 0.03125, ""degree_product_bin_l1"": 0.15625, ""is_boundary_edge_l1"": 0.03125, ""is_bridge_edge_l1"": 0.0625, ""is_inter_community_edge_l1"": 0.03125, ""is_low_common_neighbor_edge_l1"": 0.03125, ""mean_l1"": 0.057291666666666664}",1,32,32,824.71875,0
realworld_completed,rt_retweet,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,9,early,0.59375,0.4791666666666667,0.11458333333333331,3,4,1,0.07692307692307693,0.08547008547008547,32,67,32--67,2,7,2,7,14,0,0.0,1,2,0,32,"[""49"", ""39"", ""51"", ""69"", ""46"", ""67"", ""57"", ""45"", ""71"", ""2"", ""21"", ""32"", ""0"", ""24"", ""35"", ""44"", ""72"", ""94"", ""10"", ""31"", ""37"", ""4"", ""1"", ""55"", ""89"", ""56"", ""29"", ""12"", ""77"", ""86"", ""36"", ""58""]",8a2a3be4ae2302f9374925e567177db7d499739fa90907cdd4d287d516f3e4b8,"{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 10, ""degree_2"": 6, ""degree_3_4"": 9, ""degree_5_8"": 5, ""degree_9_plus"": 2}","{""0"": 9, ""1"": 5, ""2"": 7, ""3"": 4, ""4"": 3, ""5"": 4}",64,"{""backend"": ""evaluate_m19_theory_calibrated.candidate_features"", ""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",64,0.9142857142857143,0.171875,0.171875,0.546875,0.90625,"{""dp_0_4"": 0.15625, ""dp_17_64"": 0.328125, ""dp_5_16"": 0.453125, ""dp_65_256"": 0.0625}","{""cn_0"": 0.6875, ""cn_1"": 0.21875, ""cn_2_3"": 0.09375}",0.421875,21.125,uniform_random_edges_size_matched_to_sasb,a1d46869fe1a63ccb6a616e98e83ae8de5547550fd63c0f21bcc81a5fb774c33,64,7002f54ae134caa1a0e2e7ae000d26c70148c0dee4f105a7c22ce17d471790c3,"{""random_size_matched"": 64}",0,0,0,0,{},0.057291666666666664,"{""common_neighbor_bin_l1"": 0.0, ""degree_product_bin_l1"": 0.15625, ""is_boundary_edge_l1"": 0.0625, ""is_bridge_edge_l1"": 0.0625, ""is_inter_community_edge_l1"": 0.0625, ""is_low_common_neighbor_edge_l1"": 0.0, ""mean_l1"": 0.057291666666666664}",1,32,32,1063.40625,0
